,회사명,거래소코드,회계년도,이자보상배율,부실기업1
4080,(주)에스비에스콘텐츠허브,46140,12-Dec,0,1
4107,(주)에스앤더블류,103230,12-Dec,0.44,1
4117,(주)에스앤에스텍,101490,13-Dec,-0.6,1
4132,(주)에스에너지,95910,19-Dec,0.35,1
4146,(주)에스에이티,60540,13-Dec,-5.18,1
4173,(주)에스엘바이오닉스,214310,17-Dec,-0.02,1
4178,(주)에스엠라이프디자인그룹,63440,13-Dec,-5.41,1
4186,(주)에스엠벡셀,10580,12-Dec,-4.4,1
4205,(주)에스엠컬처앤콘텐츠,48550,13-Dec,-1.38,1
4222,(주)에스원,12750,12-Dec,0,1
4253,(주)에스지글로벌,1380,15-Dec,-2.56,1
4260,(주)에스지세계물산,4060,13-Dec,-5.63,1
4275,(주)에스지엔지,40610,19-Dec,0.9,1
4289,(주)에스텍파마,41910,15-Dec,0.62,1
4306,(주)에스티오,98660,14-Dec,0.86,1
4313,(주)에스티큐브,52020,12-Dec,-2.17,1
4325,(주)에스폴리텍,50760,15-Dec,-0.91,1
4350,(주)에쎈테크,43340,12-Dec,0.34,1
4360,(주)에이디칩스,54630,13-Dec,-10.77,1
4370,(주)에이디테크놀로지,200710,17-Dec,-1.02,1
4379,(주)에이루트,96690,17-Dec,-2.33,1
4387,(주)에이블씨엔씨,78520,16-Dec,0,1
4394,(주)에이비프로바이오,195990,18-Dec,-1.31,1
4396,(주)에이스침대,3800,11-Dec,0,1
4411,(주)에이스테크놀로지,88800,17-Dec,-1.45,1
4415,(주)에이엔피,15260,11-Dec,0.92,1
4450,(주)에이치엘사이언스,239610,18-Dec,0,1
4476,(주)에이트원,230980,17-Dec,-1.68,1
4484,(주)에이티세미콘,89530,16-Dec,-1.9,1
4490,(주)에이팩트,200470,16-Dec,-10.41,1
4502,(주)에이프로젠,7460,19-Dec,0.28,1
4503,(주)에이프로젠헬스케어앤게임즈,109960,11-Dec,-21.05,1
4512,(주)에치에프알,230240,15-Dec,0,1
4518,(주)에코마케팅,230360,17-Dec,0,1
4534,(주)에프알텍,73540,12-Dec,0,1
4542,(주)에프앤리퍼블릭,64090,11-Dec,-1.37,1
4579,(주)에프엔씨엔터테인먼트,173940,19-Dec,-9.36,1
4592,(주)엑세스바이오인코퍼레이션,950130,16-Dec,-1.37,1
4596,(주)엑셈,205100,14-Dec,-4.27,1
4634,(주)엔에스엔,31860,14-Dec,0.73,1
4646,(주)엔에이치엔벅스,104200,17-Dec,0,1
4652,(주)엔이능률,53290,14-Dec,0,1
4660,(주)엔지스테크널러지,208860,18-Dec,-0.83,1
4662,(주)엔지켐생명과학,183490,18-Dec,-129.69,1
4666,(주)엔케이,85310,13-Dec,-2.19,1
4673,(주)엔케이맥스,182400,15-Dec,-135.11,1
4680,(주)엔텔스,69410,13-Dec,0,1
4688,(주)엔투텍,227950,16-Dec,0,1
4691,(주)엔피,291230,18-Dec,-1.36,1
4701,(주)엔피케이,48830,19-Dec,-0.82,1
4702,(주)엘디티,96870,11-Dec,0,1
4713,(주)엘아이에스,138690,13-Dec,-4.49,1
4724,(주)엘앤에프,66970,13-Dec,-0.88,1
4733,(주)엘앤케이바이오메드,156100,18-Dec,-4.4,1
4745,(주)엘에스네트웍스,680,12-Dec,0.46,1
4764,(주)엘엑스세미콘,108320,13-Dec,0,1
4802,(주)엘오티베큠,83310,15-Dec,0,1
