,회사명,거래소코드,회계년도,매출원가감소율
4303,에스티오,98660,2011-12,-6.060606061
4312,에스티큐브,52020,2011-12,10.52631579
4321,에스폴리텍,50760,2011-12,2.298850575
4330,에스피시스템스,317830,2019-12,0
4331,에스피씨삼립,5610,2011-12,5.479452055
4340,에스피지,58610,2011-12,3.75
4349,에쎈테크,43340,2011-12,0
4358,에이디칩스,54630,2011-12,-1.234567901
4367,에이디테크놀로지,200710,2014-12,0
4373,에이루트,96690,2011-12,0
4382,에이블씨엔씨,78520,2011-12,0
4391,에이비프로바이오,195990,2015-12,0
4396,에이스침대,3800,2011-12,0
4405,에이스테크놀로지,88800,2011-12,5.434782609
4414,에이스토리,241840,2019-12,0
4415,에이엔피,15260,2011-12,2.197802198
4424,에이치비테크놀러지,78150,2011-12,0
4433,에이치시티,72990,2016-12,0
4437,에이치알에스,36640,2011-12,-1.298701299
4446,에이치앤비디자인,227100,2018-12,0
4448,에이치엘사이언스,239610,2016-12,0
4452,에이치케이,44780,2011-12,-6.329113924
4461,에이텍,45660,2011-12,-5
4470,에이텍티앤,224110,2015-12,0
4475,에이트원,230980,2016-12,0
4479,에이티세미콘,89530,2011-12,0
4488,에이팩트,200470,2014-12,0
4494,에이프로젠,7460,2011-12,9.375
4503,에이프로젠헬스케어앤게임즈,109960,2011-12,0
4512,에치에프알,230240,2015-12,0
4517,에코마케팅,230360,2016-12,0
4521,에코프로,86520,2011-12,0
4530,에코프로비엠,247540,2016-12,0
4533,에프알텍,73540,2011-12,0
4542,에프앤리퍼블릭,64090,2011-12,5.747126437
4551,에프앤에프홀딩스,7700,2011-12,5.128205128
4560,에프에스엔,214270,2015-12,0
4565,에프에스티,36810,2011-12,0
4574,에프엔씨엔터테인먼트,173940,2014-12,0
4580,엑사이엔씨,54940,2011-12,2.298850575
4589,엑세스바이오인코퍼레이션,950130,2013-12,0
4596,엑셈,205100,2014-12,0
4602,엑시콘,92870,2015-12,0
4607,엔바이오니아,317870,2019-12,0
4608,엔씨소프트,36570,2011-12,17.39130435
4617,엔아이스틸,8260,2011-12,0
4626,엔에스,217820,2015-12,0
4631,엔에스엔,31860,2011-12,4.395604396
4640,엔에이치엔벅스,104200,2011-12,-8.474576271
4649,엔이능률,53290,2011-12,-6.52173913
4658,엔지스테크널러지,208860,2016-12,0
4662,엔지켐생명과학,183490,2018-12,0
4664,엔케이,85310,2011-12,-2.409638554
4673,엔케이맥스,182400,2015-12,0
4678,엔텔스,69410,2011-12,0
4687,엔투텍,227950,2015-12,0
4691,엔피,291230,2018-12,0
4693,엔피케이,48830,2011-12,2.173913043
4702,엘디티,96870,2011-12,0
4711,엘아이에스,138690,2011-12,0
4720,엘앤씨바이오,290650,2018-12,0
4722,엘앤에프,66970,2011-12,1.063829787
4731,엘앤케이바이오메드,156100,2016-12,0
4735,엘에스,6260,2011-12,2.222222222
4744,엘에스네트웍스,680,2011-12,2
4753,엘에프,93050,2011-12,5.263157895
4762,엘엑스세미콘,108320,2011-12,5.194805195
4771,엘엑스인터내셔널,1120,2011-12,1.041666667
4780,엘엑스하우시스,108670,2011-12,0
4789,엘엠에스,73110,2011-12,0
4798,엘오티베큠,83310,2011-12,2.777777778
4807,엘지,3550,2011-12,7.317073171
4816,엘지생활건강,51900,2011-12,6
4825,엘지유플러스,32640,2011-12,0
