,회사명,거래소코드,회계년도,매출원가감소율,채울열
8,STX엔진,77970,19-Dec,2.247191011,80.98
0,STX중공업,71970,11-Dec,0,73.85
1,STX중공업,71970,12-Dec,1.052631579,75.13
2,STX중공업,71970,13-Dec,5.940594059,74.77
3,STX중공업,71970,14-Dec,-4.12371134,76.93
4,STX중공업,71970,15-Dec,-5.434782609,77.48
5,STX중공업,71970,16-Dec,27.55905512,78.73
6,STX중공업,71970,17-Dec,-47.6744186,80.02
7,STX중공업,71970,18-Dec,14,81.15
8,STX중공업,71970,19-Dec,-5.263157895,80.98
0,TCC스틸,2710,11-Dec,3.260869565,90.89
1,TCC스틸,2710,12-Dec,-1.098901099,91.46
2,TCC스틸,2710,13-Dec,4.210526316,91.98
3,TCC스틸,2710,14-Dec,-2.150537634,91.175
4,TCC스틸,2710,15-Dec,-2.197802198,90.055
5,TCC스틸,2710,16-Dec,0,89.125
6,TCC스틸,2710,17-Dec,0,90.23
7,TCC스틸,2710,18-Dec,0,91.965
8,TCC스틸,2710,19-Dec,2.150537634,92.405
0,가비아,79940,11-Dec,1.818181818,5.55
1,가비아,79940,12-Dec,5.172413793,9.16
2,가비아,79940,13-Dec,-5.454545455,9.26
3,가비아,79940,14-Dec,1.785714286,9.49
4,가비아,79940,15-Dec,-1.818181818,26.25
5,가비아,79940,16-Dec,-1.851851852,32.73
6,가비아,79940,17-Dec,-3.846153846,35.91
7,가비아,79940,18-Dec,-1.960784314,40.29
8,가비아,79940,19-Dec,0,47.1
0,가온미디어,78890,11-Dec,2.409638554,78.63
1,가온미디어,78890,12-Dec,-1.219512195,79.75
2,가온미디어,78890,13-Dec,2.380952381,81.65
3,가온미디어,78890,14-Dec,0,81.58
4,가온미디어,78890,15-Dec,-3.703703704,81.36
5,가온미디어,78890,16-Dec,2.409638554,82.3
6,가온미디어,78890,17-Dec,2.352941176,81.2
7,가온미디어,78890,18-Dec,3.409090909,81.97
8,가온미디어,78890,19-Dec,-4.761904762,81.8
0,가온전선,500,11-Dec,1.041666667,79.665
1,가온전선,500,12-Dec,-1.052631579,81.545
2,가온전선,500,13-Dec,0,81.135
3,가온전선,500,14-Dec,0,81.835
4,가온전선,500,15-Dec,0,82.075
5,가온전선,500,16-Dec,-1.063829787,81.51
6,가온전선,500,17-Dec,2.083333333,83.595
7,가온전선,500,18-Dec,0,84.085
8,가온전선,500,19-Dec,-1.052631579,86.18
0,감성코퍼레이션,36620,11-Dec,,80.81
1,감성코퍼레이션,36620,12-Dec,,81.77
