,회사명,거래소코드,회계년도,매출원가감소율,채울열
8,신화인터텍,56700,19-Dec,-8.139534884,81.665
0,신화콘텍,187270,14-Dec,,81.835
1,신화콘텍,187270,15-Dec,10.71428571,82.075
2,신화콘텍,187270,16-Dec,-9.090909091,81.51
3,신화콘텍,187270,17-Dec,-11.5942029,83.595
4,신화콘텍,187270,18-Dec,14.81481481,84.085
5,신화콘텍,187270,19-Dec,-2.53164557,86.18
0,신흥,4080,11-Dec,2.5,80.81
1,신흥,4080,12-Dec,1.234567901,81.77
2,신흥,4080,13-Dec,-6.578947368,80.31
3,신흥,4080,14-Dec,-4.109589041,80.28
4,신흥,4080,15-Dec,-1.388888889,81.66
5,신흥,4080,16-Dec,4,82.9
6,신흥,4080,17-Dec,-1.351351351,82.45
7,신흥,4080,18-Dec,2.631578947,83.32
8,신흥,4080,19-Dec,-1.333333333,83.47
0,신흥에스이씨,243840,17-Dec,,83.595
1,신흥에스이씨,243840,18-Dec,2.325581395,84.085
2,신흥에스이씨,243840,19-Dec,-2.380952381,86.18
0,심텍,222800,15-Dec,,81.36
1,심텍,222800,16-Dec,-1.136363636,82.3
2,심텍,222800,17-Dec,-1.149425287,81.2
3,심텍,222800,18-Dec,0,81.97
4,심텍,222800,19-Dec,4.395604396,81.8
0,심텍홀딩스,36710,11-Dec,6.024096386,78.63
1,심텍홀딩스,36710,12-Dec,3.488372093,79.75
2,심텍홀딩스,36710,13-Dec,13.13131313,81.65
3,심텍홀딩스,36710,14-Dec,-8.791208791,81.58
4,심텍홀딩스,36710,15-Dec,-2.247191011,81.36
5,심텍홀딩스,36710,16-Dec,-1.136363636,82.3
6,심텍홀딩스,36710,17-Dec,0,81.2
7,심텍홀딩스,36710,18-Dec,-1.149425287,81.97
8,심텍홀딩스,36710,19-Dec,4.395604396,81.8
0,싸이맥스,160980,15-Dec,,77.48
1,싸이맥스,160980,16-Dec,-2.43902439,78.73
2,싸이맥스,160980,17-Dec,-2.5,80.02
3,싸이맥스,160980,18-Dec,-1.265822785,81.15
4,싸이맥스,160980,19-Dec,7.058823529,80.98
0,싸이토젠,217330,18-Dec,,50.99
1,싸이토젠,217330,19-Dec,,50.43
0,쌍방울,102280,11-Dec,-1.388888889,40.48
1,쌍방울,102280,12-Dec,-4.347826087,42.2
2,쌍방울,102280,13-Dec,0,41.28
3,쌍방울,102280,14-Dec,0,44.43
4,쌍방울,102280,15-Dec,-1.470588235,44.29
5,쌍방울,102280,16-Dec,6.849315068,43.36
6,쌍방울,102280,17-Dec,6.41025641,45.09
7,쌍방울,102280,18-Dec,-18.18181818,44.83
8,쌍방울,102280,19-Dec,13.15789474,43.36
0,쌍용씨앤이,3410,11-Dec,4.597701149,83.085
1,쌍용씨앤이,3410,12-Dec,-3.571428571,80.49
2,쌍용씨앤이,3410,13-Dec,0,79.905
3,쌍용씨앤이,3410,14-Dec,-1.204819277,80.78
4,쌍용씨앤이,3410,15-Dec,-2.469135802,77.97
5,쌍용씨앤이,3410,16-Dec,-2.53164557,79.26
6,쌍용씨앤이,3410,17-Dec,-6.756756757,81.73
7,쌍용씨앤이,3410,18-Dec,0,82.22
8,쌍용씨앤이,3410,19-Dec,1.333333333,84.125
0,쌍용자동차,3620,11-Dec,2.272727273,86.155
1,쌍용자동차,3620,12-Dec,0,87.3
2,쌍용자동차,3620,13-Dec,-2.325581395,87.315
3,쌍용자동차,3620,14-Dec,0,87.805
4,쌍용자동차,3620,15-Dec,-1.176470588,86.72
5,쌍용자동차,3620,16-Dec,-1.19047619,87.335
6,쌍용자동차,3620,17-Dec,1.176470588,88.505
7,쌍용자동차,3620,18-Dec,3.409090909,89.65
8,쌍용자동차,3620,19-Dec,5.376344086,89.98
0,쌍용정보통신,10280,11-Dec,1.123595506,76.05
1,쌍용정보통신,10280,12-Dec,-2.298850575,72.2
2,쌍용정보통신,10280,13-Dec,1.136363636,75.75
3,쌍용정보통신,10280,14-Dec,4.347826087,79.68
4,쌍용정보통신,10280,15-Dec,0,81.79
5,쌍용정보통신,10280,16-Dec,-2.222222222,82.04
6,쌍용정보통신,10280,17-Dec,3.225806452,83.55
7,쌍용정보통신,10280,18-Dec,-5.681818182,84.35
8,쌍용정보통신,10280,19-Dec,0,82.22
0,써니전자,4770,11-Dec,-6.024096386,78.63
1,써니전자,4770,12-Dec,3.488372093,79.75
2,써니전자,4770,13-Dec,0,81.65
3,써니전자,4770,14-Dec,-13.15789474,81.58
4,써니전자,4770,15-Dec,-8.571428571,81.36
5,써니전자,4770,16-Dec,0,82.3
6,써니전자,4770,17-Dec,1.408450704,81.2
7,써니전자,4770,18-Dec,2.739726027,81.97
8,써니전자,4770,19-Dec,-12.30769231,81.8
0,썸에이지,208640,14-Dec,,0
1,썸에이지,208640,15-Dec,,0
2,썸에이지,208640,16-Dec,,0
3,썸에이지,208640,17-Dec,,0
4,썸에이지,208640,18-Dec,,13.425
5,썸에이지,208640,19-Dec,,43.41
0,쎄노텍,222420,15-Dec,,0
1,쎄노텍,222420,16-Dec,,0
2,쎄노텍,222420,17-Dec,,0
3,쎄노텍,222420,18-Dec,,13.425
4,쎄노텍,222420,19-Dec,,43.41
0,쎄니트,37760,11-Dec,1.162790698,90.89
1,쎄니트,37760,12-Dec,-6.172839506,91.46
2,쎄니트,37760,13-Dec,-3.846153846,91.98
3,쎄니트,37760,14-Dec,-4,91.175
4,쎄니트,37760,15-Dec,2.597402597,90.055
5,쎄니트,37760,16-Dec,2.53164557,89.125
6,쎄니트,37760,17-Dec,2.469135802,90.23
7,쎄니트,37760,18-Dec,1.219512195,91.965
8,쎄니트,37760,19-Dec,0,92.405
0,쎄트렉아이,99320,11-Dec,,82.98
1,쎄트렉아이,99320,12-Dec,,82.985
2,쎄트렉아이,99320,13-Dec,,88
3,쎄트렉아이,99320,14-Dec,,91.475
4,쎄트렉아이,99320,15-Dec,-10.95890411,88.85
5,쎄트렉아이,99320,16-Dec,8.75,87.545
6,쎄트렉아이,99320,17-Dec,-5.263157895,88.54
7,쎄트렉아이,99320,18-Dec,2.564102564,91.865
8,쎄트렉아이,99320,19-Dec,1.265822785,90.035
0,쎌마테라퓨틱스,15540,11-Dec,-1.01010101,0
1,쎌마테라퓨틱스,15540,12-Dec,1,16.675
2,쎌마테라퓨틱스,15540,13-Dec,0,24.03
3,쎌마테라퓨틱스,15540,14-Dec,0,3.835
4,쎌마테라퓨틱스,15540,15-Dec,-3.092783505,3.72
5,쎌마테라퓨틱스,15540,16-Dec,2.02020202,1.06
6,쎌마테라퓨틱스,15540,17-Dec,0,0
7,쎌마테라퓨틱스,15540,18-Dec,0,1.985
8,쎌마테라퓨틱스,15540,19-Dec,-2.06185567,2.785
0,쎌바이오텍,49960,11-Dec,0,41.73
1,쎌바이오텍,49960,12-Dec,-9.090909091,41.84
2,쎌바이오텍,49960,13-Dec,-10,43.25
3,쎌바이오텍,49960,14-Dec,-11.11111111,44.93
4,쎌바이오텍,49960,15-Dec,-17.39130435,48.21
5,쎌바이오텍,49960,16-Dec,-4.545454545,52.51
6,쎌바이오텍,49960,17-Dec,-4.761904762,52.32
7,쎌바이오텍,49960,18-Dec,4.545454545,54.69
8,쎌바이오텍,49960,19-Dec,4.347826087,57.6
0,쏠리드,50890,11-Dec,9.210526316,78.63
1,쏠리드,50890,12-Dec,-5.555555556,79.75
2,쏠리드,50890,13-Dec,-1.408450704,81.65
3,쏠리드,50890,14-Dec,2.739726027,81.58
4,쏠리드,50890,15-Dec,2.666666667,81.36
5,쏠리드,50890,16-Dec,-4.166666667,82.3
6,쏠리드,50890,17-Dec,-10.76923077,81.2
7,쏠리드,50890,18-Dec,5.797101449,81.97
8,쏠리드,50890,19-Dec,2.816901408,81.8
0,씨비아이,13720,11-Dec,,86.155
1,씨비아이,13720,12-Dec,,87.3
2,씨비아이,13720,13-Dec,,87.315
3,씨비아이,13720,14-Dec,,87.805
4,씨비아이,13720,15-Dec,,86.72
5,씨비아이,13720,16-Dec,,87.335
6,씨비아이,13720,17-Dec,,88.505
7,씨비아이,13720,18-Dec,,89.65
8,씨비아이,13720,19-Dec,,89.98
0,씨씨에스충북방송,66790,11-Dec,0,56.11
1,씨씨에스충북방송,66790,12-Dec,-1.612903226,61.55
2,씨씨에스충북방송,66790,13-Dec,10.14492754,61.26
3,씨씨에스충북방송,66790,14-Dec,14.81481481,65.28
4,씨씨에스충북방송,66790,15-Dec,-6.578947368,66.25
5,씨씨에스충북방송,66790,16-Dec,6.172839506,68.88
6,씨씨에스충북방송,66790,17-Dec,-1.25,64.91
7,씨씨에스충북방송,66790,18-Dec,9.090909091,65.53
8,씨씨에스충북방송,66790,19-Dec,-18.91891892,67.59
0,씨아이에스,222080,15-Dec,,0
1,씨아이에스,222080,16-Dec,,0
2,씨아이에스,222080,17-Dec,,0
3,씨아이에스,222080,18-Dec,1.162790698,13.425
4,씨아이에스,222080,19-Dec,,43.41
0,씨아이테크,4920,11-Dec,,80.81
1,씨아이테크,4920,12-Dec,,81.77
2,씨아이테크,4920,13-Dec,,80.31
3,씨아이테크,4920,14-Dec,-8.571428571,80.28
4,씨아이테크,4920,15-Dec,-6.060606061,81.66
5,씨아이테크,4920,16-Dec,-1.538461538,82.9
6,씨아이테크,4920,17-Dec,-4.838709677,82.45
7,씨아이테크,4920,18-Dec,-1.639344262,83.32
8,씨아이테크,4920,19-Dec,10.29411765,83.47
0,씨앤지하이테크,264660,18-Dec,,81.15
1,씨앤지하이테크,264660,19-Dec,,80.98
0,씨앤티85,56730,11-Dec,20,78.63
1,씨앤티85,56730,12-Dec,12.5,79.75
2,씨앤티85,56730,13-Dec,22.33009709,81.65
3,씨앤티85,56730,14-Dec,0,81.58
4,씨앤티85,56730,15-Dec,-24.09638554,81.36
5,씨앤티85,56730,16-Dec,,82.3
6,씨앤티85,56730,17-Dec,,81.2
7,씨앤티85,56730,18-Dec,29.67032967,81.97
8,씨앤티85,56730,19-Dec,5.208333333,81.8
0,씨에스,65770,11-Dec,-3.03030303,78.63
1,씨에스,65770,12-Dec,5.714285714,79.75
2,씨에스,65770,13-Dec,19.54022989,81.65
3,씨에스,65770,14-Dec,-3.571428571,81.58
4,씨에스,65770,15-Dec,13.40206186,81.36
5,씨에스,65770,16-Dec,-15.47619048,82.3
6,씨에스,65770,17-Dec,-2.43902439,81.2
7,씨에스,65770,18-Dec,4.651162791,81.97
8,씨에스,65770,19-Dec,-1.176470588,81.8
0,씨에스베어링,297090,19-Dec,,80.98
0,씨에스에이코스믹,83660,11-Dec,1.219512195,82.36
1,씨에스에이코스믹,83660,12-Dec,0,81.89
2,씨에스에이코스믹,83660,13-Dec,2.380952381,80.455
3,씨에스에이코스믹,83660,14-Dec,-1.204819277,81.39
4,씨에스에이코스믹,83660,15-Dec,,80.885
5,씨에스에이코스믹,83660,16-Dec,,79.14
6,씨에스에이코스믹,83660,17-Dec,,82.615
7,씨에스에이코스믹,83660,18-Dec,-29.09090909,83.27
8,씨에스에이코스믹,83660,19-Dec,3.50877193,81.665
0,씨에스윈드,112610,14-Dec,,81.985
1,씨에스윈드,112610,15-Dec,10.25641026,83.13
2,씨에스윈드,112610,16-Dec,17.0212766,82.425
3,씨에스윈드,112610,17-Dec,-23.68421053,84.185
4,씨에스윈드,112610,18-Dec,9.523809524,84.755
5,씨에스윈드,112610,19-Dec,2.325581395,85.49
0,씨엔플러스,115530,11-Dec,,79.665
1,씨엔플러스,115530,12-Dec,6.097560976,81.545
2,씨엔플러스,115530,13-Dec,7.865168539,81.135
3,씨엔플러스,115530,14-Dec,10.1010101,81.835
4,씨엔플러스,115530,15-Dec,-7.608695652,82.075
5,씨엔플러스,115530,16-Dec,1.075268817,81.51
6,씨엔플러스,115530,17-Dec,-19.23076923,83.595
7,씨엔플러스,115530,18-Dec,6.024096386,84.085
8,씨엔플러스,115530,19-Dec,1.19047619,86.18
0,씨유메디칼시스템,115480,11-Dec,,0
1,씨유메디칼시스템,115480,12-Dec,,35.05
2,씨유메디칼시스템,115480,13-Dec,7.01754386,48.57
3,씨유메디칼시스템,115480,14-Dec,-3.636363636,50.39
4,씨유메디칼시스템,115480,15-Dec,-1.851851852,49.29
5,씨유메디칼시스템,115480,16-Dec,31.64556962,56.81
6,씨유메디칼시스템,115480,17-Dec,0,64.32
7,씨유메디칼시스템,115480,18-Dec,-1.282051282,63.41
8,씨유메디칼시스템,115480,19-Dec,0,64.46
0,씨제이,1040,11-Dec,1.538461538,0
1,씨제이,1040,12-Dec,7.142857143,0
2,씨제이,1040,13-Dec,1.408450704,0
3,씨제이,1040,14-Dec,-2.898550725,0
4,씨제이,1040,15-Dec,-1.470588235,0
5,씨제이,1040,16-Dec,1.449275362,0
6,씨제이,1040,17-Dec,0,0
7,씨제이,1040,18-Dec,4.166666667,0
8,씨제이,1040,19-Dec,1.369863014,0
0,씨제이대한통운,120,11-Dec,2.197802198,91.1
1,씨제이대한통운,120,12-Dec,0,91.44
2,씨제이대한통운,120,13-Dec,1.086956522,92.89
3,씨제이대한통운,120,14-Dec,-2.222222222,91.51
4,씨제이대한통운,120,15-Dec,-1.123595506,90.67
5,씨제이대한통운,120,16-Dec,0,90.72
6,씨제이대한통운,120,17-Dec,0,92.38
7,씨제이대한통운,120,18-Dec,2.197802198,92.23
8,씨제이대한통운,120,19-Dec,0,91.62
0,씨제이바이오사이언스,311690,19-Dec,,50.43
0,씨제이씨지브이,79160,11-Dec,0,71.99
1,씨제이씨지브이,79160,12-Dec,-2.127659574,72.91
2,씨제이씨지브이,79160,13-Dec,4.081632653,65.99
3,씨제이씨지브이,79160,14-Dec,3.921568627,77.07
4,씨제이씨지브이,79160,15-Dec,-2,68.27
5,씨제이씨지브이,79160,16-Dec,-2.040816327,74.71
6,씨제이씨지브이,79160,17-Dec,0,83.56
7,씨제이씨지브이,79160,18-Dec,-2.083333333,84.29
8,씨제이씨지브이,79160,19-Dec,20,89.85
0,씨제이씨푸드,11150,11-Dec,2.469135802,80.81
1,씨제이씨푸드,11150,12-Dec,,81.77
2,씨제이씨푸드,11150,13-Dec,,80.31
3,씨제이씨푸드,11150,14-Dec,,80.28
4,씨제이씨푸드,11150,15-Dec,,81.66
5,씨제이씨푸드,11150,16-Dec,,82.9
6,씨제이씨푸드,11150,17-Dec,,82.45
7,씨제이씨푸드,11150,18-Dec,,83.32
8,씨제이씨푸드,11150,19-Dec,,83.47
0,씨제이이엔엠,35760,11-Dec,0,56.11
1,씨제이이엔엠,35760,12-Dec,13.95348837,61.55
2,씨제이이엔엠,35760,13-Dec,14,61.26
3,씨제이이엔엠,35760,14-Dec,0,65.28
4,씨제이이엔엠,35760,15-Dec,-8.695652174,66.25
5,씨제이이엔엠,35760,16-Dec,-2.222222222,68.88
6,씨제이이엔엠,35760,17-Dec,-2.272727273,64.91
7,씨제이이엔엠,35760,18-Dec,24.13793103,65.53
8,씨제이이엔엠,35760,19-Dec,4.918032787,67.59
0,씨제이제일제당,97950,11-Dec,4.109589041,72.41
1,씨제이제일제당,97950,12-Dec,6.41025641,73.05
2,씨제이제일제당,97950,13-Dec,3.703703704,72.785
3,씨제이제일제당,97950,14-Dec,-2.53164557,72.72
4,씨제이제일제당,97950,15-Dec,-1.282051282,72.09
5,씨제이제일제당,97950,16-Dec,-1.298701299,71.455
6,씨제이제일제당,97950,17-Dec,1.282051282,72.655
7,씨제이제일제당,97950,18-Dec,3.703703704,74.955
8,씨제이제일제당,97950,19-Dec,0,79.39
0,씨제이프레시웨이,51500,11-Dec,1.086956522,80.81
1,씨제이프레시웨이,51500,12-Dec,0,81.77
2,씨제이프레시웨이,51500,13-Dec,0,80.31
3,씨제이프레시웨이,51500,14-Dec,-4.545454545,80.28
4,씨제이프레시웨이,51500,15-Dec,-1.149425287,81.66
5,씨제이프레시웨이,51500,16-Dec,0,82.9
6,씨제이프레시웨이,51500,17-Dec,-1.162790698,82.45
7,씨제이프레시웨이,51500,18-Dec,1.149425287,83.32
8,씨제이프레시웨이,51500,19-Dec,0,83.47
0,씨젠,96530,11-Dec,,77.91
1,씨젠,96530,12-Dec,,80.41
2,씨젠,96530,13-Dec,,80.36
3,씨젠,96530,14-Dec,,79.71
4,씨젠,96530,15-Dec,3.571428571,77.5
5,씨젠,96530,16-Dec,3.448275862,77.25
6,씨젠,96530,17-Dec,14.70588235,78.45
7,씨젠,96530,18-Dec,0,81.48
8,씨젠,96530,19-Dec,-3.03030303,79.49
0,씨케이에이치푸드앤헬스리미티드,900120,11-Jun,22.5,0
1,씨케이에이치푸드앤헬스리미티드,900120,12-Jun,4.761904762,0
2,씨케이에이치푸드앤헬스리미티드,900120,13-Jun,12.5,0
3,씨케이에이치푸드앤헬스리미티드,900120,14-Jun,0,0
4,씨케이에이치푸드앤헬스리미티드,900120,15-Jun,0,0
5,씨케이에이치푸드앤헬스리미티드,900120,16-Jun,7.692307692,0
6,씨케이에이치푸드앤헬스리미티드,900120,17-Jun,18.75,0
7,씨케이에이치푸드앤헬스리미티드,900120,18-Jun,36.63366337,0
8,씨케이에이치푸드앤헬스리미티드,900120,19-Jun,3.80952381,0
0,씨큐브,101240,11-Dec,,77.91
1,씨큐브,101240,12-Dec,,80.41
2,씨큐브,101240,13-Dec,,80.36
3,씨큐브,101240,14-Dec,,79.71
4,씨큐브,101240,15-Dec,,77.5
5,씨큐브,101240,16-Dec,,77.25
6,씨큐브,101240,17-Dec,,78.45
7,씨큐브,101240,18-Dec,,81.48
8,씨큐브,101240,19-Dec,,79.49
0,씨티씨바이오,60590,11-Dec,4.166666667,80.81
1,씨티씨바이오,60590,12-Dec,-4.347826087,81.77
2,씨티씨바이오,60590,13-Dec,5.479452055,80.31
3,씨티씨바이오,60590,14-Dec,-4.285714286,80.28
4,씨티씨바이오,60590,15-Dec,0,81.66
5,씨티씨바이오,60590,16-Dec,5.405405405,82.9
6,씨티씨바이오,60590,17-Dec,3.896103896,82.45
7,씨티씨바이오,60590,18-Dec,-5.479452055,83.32
8,씨티씨바이오,60590,19-Dec,8.75,83.47
0,씨티케이,260930,17-Dec,,78.45
1,씨티케이,260930,18-Dec,11.53846154,81.48
2,씨티케이,260930,19-Dec,-6.849315068,79.49
0,아가방앤컴퍼니,13990,11-Dec,0,80.81
1,아가방앤컴퍼니,13990,12-Dec,1.694915254,81.77
2,아가방앤컴퍼니,13990,13-Dec,0,80.31
3,아가방앤컴퍼니,13990,14-Dec,-1.724137931,80.28
4,아가방앤컴퍼니,13990,15-Dec,-3.571428571,81.66
5,아가방앤컴퍼니,13990,16-Dec,0,82.9
6,아가방앤컴퍼니,13990,17-Dec,-3.703703704,82.45
7,아가방앤컴퍼니,13990,18-Dec,0,83.32
8,아가방앤컴퍼니,13990,19-Dec,-14.89361702,83.47
0,아나패스,123860,11-Dec,,78.63
1,아나패스,123860,12-Dec,,79.75
2,아나패스,123860,13-Dec,,81.65
3,아나패스,123860,14-Dec,,81.58
4,아나패스,123860,15-Dec,,81.36
5,아나패스,123860,16-Dec,,82.3
6,아나패스,123860,17-Dec,,81.2
7,아나패스,123860,18-Dec,,81.97
8,아나패스,123860,19-Dec,,81.8
0,아난티,25980,11-Dec,,67.98
1,아난티,25980,12-Dec,,72.14
2,아난티,25980,13-Dec,-16.12903226,62.29
3,아난티,25980,14-Dec,-21.56862745,66.33
4,아난티,25980,15-Dec,-8.510638298,69.36
5,아난티,25980,16-Dec,7.843137255,72.25
6,아난티,25980,17-Dec,7.272727273,70.8
7,아난티,25980,18-Dec,9.836065574,70.51
8,아난티,25980,19-Dec,-5.172413793,58.36
0,아남전자,8700,11-Dec,3.529411765,78.63
1,아남전자,8700,12-Dec,-1.19047619,79.75
2,아남전자,8700,13-Dec,-1.204819277,81.65
3,아남전자,8700,14-Dec,1.19047619,81.58
4,아남전자,8700,15-Dec,4.545454545,81.36
5,아남전자,8700,16-Dec,-4.761904762,82.3
6,아남전자,8700,17-Dec,2.325581395,81.2
7,아남전자,8700,18-Dec,8.510638298,81.97
8,아남전자,8700,19-Dec,-4.444444444,81.8
0,아리온테크놀로지,58220,11-Dec,,78.63
1,아리온테크놀로지,58220,12-Dec,,79.75
2,아리온테크놀로지,58220,13-Dec,,81.65
3,아리온테크놀로지,58220,14-Dec,,81.58
4,아리온테크놀로지,58220,15-Dec,,81.36
5,아리온테크놀로지,58220,16-Dec,,82.3
6,아리온테크놀로지,58220,17-Dec,0,81.2
7,아리온테크놀로지,58220,18-Dec,-2.352941176,81.97
8,아리온테크놀로지,58220,19-Dec,-19.71830986,81.8
0,아모그린텍,125210,15-Dec,,82.3
1,아모그린텍,125210,16-Dec,,81.2
2,아모그린텍,125210,17-Dec,,81.97
3,아모그린텍,125210,19-Dec,,81.8
0,아모레퍼시픽,90430,11-Dec,-3.333333333,77.91
1,아모레퍼시픽,90430,12-Dec,0,80.41
2,아모레퍼시픽,90430,13-Dec,-3.448275862,80.36
3,아모레퍼시픽,90430,14-Dec,-7.407407407,79.71
4,아모레퍼시픽,90430,15-Dec,-8,77.5
5,아모레퍼시픽,90430,16-Dec,0,77.25
6,아모레퍼시픽,90430,17-Dec,7.407407407,78.45
7,아모레퍼시픽,90430,18-Dec,0,81.48
8,아모레퍼시픽,90430,19-Dec,0,79.49
0,아모레퍼시픽그룹,2790,11-Dec,-3.225806452,0
1,아모레퍼시픽그룹,2790,12-Dec,-3.333333333,0
2,아모레퍼시픽그룹,2790,13-Dec,3.225806452,0
3,아모레퍼시픽그룹,2790,14-Dec,-10.71428571,0
4,아모레퍼시픽그룹,2790,15-Dec,-12,0
5,아모레퍼시픽그룹,2790,16-Dec,-4.166666667,0
6,아모레퍼시픽그룹,2790,17-Dec,11.11111111,0
7,아모레퍼시픽그룹,2790,18-Dec,0,0
8,아모레퍼시픽그룹,2790,19-Dec,-3.846153846,0
0,아모텍,52710,11-Dec,8,78.63
1,아모텍,52710,12-Dec,1.315789474,79.75
2,아모텍,52710,13-Dec,1.298701299,81.65
3,아모텍,52710,14-Dec,3.75,81.58
4,아모텍,52710,15-Dec,2.43902439,81.36
5,아모텍,52710,16-Dec,-5.128205128,82.3
6,아모텍,52710,17-Dec,-4,81.2
7,아모텍,52710,18-Dec,6.25,81.97
8,아모텍,52710,19-Dec,0,81.8
0,아미노로직스,74430,11-Dec,13.88888889,78.63
1,아미노로직스,74430,12-Dec,21.73913043,79.75
2,아미노로직스,74430,13-Dec,-45.26315789,81.65
3,아미노로직스,74430,14-Dec,2.06185567,81.58
4,아미노로직스,74430,15-Dec,-67.24137931,81.36
5,아미노로직스,74430,16-Dec,20.54794521,82.3
6,아미노로직스,74430,17-Dec,5.194805195,81.2
7,아미노로직스,74430,18-Dec,-24.19354839,81.97
8,아미노로직스,74430,19-Dec,25.30120482,81.8
0,아미코젠,92040,13-Dec,,72.785
1,아미코젠,92040,14-Dec,,72.72
2,아미코젠,92040,15-Dec,22.22222222,72.09
3,아미코젠,92040,16-Dec,4.545454545,71.455
4,아미코젠,92040,17-Dec,0,72.655
5,아미코젠,92040,18-Dec,2.941176471,74.955
6,아미코젠,92040,19-Dec,-17.24137931,79.39
0,아바코,83930,11-Dec,3.296703297,73.85
1,아바코,83930,12-Dec,3.191489362,75.13
2,아바코,83930,13-Dec,-6.818181818,74.77
3,아바코,83930,14-Dec,-3.529411765,76.93
4,아바코,83930,15-Dec,-2.409638554,77.48
5,아바코,83930,16-Dec,3.488372093,78.73
6,아바코,83930,17-Dec,2.272727273,80.02
7,아바코,83930,18-Dec,-3.529411765,81.15
8,아바코,83930,19-Dec,-8.974358974,80.98
0,아바텍,149950,12-Dec,,79.75
1,아바텍,149950,13-Dec,8,81.65
2,아바텍,149950,14-Dec,-10.29411765,81.58
3,아바텍,149950,15-Dec,15,81.36
4,아바텍,149950,16-Dec,-2.564102564,82.3
5,아바텍,149950,17-Dec,-1.298701299,81.2
6,아바텍,149950,18-Dec,,81.97
7,아바텍,149950,19-Dec,,81.8
0,아비코전자,36010,11-Dec,2.173913043,79.665
1,아비코전자,36010,12-Dec,-2.222222222,81.545
2,아비코전자,36010,13-Dec,-7.142857143,81.135
3,아비코전자,36010,14-Dec,-7.692307692,81.835
4,아비코전자,36010,15-Dec,-1.298701299,82.075
5,아비코전자,36010,16-Dec,0,81.51
6,아비코전자,36010,17-Dec,3.75,83.595
7,아비코전자,36010,18-Dec,6.976744186,84.085
8,아비코전자,36010,19-Dec,8.510638298,86.18
0,아세아,2030,11-Dec,-1.136363636,83.085
1,아세아,2030,12-Dec,-7.317073171,80.49
2,아세아,2030,13-Dec,0,79.905
3,아세아,2030,14-Dec,-1.234567901,80.78
4,아세아,2030,15-Dec,2.409638554,77.97
5,아세아,2030,16-Dec,-1.219512195,79.26
6,아세아,2030,17-Dec,2.380952381,81.73
7,아세아,2030,18-Dec,-6.329113924,82.22
8,아세아,2030,19-Dec,0,84.125
0,아세아시멘트,183190,13-Dec,,79.905
1,아세아시멘트,183190,14-Dec,1.351351351,80.78
2,아세아시멘트,183190,15-Dec,0,77.97
3,아세아시멘트,183190,16-Dec,1.333333333,79.26
4,아세아시멘트,183190,17-Dec,1.315789474,81.73
5,아세아시멘트,183190,18-Dec,5,82.22
6,아세아시멘트,183190,19-Dec,-1.265822785,84.125
0,아세아제지,2310,11-Dec,1.111111111,87.015
1,아세아제지,2310,12-Dec,-9.756097561,83.365
2,아세아제지,2310,13-Dec,5.747126437,84.915
3,아세아제지,2310,14-Dec,-1.162790698,85.41
4,아세아제지,2310,15-Dec,3.370786517,85.895
5,아세아제지,2310,16-Dec,-2.298850575,85.305
6,아세아제지,2310,17-Dec,3.333333333,88.34
7,아세아제지,2310,18-Dec,-16.88311688,84.105
8,아세아제지,2310,19-Dec,2.53164557,84.59
0,아세아텍,50860,11-Jun,,73.85
1,아세아텍,50860,12-Jun,2.469135802,75.13
2,아세아텍,50860,13-Jun,-1.25,74.77
3,아세아텍,50860,14-Jun,-1.265822785,76.93
4,아세아텍,50860,15-Jun,1.25,77.48
5,아세아텍,50860,16-Jun,-1.265822785,78.73
6,아세아텍,50860,17-Jun,0,80.02
7,아세아텍,50860,18-Jun,,81.15
8,아세아텍,50860,19-Jun,,80.98
0,아센디오,12170,11-Dec,,78.63
1,아센디오,12170,12-Dec,,79.75
2,아센디오,12170,13-Dec,16.16161616,81.65
3,아센디오,12170,14-Dec,0,81.58
4,아센디오,12170,15-Dec,0,81.36
5,아센디오,12170,16-Dec,,82.3
6,아센디오,12170,17-Dec,,81.2
7,아센디오,12170,18-Dec,4.705882353,81.97
8,아센디오,12170,19-Dec,-3.658536585,81.8
0,아스타,246720,17-Dec,,52.32
1,아스타,246720,18-Dec,-102.9411765,54.69
2,아스타,246720,19-Dec,-88.88888889,57.6
0,아스트,67390,14-Dec,,91.475
1,아스트,67390,15-Dec,,88.85
2,아스트,67390,16-Dec,,87.545
3,아스트,67390,17-Dec,1.176470588,88.54
4,아스트,67390,18-Dec,-2.409638554,91.865
5,아스트,67390,19-Dec,-7.792207792,90.035
0,아시아경제,127710,15-Dec,,8.75
1,아시아경제,127710,16-Dec,-27.08333333,8.05
2,아시아경제,127710,17-Dec,0,7.08
3,아시아경제,127710,18-Dec,-4.347826087,0
4,아시아경제,127710,19-Dec,6.12244898,0
0,아시아나아이디티,267850,18-Dec,,84.35
1,아시아나아이디티,267850,19-Dec,1.111111111,82.22
0,아시아나항공,20560,11-Dec,7.317073171,0
1,아시아나항공,20560,12-Dec,5.747126437,0
2,아시아나항공,20560,13-Dec,3.333333333,0
3,아시아나항공,20560,14-Dec,-1.123595506,0
4,아시아나항공,20560,15-Dec,-1.136363636,39.97
5,아시아나항공,20560,16-Dec,-3.529411765,40.07
6,아시아나항공,20560,17-Dec,1.162790698,79.785
7,아시아나항공,20560,18-Dec,4.444444444,85.195
8,아시아나항공,20560,19-Dec,6.25,94.755
