,회사명,거래소코드,회계년도,매출원가감소율,2011.mid,2012.mid,2013.mid,2014.mid,2015.mid,2016.mid,2017.mid,2018.mid,2019.mid
695,농심,4370,Dec-11,4.109589041,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
704,농심홀딩스,72710,Dec-11,1.176470588,0,0,0,0,0,0,0,0,0
713,누리플랜,69140,Dec-11,2.597402597,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
722,누리플렉스,40160,Dec-11,8.695652174,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
731,누보,332290,Dec-19,0,0,0,0,0,0,0,0,13.425,43.41
732,뉴로스,126870,Dec-12,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
740,뉴보텍,60260,Dec-11,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
749,뉴인텍,12340,Dec-11,2.272727273,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
758,뉴트리,270870,Dec-18,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
760,뉴파워프라즈마,144960,Dec-16,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
764,뉴프렉스,85670,Dec-11,-2.222222222,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
773,다나와,119860,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
782,다날,64260,Dec-11,0,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
791,다보링크,340360,Dec-19,0,0,0,0,0,0,0,0,13.425,43.41
792,다산네트웍스,39560,Dec-11,5.970149254,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
801,다우기술,23590,Dec-11,-7.407407407,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
810,다우데이타,32190,Dec-11,-5.084745763,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
819,다원시스,68240,Dec-11,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
828,다이나믹디자인,145210,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
833,대교,19680,Dec-11,0,39.575,41.175,43.375,44.96,56.37,53.67,54.175,47.75,53.78
842,대구백화점,6370,Mar-11,0,45.165,41.78,38.49,44.815,44.245,46.28,49.505,47.625,44.52
851,대덕,8060,Dec-11,3.370786517,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
860,대동,490,Dec-11,1.282051282,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
869,대동스틸,48470,Dec-11,0,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
878,대륙제관,4780,Dec-11,0,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
887,대림제지,17650,Dec-11,0,87.015,83.365,84.915,85.41,85.895,85.305,88.34,84.105,84.59
896,대명소노시즌,7720,Dec-11,13.0952381,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
905,대성미생물연구소,36480,Dec-11,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
914,대성엘텍,25440,Dec-11,6.12244898,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
923,대성파인텍,104040,Dec-11,-3.896103896,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
932,대양금속,9190,Dec-11,15.88785047,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
941,대우건설,47040,Dec-11,-8.888888889,90.885,91.785,93.005,92.97,91.755,90.575,90.275,89.78,90.355
950,대웅,3090,Dec-11,9.677419355,0,0,0,0,0,0,0,0,0
959,대웅제약,69620,Dec-11,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
968,대원,7680,Dec-17,0,90.885,91.785,93.005,92.97,91.755,90.575,90.275,89.78,90.355
971,대유,290380,Dec-18,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
973,대유에이텍,2880,Dec-11,2.173913043,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
982,대유에이피,290120,Dec-18,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
984,대유플러스,300,Dec-11,2.127659574,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
993,대창,12800,Dec-11,3.157894737,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
1002,대창솔루션,96350,Dec-11,0,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
1011,대창스틸,140520,Dec-14,0,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
1017,대한과학,131220,Dec-11,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
1026,대한항공,3490,Dec-11,9.302325581,0,0,0,0,39.97,40.07,79.785,85.195,94.755
1035,대현,16090,Dec-11,0,40.48,42.2,41.28,44.43,44.29,43.36,45.09,44.83,43.36
1044,대호에이엘,69460,Dec-11,1.111111111,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
1053,대호특수강,21040,Dec-11,0,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
1062,더 미동,161570,Dec-13,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1069,더블유게임즈,192080,Dec-19,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
1070,더블유아이,73570,Dec-11,2.150537634,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1079,더블유에스아이,299170,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
1081,더존비즈온,12510,Dec-11,8.333333333,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1090,덕산테코피아,317330,Dec-19,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1091,덕성,4830,Dec-11,1.098901099,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
1100,덕신하우징,90410,Dec-14,0,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
1106,데이타솔루션,263800,Dec-17,0,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1109,덱스터스튜디오,206560,Dec-15,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
1114,덴티스,261200,Dec-17,0,0,0,0,0,0,0,0,13.425,43.41
1117,덴티움,145720,Dec-17,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1120,도화엔지니어링,2150,Dec-11,0,85.355,84.965,83.825,85.75,83.845,86.755,83.805,83.645,73.735
1129,동구바이오제약,6620,Dec-18,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
1131,동국알앤에스,75970,Dec-11,-1.176470588,83.085,80.49,79.905,80.78,77.97,79.26,81.73,82.22,84.125
1140,동국에스엔씨,100130,Dec-11,-2.197802198,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
1149,동남합성,23450,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1158,동방,4140,Dec-11,1.111111111,91.1,91.44,92.89,91.51,90.67,90.72,92.38,92.23,91.62
1167,동방선기,99410,Dec-11,0,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
1176,동방아그로,7590,Dec-11,1.428571429,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1185,동서,26960,Dec-16,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
1189,동성케미컬,102260,Dec-11,3.448275862,0,0,0,0,0,0,0,0,0
1198,동성화인텍,33500,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1207,동아엘텍,88130,Dec-11,10.81081081,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1216,동아지질,28100,Dec-11,4.210526316,89.535,90.605,90.66,91.65,90.545,89.99,90.27,88.535,90.84
1225,동양,1520,Dec-11,0,83.085,80.49,79.905,80.78,77.97,79.26,81.73,82.22,84.125
1234,동양고속,84670,Dec-11,6.976744186,91.1,91.44,92.89,91.51,90.67,90.72,92.38,92.23,91.62
1243,동양에스텍,60380,Dec-11,1.063829787,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
1252,동우팜투테이블,88910,Dec-11,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
1261,동운아나텍,94170,Dec-15,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1266,동원개발,13120,Dec-11,0,90.885,91.785,93.005,92.97,91.755,90.575,90.275,89.78,90.355
1275,동원에프앤비,49770,Dec-11,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
1284,동일기연,32960,Dec-11,9.677419355,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1293,동진쎄미켐,5290,Dec-11,6.741573034,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1302,두산,150,Dec-11,15.06849315,0,0,0,0,0,0,0,0,0
