,회사명,회계년도,거래소코드_x,매출원가율,매출원가율여부,거래소코드_y,매출원가감소율,산업중간값
125,STX,14-Dec,11810,0.95,,11810,-37.6344086,80.28
126,STX,15-Dec,11810,0.99,,11810,4.12371134,81.66
127,STX,16-Dec,11810,0.95,,11810,-2.105263158,82.9
128,STX,17-Dec,11810,0.97,,11810,0,82.45
129,STX,18-Dec,11810,0.99,,11810,4.04040404,83.32
130,STX,19-Dec,11810,0.99,,11810,-2.06185567,83.47
131,STX엔진,11-Dec,77970,0.86,,77970,0,73.85
132,STX엔진,12-Dec,77970,9.01,,77970,4.444444444,75.13
133,STX엔진,13-Dec,77970,0.97,,77970,7.216494845,74.77
134,STX엔진,14-Dec,77970,0.94,,77970,-3.191489362,76.93
135,STX엔진,15-Dec,77970,0.09,,77970,,77.48
136,STX엔진,16-Dec,77970,0.91,,77970,,78.73
137,STX엔진,17-Dec,77970,0.9,,77970,-1.111111111,80.02
138,STX엔진,18-Dec,77970,0.87,,77970,-3.448275862,81.15
139,STX엔진,19-Dec,77970,0.89,,77970,2.247191011,80.98
140,STX중공업,11-Dec,71970,0.87,,71970,0,73.85
141,STX중공업,12-Dec,71970,0.9,,71970,1.052631579,75.13
142,STX중공업,13-Dec,71970,1.01,,71970,5.940594059,74.77
143,STX중공업,14-Dec,71970,0.97,,71970,-4.12371134,76.93
144,STX중공업,15-Dec,71970,9.23,,71970,-5.434782609,77.48
145,STX중공업,16-Dec,71970,1.27,,71970,27.55905512,78.73
146,STX중공업,17-Dec,71970,0.93,,71970,-47.6744186,80.02
147,STX중공업,18-Dec,71970,1,,71970,14,81.15
148,STX중공업,19-Dec,71970,0.95,,71970,-5.263157895,80.98
149,TCC스틸,11-Dec,2710,0.92,,2710,3.260869565,90.89
150,TCC스틸,12-Dec,2710,0.91,,2710,-1.098901099,91.46
151,TCC스틸,13-Dec,2710,0.95,,2710,4.210526316,91.98
152,TCC스틸,14-Dec,2710,0.93,,2710,-2.150537634,91.175
153,TCC스틸,15-Dec,2710,0.91,,2710,-2.197802198,90.055
154,TCC스틸,16-Dec,2710,0.91,,2710,0,89.125
155,TCC스틸,17-Dec,2710,0.91,,2710,0,90.23
156,TCC스틸,18-Dec,2710,0.91,,2710,0,91.965
157,TCC스틸,19-Dec,2710,0.93,,2710,2.150537634,92.405
158,가온미디어,11-Dec,78890,0.83,,78890,2.409638554,78.63
159,가온미디어,12-Dec,78890,0.82,,78890,-1.219512195,79.75
160,가온미디어,13-Dec,78890,0.84,,78890,2.380952381,81.65
161,가온미디어,14-Dec,78890,0.84,,78890,0,81.58
162,가온미디어,15-Dec,78890,0.81,,78890,-3.703703704,81.36
163,가온미디어,16-Dec,78890,0.83,,78890,2.409638554,82.3
164,가온미디어,17-Dec,78890,0.85,,78890,2.352941176,81.2
165,가온미디어,18-Dec,78890,0.88,,78890,3.409090909,81.97
166,가온미디어,19-Dec,78890,0.84,,78890,-4.761904762,81.8
167,감성코퍼레이션,11-Dec,36620,1,,36620,,80.81
168,감성코퍼레이션,12-Dec,36620,1,,36620,,81.77
169,감성코퍼레이션,13-Dec,36620,1,,36620,,80.31
170,감성코퍼레이션,14-Dec,36620,1,,36620,,80.28
171,감성코퍼레이션,15-Dec,36620,1,,36620,,81.66
172,감성코퍼레이션,16-Dec,36620,1,,36620,,82.9
173,감성코퍼레이션,17-Dec,36620,1,,36620,,82.45
174,감성코퍼레이션,18-Dec,36620,0.91,,36620,,83.32
175,감성코퍼레이션,19-Dec,36620,0.82,,36620,-10.97560976,83.47
176,강남제비스코,11-Dec,860,0.87,,860,1.149425287,77.91
177,강남제비스코,12-Dec,860,0.86,,860,-1.162790698,80.41
178,강남제비스코,13-Dec,860,0.84,,860,-2.380952381,80.36
179,강남제비스코,14-Dec,860,0.84,,860,0,79.71
180,강남제비스코,15-Dec,860,0.81,,860,-3.703703704,77.5
181,강남제비스코,16-Dec,860,0.8,,860,-1.25,77.25
182,강남제비스코,17-Dec,860,0.84,,860,4.761904762,78.45
183,강남제비스코,18-Dec,860,0.88,,860,4.545454545,81.48
184,강남제비스코,19-Dec,860,0.88,,860,0,79.49
185,강스템바이오텍,15-Dec,217730,1,,217730,0,0.0
186,강스템바이오텍,16-Dec,217730,1,,217730,0,3.42
187,강스템바이오텍,17-Dec,217730,0.64,,217730,0,27.81
188,강스템바이오텍,18-Dec,217730,0.87,,217730,26.43678161,50.99
189,강스템바이오텍,19-Dec,217730,1.07,,217730,18.69158879,50.43
190,강원에너지,12-Dec,114190,1,,114190,0,82.3
191,강원에너지,13-Dec,114190,1,,114190,0,81.985
192,강원에너지,14-Dec,114190,1,,114190,0,81.55
193,강원에너지,15-Dec,114190,0.83,,114190,0,81.985
194,강원에너지,16-Dec,114190,0.83,,114190,0,83.13
195,강원에너지,17-Dec,114190,0.99,,114190,16.16161616,82.425
196,강원에너지,18-Dec,114190,0.93,,114190,-6.451612903,84.185
197,강원에너지,19-Dec,114190,1.14,,114190,18.42105263,84.755
198,갤럭시아에스엠,11-Dec,11420,0.82,,11420,-2.43902439,67.98
199,갤럭시아에스엠,12-Dec,11420,0.86,,11420,4.651162791,72.14
200,갤럭시아에스엠,13-Dec,11420,0.9,,11420,4.444444444,62.29
201,갤럭시아에스엠,14-Dec,11420,0.92,,11420,2.173913043,66.33
202,갤럭시아에스엠,15-Dec,11420,0.9,,11420,-2.222222222,69.36
203,갤럭시아에스엠,16-Dec,11420,0.98,,11420,8.163265306,72.25
204,갤럭시아에스엠,17-Dec,11420,1,,11420,2,70.8
205,갤럭시아에스엠,18-Dec,11420,1.24,,11420,19.35483871,70.51
206,갤럭시아에스엠,19-Dec,11420,0.94,,11420,-31.91489362,58.36
207,경남제약,11-Dec,53950,1,,53950,,41.73
208,경남제약,12-Dec,53950,1,,53950,,41.84
209,경남제약,13-Dec,53950,1,,53950,,43.25
210,경남제약,14-Dec,53950,1,,53950,,44.93
211,경남제약,15-Dec,53950,1,,53950,,48.21
212,경남제약,16-Dec,53950,1,,53950,,52.51
213,경남제약,17-Dec,53950,1,,53950,,52.32
214,경남제약,18-Dec,53950,0.6,,53950,,54.69
215,경남제약,19-Dec,53950,0.62,,53950,3.225806452,57.6
216,경동인베스트,11-Dec,12320,0.94,,12320,2.127659574,91.06
217,경동인베스트,12-Dec,12320,0.95,,12320,1.052631579,91.5
218,경동인베스트,13-Dec,12320,0.95,,12320,0,92.2
219,경동인베스트,14-Dec,12320,0.95,,12320,0,91.89
220,경동인베스트,15-Dec,12320,0.95,,12320,0,89.76
221,경동인베스트,16-Dec,12320,0.9,,12320,-5.555555556,87.27
222,경동인베스트,17-Dec,12320,0.72,,12320,-25,87.11
223,경동인베스트,18-Dec,12320,0.75,,12320,4,87.65
224,경동인베스트,19-Dec,12320,0.82,,12320,8.536585366,86.35
225,경방,11-Dec,50,0.74,,50,6.756756757,89.195
226,경방,12-Dec,50,0.78,,50,5.128205128,90.545
227,경방,13-Dec,50,0.72,,50,-8.333333333,88.935
228,경방,14-Dec,50,0.72,,50,0,89.09
229,경방,15-Dec,50,0.72,,50,0,88.755
230,경방,16-Dec,50,0.71,,50,-1.408450704,87.06
231,경방,17-Dec,50,0.7,,50,-1.428571429,91.84
232,경방,18-Dec,50,0.69,,50,-1.449275362,92.455
233,경방,19-Dec,50,0.71,,50,2.816901408,90.715
234,경인전자,11-Dec,9140,0.84,,9140,3.571428571,78.63
235,경인전자,12-Dec,9140,0.79,,9140,-6.329113924,79.75
236,경인전자,13-Dec,9140,0.79,,9140,0,81.65
237,경인전자,14-Dec,9140,0.74,,9140,-6.756756757,81.58
238,경인전자,15-Dec,9140,0.75,,9140,1.333333333,81.36
239,경인전자,16-Dec,9140,0.78,,9140,3.846153846,82.3
240,경인전자,17-Dec,9140,0.81,,9140,3.703703704,81.2
241,경인전자,18-Dec,9140,0.85,,9140,4.705882353,81.97
242,경인전자,19-Dec,9140,0.81,,9140,-4.938271605,81.8
243,경창산업,11-Dec,24910,0.93,,24910,3.225806452,86.155
244,경창산업,12-Dec,24910,0.91,,24910,-2.197802198,87.3
245,경창산업,13-Dec,24910,0.88,,24910,-3.409090909,87.315
246,경창산업,14-Dec,24910,0.88,,24910,0,87.805
247,경창산업,15-Dec,24910,0.88,,24910,0,86.72
248,경창산업,16-Dec,24910,0.87,,24910,-1.149425287,87.335
