,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
11976,아진산업(주),13310,Dec-15,33003,  자동차 및 트레일러 제조업,,,,,,,,,
11981,안국약품(주),1540,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
11990,알리코제약(주),260660,Dec-18,32103,  의료용 물질 및 의약품 제조업,,,,,,,,,
11992,알서포트(주),131370,Dec-11,117201,  기타금융업,,,,,,,,,
12001,알에스오토메이션(주),140670,Dec-17,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12004,알에프머트리얼즈(주),327260,Dec-19,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12005,알에프에이치아이씨(주),218410,Dec-15,117201,  기타금융업,,,,,,,,,
12010,압타바이오(주),293780,Dec-19,137001,  연구개발업,,,,,,,,,
12011,애경산업(주),18250,Dec-18,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12013,애경케미칼(주),161000,Dec-12,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12021,애니젠(주),196300,Dec-16,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
12025,애머릿지코퍼레이션,900100,Dec-11,74502,  자동차 및 부품 판매업,,,,,,,,,
12034,앱클론(주),174900,Dec-17,32103,  의료용 물질 및 의약품 제조업,,,,,,,,,
12037,어보브반도체(주),102120,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12046,에스넷시스템(주),38680,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
12055,에스디엔(주),99220,Dec-11,74605,  도매 및 상품 중개업,,,,,,,,,
12064,에스맥(주),97780,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12073,에스비더블유생명과학(주),151910,Dec-12,32703,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
12081,에스비아이핀테크솔루션즈(주),950110,Mar-13,105802,  출판업,,,,,,,,,
12088,에스씨아이평가정보(주),36120,Dec-11,147509,  사업지원 서비스업,,,,,,,,,
12097,에스엔유프리시젼(주),80000,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12106,에스엔케이폴리텍(주),91340,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12115,에스엘(주),5850,Mar-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12124,에스와이(주),109610,Dec-15,32501,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
12129,에스지씨에너지(주),5090,Dec-11,32301,  비금속 광물제품 제조업,,,,,,,,,
12138,에스지씨이테크건설(주),16250,Dec-11,64101,  종합 건설업,,,,,,,,,
12147,에스지에이(주),49470,Dec-11,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12156,에스지에이솔루션즈(주),184230,Jun-14,117201,  기타금융업,,,,,,,,,
12162,에스지이(주),255220,Dec-18,32309,  비금속 광물제품 제조업,,,,,,,,,
12164,에스케이(주),34730,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
12173,에스케이가스(주),18670,Dec-11,74607,  도매 및 상품 중개업,,,,,,,,,
12182,에스케이네트웍스(주),1740,Dec-11,74607,  도매 및 상품 중개업,,,,,,,,,
12191,에스케이디스커버리(주),6120,Dec-11,32005,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12200,에스케이디앤디(주),210980,Dec-15,126801,  부동산업,,,,,,,,,
12205,에스케이렌터카(주),68400,Dec-12,147601,  임대업; 부동산 제외,,,,,,,,,
12213,에스케이씨(주),11790,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12222,에스케이케미칼(주),285130,Dec-18,32002,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12224,에스케이텔레콤(주),17670,Dec-11,106102,  우편 및 통신업,,,,,,,,,
12233,에스케이하이닉스(주),660,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12242,에스텍(주),69510,Dec-11,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12251,에스트래픽(주),234300,Dec-17,106200,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
12254,에스티팜(주),237690,Dec-16,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
12258,에스퓨얼셀(주),288620,Dec-18,32801,  전기장비 제조업,,,,,,,,,
12260,에쓰-오일(주),10950,Dec-11,31902,"  코크스, 연탄 및 석유정제품 제조업",,,,,,,,,
12269,에쓰씨엔지니어링(주),23960,Dec-11,137201,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",,,,,,,,,
12278,에어부산(주),298690,Dec-18,85101,  항공 운송업,,,,,,,,,
12280,에이비엘바이오(주),298380,Dec-18,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
12282,에이에프더블류(주),312610,Dec-19,32802,  전기장비 제조업,,,,,,,,,
12283,에이치디씨(주),12630,Dec-11,64101,  종합 건설업,,,,,,,,,
12292,에이치디씨랩스(주),39570,Dec-15,64203,  전문직별 공사업,,,,,,,,,
12297,에이치디씨현대산업개발(주),294870,Dec-18,64101,  종합 건설업,,,,,,,,,
12299,에이치디씨현대이피(주),89470,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12308,에이치에스디엔진(주),82740,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
12317,에이치엘비(주),28300,Dec-11,32801,  전기장비 제조업,,,,,,,,,
12326,에이치엘비글로벌(주),3580,Dec-11,20501,"  석탄, 원유 및 천연가스 광업",,,,,,,,,
12335,에이치엘비생명과학(주),67630,Dec-11,137201,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",,,,,,,,,
12344,에이치엘비제약(주),47920,Dec-15,137001,  연구개발업,,,,,,,,,
12349,에이치엘비테라퓨틱스(주),115450,Dec-11,105802,  출판업,,,,,,,,,
12358,에이치엠엠(주),11200,Dec-11,85001,  수상 운송업,,,,,,,,,
12367,에이케이홀딩스(주),6840,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12376,에이테크솔루션(주),71670,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12385,에이프로젠제약(주),3060,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
12394,에이피시스템(주),265520,Dec-17,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12397,에이피에스홀딩스(주),54620,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
12406,에이피위성(주),211270,Dec-16,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12410,에이피티씨(주),89970,Dec-18,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12412,에코바이오홀딩스(주),38870,Dec-11,43502,"  전기, 가스, 증기 및 공기조절 공급업",,,,,,,,,
12421,에코캡(주),128540,Dec-18,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12423,에코플라스틱(주),38110,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12432,에프엔에스테크(주),83500,Dec-17,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12435,엑스큐어(주),70300,Dec-11,105802,  출판업,,,,,,,,,
