회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)네패스아크,330860,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,61104452
(주)넥센,5720,      비유동금융부채(*)(IFRS)(천원),513845,559047,315059,257473,0,0,0,0,294144
(주)넥스턴바이오사이언스,89140,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,13552
(주)넥스트아이,137940,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,10344
(주)넥스트엔터테인먼트월드,160550,      비유동금융부채(*)(IFRS)(천원),,,0,0,740000,0,0,0,4144295
(주)넥스틴,348210,      비유동금융부채(*)(IFRS)(천원),,,,,,,,0,596378
(주)넥슨게임즈,225570,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,12129143
(주)넵튠,217270,      비유동금융부채(*)(IFRS)(천원),,,,,,0,0,0,1003241
(주)노랑풍선,104620,      비유동금융부채(*)(IFRS)(천원),,,,0,120480,82506,0,0,659310
(주)노루페인트,90350,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,15585,0,0,0,1005726
(주)노루홀딩스,320,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,16587,253,0,23151,76446
(주)노바렉스,194700,      비유동금융부채(*)(IFRS)(천원),,0,0,0,0,0,0,0,1658006
(주)노바텍,285490,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,0
(주)노블엠앤비,106520,      비유동금융부채(*)(IFRS)(천원),9309,0,0,0,0,0,0,0,3885462
(주)노터스,278650,      비유동금융부채(*)(IFRS)(천원),,,,,,2902459,8155522,8885238,291913
(주)녹십자,6280,      비유동금융부채(*)(IFRS)(천원),0,0,437000,96000,986362,5941938,5457000,5054000,59948333
(주)녹십자엠에스,142280,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1612270,2233087,0,0,5010049
(주)녹십자웰빙,234690,      비유동금융부채(*)(IFRS)(천원),,,,,,0,0,0,7135970
(주)녹십자홀딩스,5250,      비유동금융부채(*)(IFRS)(천원),188922,208304,52016,0,0,0,1816612,1267000,7108244
(주)녹원씨엔아이,65560,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)농심,4370,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,7030446
(주)농심홀딩스,72710,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,29550
(주)누리플랜,69140,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,171145
(주)누리플렉스,40160,      비유동금융부채(*)(IFRS)(천원),0,2421,100000,0,0,0,0,0,20114
(주)누보,332290,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)뉴로스,126870,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,168194
(주)뉴보텍,60260,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,233257
(주)뉴인텍,12340,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)뉴트리,270870,      비유동금융부채(*)(IFRS)(천원),,,,,,,9676032,0,85745
(주)뉴파워프라즈마,144960,      비유동금융부채(*)(IFRS)(천원),,,,0,2240994,0,0,0,210878
(주)뉴프렉스,85670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,398300,14741
(주)다나와,119860,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,300000,300000,0,0,612650
(주)다날,64260,      비유동금융부채(*)(IFRS)(천원),0,0,598330,381145,45918,96829,0,0,4262707
(주)다보링크,340360,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)다산네트웍스,39560,      비유동금융부채(*)(IFRS)(천원),1261520,1073740,855381,722497,0,0,0,1489220,26466
(주)다우기술,23590,      비유동금융부채(*)(IFRS)(천원),609634,441936,379358,167590,145183,130720,299440,4364721,8494094
(주)다우데이타,32190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,367424,585048
(주)다원시스,68240,      비유동금융부채(*)(IFRS)(천원),55000,185000,0,0,0,0,0,0,260213
(주)다이나믹디자인,145210,      비유동금융부채(*)(IFRS)(천원),67434,197125,0,174327,118115,0,62000,0,9148400
(주)대교,19680,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,69312286
(주)대구백화점,6370,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,744874
(주)대덕,8060,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,740549,705034,0,0,2004125
(주)대동,490,      비유동금융부채(*)(IFRS)(천원),85000,165000,0,0,0,0,0,0,0
(주)대동스틸,48470,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,19920
(주)대륙제관,4780,      비유동금융부채(*)(IFRS)(천원),0,61750,2222026,918718,81750,61750,61750,61750,174081
(주)대림제지,17650,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,232430,0,261116
(주)대명소노시즌,7720,      비유동금융부채(*)(IFRS)(천원),24500,24500,24500,115440,115440,0,90940,90940,3243788
(주)대성미생물연구소,36480,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,643109
(주)대성엘텍,25440,      비유동금융부채(*)(IFRS)(천원),19910,4812525,3259389,2705726,2037449,1975396,1199680,353832,1153743
(주)대성파인텍,104040,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,24872
(주)대양금속,9190,      비유동금융부채(*)(IFRS)(천원),251633,0,0,0,0,0,0,0,9264
(주)대우건설,47040,      비유동금융부채(*)(IFRS)(천원),50042000,38261000,43417000,100123000,77673000,30941000,35248000,27428000,325013970
(주)대웅,3090,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,320143
(주)대웅제약,69620,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,3139802
(주)대원,7680,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,2764438,1879773
(주)대유,290380,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,434903
(주)대유에이텍,2880,      비유동금융부채(*)(IFRS)(천원),0,0,0,3814529,16313768,6823580,9317796,7540020,308721
(주)대유에이피,290120,      비유동금융부채(*)(IFRS)(천원),,,,,,,,0,35331
(주)대유플러스,300,      비유동금융부채(*)(IFRS)(천원),0,0,0,465207,465207,832144,4170897,3020617,2849464
(주)대창,12800,      비유동금융부채(*)(IFRS)(천원),384000,388000,397000,404000,389000,740000,311000,0,48619
(주)대창솔루션,96350,      비유동금융부채(*)(IFRS)(천원),0,0,7411,4510,16392,11583,7737,0,296230
(주)대창스틸,140520,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,89472
(주)대한과학,131220,      비유동금융부채(*)(IFRS)(천원),1022500,1015500,1077700,1098060,1101722,1296627,1294332,1379832,1372113
(주)대한항공,3490,      비유동금융부채(*)(IFRS)(천원),5712311069,5297445952,5946082387,6951845733,8363528178,8527766448,7734516428,7573536997,7902579325
(주)대현,16090,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,855562
(주)대호에이엘,69460,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)대호특수강,21040,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,29131
(주)더 미동,161570,      비유동금융부채(*)(IFRS)(천원),,0,0,0,0,0,0,0,0
(주)더네이쳐홀딩스,298540,      비유동금융부채(*)(IFRS)(천원),,,,,,,,7593160,1653003
(주)더블유게임즈,192080,      비유동금융부채(*)(IFRS)(천원),,,,0,0,0,0,0,13357593
(주)더블유아이,73570,      비유동금융부채(*)(IFRS)(천원),1492562,0,0,0,0,0,0,0,148568
(주)더블유에스아이,299170,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)더존비즈온,12510,      비유동금융부채(*)(IFRS)(천원),13837271,15517147,6889644,2424518,379836,873987,610534,334087,743984
(주)덕산테코피아,317330,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,93385
(주)덕성,4830,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,155000,111561
(주)덕신하우징,90410,      비유동금융부채(*)(IFRS)(천원),,,0,0,0,0,0,0,1701395
(주)데이타솔루션,263800,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,60145
(주)덱스터스튜디오,206560,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,1934954
(주)덴티스,261200,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)덴티움,145720,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,1184648
(주)도화엔지니어링,2150,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,393217
(주)동구바이오제약,6620,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,498835
(주)동국알앤에스,75970,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,19409
(주)동국에스엔씨,100130,      비유동금융부채(*)(IFRS)(천원),24745,50178,4157,0,0,0,0,0,22954
(주)동남합성,23450,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)동방,4140,      비유동금융부채(*)(IFRS)(천원),88111,0,0,0,10081034,2613242,1091365,741147,11233993
(주)동방선기,99410,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,44600
(주)동방아그로,7590,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,783591
(주)동서,26960,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,235517
(주)동성케미컬,102260,      비유동금융부채(*)(IFRS)(천원),8188924,0,0,0,0,10982,0,0,3536671
(주)동성화인텍,33500,      비유동금융부채(*)(IFRS)(천원),250000,0,0,0,0,0,0,250000,334452
(주)동아엘텍,88130,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)동아지질,28100,      비유동금융부채(*)(IFRS)(천원),140000,0,0,0,0,0,0,0,558200
(주)동양,1520,      비유동금융부채(*)(IFRS)(천원),3465939,1240864,260143,56837720,2893197,207711,414104,0,1722630
(주)동양고속,84670,      비유동금융부채(*)(IFRS)(천원),3551680,6619480,9204203,9312003,9470471,9267810,9143034,7175896,7233212
(주)동양에스텍,60380,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,49585
(주)동우팜투테이블,88910,      비유동금융부채(*)(IFRS)(천원),0,0,2615180,0,0,0,0,0,953493
(주)동운아나텍,94170,      비유동금융부채(*)(IFRS)(천원),2203407,2424820,0,0,0,0,0,0,35101
(주)동원개발,13120,      비유동금융부채(*)(IFRS)(천원),1500000,900000,925000,1475000,915746,989196,2900546,1843364,2117402
(주)동원에프앤비,49770,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,2171688
(주)동일기연,32960,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,64607
(주)동진쎄미켐,5290,      비유동금융부채(*)(IFRS)(천원),3131641,5431653,3557451,2171866,3642980,2542611,1567821,1549476,4620228
(주)두산,150,      비유동금융부채(*)(IFRS)(천원),66560,0,0,0,10874,8679,0,0,8584406
(주)두산테스나,131970,      비유동금융부채(*)(IFRS)(천원),5314516,9956084,3212957,2448434,2101286,2038452,593643,3313793,7998819
(주)두올,16740,      비유동금융부채(*)(IFRS)(천원),,,,23629811,372584,164860,35430,232840,102835
(주)듀오백,73190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,256374
(주)드래곤플라이,30350,      비유동금융부채(*)(IFRS)(천원),2070,0,0,0,0,0,0,0,200533
(주)드림시큐리티,203650,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,15520
(주)드림씨아이에스,223250,      비유동금융부채(*)(IFRS)(천원),,,,0,0,0,0,0,398945
(주)드림어스컴퍼니,60570,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,670071
(주)드림텍,192650,      비유동금융부채(*)(IFRS)(천원),39905,38490,0,0,0,0,3336945,3920295,342782
(주)디딤,217620,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,1461525,30924511
(주)디모아,16670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,360000,419848
(주)디바이스이엔지,187870,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,32471
(주)디비아이엔씨,12030,      비유동금융부채(*)(IFRS)(천원),4926913,2960525,3279288,2360183,3780567,5607800,2161813,1770509,12123036
(주)디스플레이테크,66670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)디아이,3160,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,721492
(주)디아이씨,92200,      비유동금융부채(*)(IFRS)(천원),819407,557644,0,0,0,0,0,450791,530177
(주)디아크,78590,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,2134970,0,329145
(주)디알비동일,4840,      비유동금융부채(*)(IFRS)(천원),1888933,1543593,1398213,549697,273398,207438,172269,74399,299685
(주)디알젬,263690,      비유동금융부채(*)(IFRS)(천원),,,,,,0,0,0,37899
(주)디알텍,214680,      비유동금융부채(*)(IFRS)(천원),,,,,,0,0,0,3942057
(주)디앤씨미디어,263720,      비유동금융부채(*)(IFRS)(천원),,,,,,0,0,0,113588
(주)디에스앤엘,141020,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,761866,0,0,0
(주)디에스케이,109740,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,28618
(주)디에이테크놀로지,196490,      비유동금융부채(*)(IFRS)(천원),,,2582549,0,0,0,0,0,96456
(주)디에이피,66900,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,304035
(주)디엔에이링크,127120,      비유동금융부채(*)(IFRS)(천원),3895110,0,0,0,0,0,0,0,747
(주)디엔에프,92070,      비유동금융부채(*)(IFRS)(천원),68039,68039,168039,168039,168039,168039,168039,0,282000
