,회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
40,(주)국순당,43650,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,15208.0,4521.0,1881.0,0.0,11326.0,1896.0,181300.0,,-inf,70.27,58.39,100.0,-inf,83.26,-9462.24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
41,(주)국영지앤엠,6050,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005562.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,(주)국전약품,307750,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,(주)그래디언트,35080,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730831.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,(주)그리티,204020,      비유동금융부채(*)(IFRS)(천원),,,,0.0,0.0,0.0,0.0,0.0,645668.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,(주)그린플러스,186230,      비유동금융부채(*)(IFRS)(천원),,,,,,,,431889.0,556772.0,,,,,,,,-28.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,(주)글로벌스탠다드테크놀로지,83450,      비유동금융부채(*)(IFRS)(천원),0.0,15344.0,0.0,0.0,64768.0,0.0,1000000.0,0.0,59498.0,-inf,100.0,,-inf,100.0,-inf,100.0,-inf,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
47,(주)금비,8870,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,24139.0,105292.0,0.0,0.0,0.0,0.0,0.0,,-inf,-336.19,100.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48,(주)금양,1570,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,(주)금호에이치티,214330,      비유동금융부채(*)(IFRS)(천원),,,106453.0,196364.0,75231.0,0.0,0.0,0.0,64497.0,,,-84.46,61.69,100.0,,,-inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,(주)금화피에스시,36190,      비유동금융부채(*)(IFRS)(천원),490927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27568.0,100.0,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,(주)기가레인,49080,      비유동금융부채(*)(IFRS)(천원),,,166500.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,(주)기산텔레콤,35460,      비유동금융부채(*)(IFRS)(천원),103211.0,0.0,87130.0,0.0,0.0,295200.0,295200.0,0.0,86374.0,100.0,-inf,100.0,,-inf,0.0,100.0,-inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
53,(주)까뮤이앤씨,13700,      비유동금융부채(*)(IFRS)(천원),512117.0,69737.0,0.0,0.0,0.0,0.0,0.0,0.0,1380045.0,86.38,100.0,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,(주)까스텔바작,308100,      비유동금융부채(*)(IFRS)(천원),,,,,,0.0,0.0,0.0,41415.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,(주)나노,187790,      비유동금융부채(*)(IFRS)(천원),,,,,0.0,0.0,0.0,0.0,98308.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,(주)나노브릭,286750,      비유동금융부채(*)(IFRS)(천원),,,,,,,0.0,1356083.0,92600.0,,,,,,,-inf,93.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,(주)나노신소재,121600,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,1100135.0,1100135.0,0.0,1241847.0,,,,,-inf,0.0,100.0,-inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,(주)나노엔텍,39860,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8193.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,(주)나래나노텍,137080,      비유동금융부채(*)(IFRS)(천원),,,,,,,0.0,0.0,20520.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,(주)나무가,190510,      비유동금융부채(*)(IFRS)(천원),,0.0,0.0,0.0,0.0,291414.0,370128.0,111179.0,3316832.0,,,,,-inf,-27.01,69.96,-2883.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
61,(주)나스미디어,89600,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474467.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,(주)나이벡,138610,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699943.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,(주)나이스디앤비,130580,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794664.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,(주)나이스홀딩스,34310,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,346340.0,601530.0,26800563.0,16361960.0,,,,,-inf,-73.68,-4355.4,38.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
65,(주)나인테크,267320,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,(주)남선알미늄,8350,      비유동금융부채(*)(IFRS)(천원),728533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100684.0,100.0,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,(주)남성,4270,      비유동금융부채(*)(IFRS)(천원),4039363.0,4001962.0,3727243.0,3790395.0,3859688.0,3797402.0,3883482.0,2677782.0,2611582.0,0.93,6.86,-1.69,-1.83,1.61,-2.27,31.05,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,(주)내츄럴엔도텍,168330,      비유동금융부채(*)(IFRS)(천원),,0.0,367056.0,0.0,0.0,0.0,0.0,0.0,96690.0,,-inf,100.0,,,,,-inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
69,(주)네오리진,94860,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740604.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,(주)네오셈,253590,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,(주)네오오토,212560,      비유동금융부채(*)(IFRS)(천원),,,0.0,0.0,0.0,0.0,0.0,0.0,81280.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,(주)네오위즈,95660,      비유동금융부채(*)(IFRS)(천원),410528.0,161993.0,169054.0,26911.0,6022.0,0.0,0.0,0.0,5141.0,60.54,-4.36,84.08,77.62,100.0,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,(주)네오위즈홀딩스,42420,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320571.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,(주)네오이뮨텍,950220,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,2072526.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,(주)네오크레마,311390,      비유동금융부채(*)(IFRS)(천원),,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,(주)네오티스,85910,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118467.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,(주)네오팜,92730,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,(주)네오펙트,290660,      비유동금융부채(*)(IFRS)(천원),,,,,,,25734989.0,1720558.0,89790.0,,,,,,,93.31,94.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,(주)네온테크,306620,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,(주)네이블커뮤니케이션즈,153460,      비유동금융부채(*)(IFRS)(천원),1623600.0,147600.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,90.91,100.0,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,(주)네이처셀,7390,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851092.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,(주)네패스,33640,      비유동금융부채(*)(IFRS)(천원),3239389.0,3537048.0,2689924.0,2035035.0,868495.0,7296391.0,18860900.0,2805259.0,519939.0,-9.19,23.95,24.35,57.32,-740.12,-158.5,85.13,81.47,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
83,(주)네패스아크,330860,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,61104452.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,(주)넥센,5720,      비유동금융부채(*)(IFRS)(천원),513845.0,559047.0,315059.0,257473.0,0.0,0.0,0.0,0.0,294144.0,-8.8,43.64,18.28,100.0,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,(주)넥스턴바이오사이언스,89140,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13552.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,(주)넥스트아이,137940,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10344.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,(주)넥스트엔터테인먼트월드,160550,      비유동금융부채(*)(IFRS)(천원),,,0.0,0.0,740000.0,0.0,0.0,0.0,4144295.0,,,,-inf,100.0,,,-inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
88,(주)넥스틴,348210,      비유동금융부채(*)(IFRS)(천원),,,,,,,,0.0,596378.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,(주)넥슨게임즈,225570,      비유동금융부채(*)(IFRS)(천원),,,,,,,0.0,0.0,12129143.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,(주)넵튠,217270,      비유동금융부채(*)(IFRS)(천원),,,,,,0.0,0.0,0.0,1003241.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,(주)노랑풍선,104620,      비유동금융부채(*)(IFRS)(천원),,,,0.0,120480.0,82506.0,0.0,0.0,659310.0,,,,-inf,31.52,100.0,,-inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
92,(주)노루페인트,90350,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,15585.0,0.0,0.0,0.0,1005726.0,,,,-inf,100.0,,,-inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
93,(주)노루홀딩스,320,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,16587.0,253.0,0.0,23151.0,76446.0,,,,-inf,98.47,100.0,-inf,-230.21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
