,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),자본율(연결),자본율
(주)경농,2100,15-Dec,"265,109","173,056","316,342","174,668",,
(주)경농,2100,16-Dec,"266,622","176,723","320,915","183,969",,
(주)경농,2100,17-Dec,"268,967","182,959","335,874","192,153",,
(주)경농,2100,18-Dec,"285,032","187,067","357,261","201,454",,
(주)경농,2100,19-Dec,"297,197","190,893","370,874","201,885",,
(주)경동나비엔,9450,10-Dec,"201,856","136,757","238,612","160,449",,
(주)경동나비엔,9450,11-Dec,"224,373","143,268","263,211","168,115",,
(주)경동나비엔,9450,12-Dec,"254,627","152,201","299,730","175,875",,
(주)경동나비엔,9450,13-Dec,"301,476","161,495","354,780","187,281",,
(주)경동나비엔,9450,14-Dec,"331,089","167,984","401,659","190,022",,
(주)경동나비엔,9450,15-Dec,"324,849","185,208","402,084","206,077",,
(주)경동나비엔,9450,16-Dec,"347,644","210,193","429,755","238,762",,
(주)경동나비엔,9450,17-Dec,"391,400","222,028","503,697","256,506",,
(주)경동나비엔,9450,18-Dec,"440,514","240,356","583,596","280,104",,
(주)경동나비엔,9450,19-Dec,"461,607","254,560","609,808","301,043",,
(주)경동도시가스,267290,17-Dec,"707,917","292,629","710,280","294,332",,
(주)경동도시가스,267290,18-Dec,"775,881","318,761","778,270","320,490",,
(주)경동도시가스,267290,19-Dec,"747,454","337,702","749,999","339,612",,
(주)경동인베스트,12320,10-Dec,"756,282","365,245","819,481","376,913",,
(주)경동인베스트,12320,11-Dec,"941,176","412,912","1,001,491","407,863",,
(주)경동인베스트,12320,12-Dec,"1,168,400","468,922","1,209,925","446,509",,
(주)경동인베스트,12320,13-Dec,"1,161,427","516,834","1,205,008","498,741",,
(주)경동인베스트,12320,14-Dec,"1,101,071","560,802","1,320,789","607,451",,
(주)경동인베스트,12320,15-Dec,"926,393","548,528","1,167,820","576,479",,
(주)경동인베스트,12320,16-Dec,"903,819","556,248","1,126,123","587,925",,
(주)경동인베스트,12320,17-Dec,"318,031","309,789","599,276","400,403",,
(주)경동인베스트,12320,18-Dec,"318,777","310,423","592,003","397,867",,
(주)경동인베스트,12320,19-Dec,"316,572","308,309","605,467","414,534",,
(주)경방,50,10-Dec,"1,308,629","680,066","1,328,917","632,800",,
(주)경방,50,11-Dec,"1,331,931","676,624","1,352,324","629,704",,
(주)경방,50,12-Dec,"1,301,720","669,735","1,335,040","620,704",,
(주)경방,50,13-Dec,"1,261,257","685,569","1,296,989","636,439",,
(주)경방,50,14-Dec,"1,275,008","651,570","1,301,841","647,669",,
(주)경방,50,15-Dec,"1,259,512","671,771","1,318,643","662,953",,
(주)경방,50,16-Dec,"1,237,024","690,246","1,301,911","679,843",,
(주)경방,50,17-Dec,"1,199,064","710,965","1,274,042","699,134",,
(주)경방,50,18-Dec,"1,226,545","729,186","1,301,793","708,769",,
(주)경방,50,19-Dec,"1,296,265","740,732","1,370,742","741,553",,
(주)경보제약,214390,10-Dec,,,,,,
(주)경보제약,214390,11-Dec,,,,,,
(주)경보제약,214390,12-Dec,,,,,,
(주)경보제약,214390,13-Dec,"143,383","66,219",,,,
(주)경보제약,214390,14-Dec,"168,035","68,330",,,,
(주)경보제약,214390,15-Dec,"195,488","122,817",,,,
(주)경보제약,214390,16-Dec,"203,736","129,402",,,,
(주)경보제약,214390,17-Dec,"204,869","141,510",,,,
(주)경보제약,214390,18-Dec,"221,623","149,012",,,,
(주)경보제약,214390,19-Dec,"237,817","149,164",,,,
(주)경인양행,12610,10-Dec,"250,809","157,685","321,755","176,138",,
(주)경인양행,12610,11-Dec,"245,826","158,882","319,597","176,293",,
(주)경인양행,12610,12-Dec,"241,046","162,113","287,453","174,989",,
(주)경인양행,12610,13-Dec,"274,571","178,075","316,945","189,744",,
(주)경인양행,12610,14-Dec,"267,331","186,434","313,039","198,239",,
(주)경인양행,12610,15-Dec,"273,778","185,903","326,687","201,125",,
(주)경인양행,12610,16-Dec,"290,035","191,022","344,299","208,293",,
(주)경인양행,12610,17-Dec,"296,909","190,844","357,951","210,935",,
(주)경인양행,12610,18-Dec,"344,908","198,237","412,997","223,759",,
(주)경인양행,12610,19-Dec,"381,064","201,086","472,081","237,433",,
(주)고려시멘트,198440,14-Dec,,,,,,
(주)고려시멘트,198440,15-Dec,,,,,,
(주)고려시멘트,198440,16-Dec,,,,,,
(주)고려시멘트,198440,17-Dec,"115,882","77,394",,,,
(주)고려시멘트,198440,18-Dec,"127,537","86,511",,,,
(주)고려시멘트,198440,19-Dec,"127,036","88,445",,,,
(주)고바이오랩,348150,19-Dec,"34,574","-53,757","35,322","-53,624",,
(주)고영테크놀러지,98460,10-Dec,"69,472","54,993","70,678","55,154",,
(주)고영테크놀러지,98460,11-Dec,"87,018","70,382","87,006","69,623",,
(주)고영테크놀러지,98460,12-Dec,"103,020","84,091","103,352","83,401",,
(주)고영테크놀러지,98460,13-Dec,"121,329","100,052","120,952","98,320",,
(주)고영테크놀러지,98460,14-Dec,"141,873","118,349","141,720","115,835",,
(주)고영테크놀러지,98460,15-Dec,"160,171","133,571","158,858","131,476",,
(주)고영테크놀러지,98460,16-Dec,"194,333","157,573","195,121","157,268",,
(주)고영테크놀러지,98460,17-Dec,"205,696","164,836","205,207","161,317",,
(주)고영테크놀러지,98460,18-Dec,"279,985","229,271","279,059","225,867",,
(주)고영테크놀러지,98460,19-Dec,"308,020","252,021","305,481","243,669",,
(주)골드앤에스,35290,10-Dec,"44,315","21,708","45,047","21,631",,
(주)골드앤에스,35290,11-Dec,"46,347","22,638","46,677","22,437",,
(주)골드앤에스,35290,12-Dec,"51,063","26,253","51,951","25,518",,
(주)골드앤에스,35290,13-Dec,"34,509","9,813","51,443","13,127",,
(주)골드앤에스,35290,14-Dec,"28,884","9,084","46,528","12,083",,
(주)골드앤에스,35290,15-Dec,"23,598","14,992","24,102","15,160",,
(주)골드앤에스,35290,16-Dec,"18,296","14,102","18,672","14,269",,
(주)골드앤에스,35290,17-Dec,"16,995","13,105","17,174","13,346",,
(주)골드앤에스,35290,18-Dec,"42,473","13,867","42,473","13,780",,
(주)골드앤에스,35290,19-Dec,"16,096","-5,001","16,096","-5,092",,
(주)골드퍼시픽,38530,10-Dec,"23,115","21,073",,,,
(주)골드퍼시픽,38530,11-Dec,"27,474","21,830",,,,
(주)골드퍼시픽,38530,12-Dec,"29,862","22,928",,,,
(주)골드퍼시픽,38530,13-Dec,"30,518","17,116","33,688","16,191",,
(주)골드퍼시픽,38530,14-Dec,"31,936","16,902","41,949","16,568",,
(주)골드퍼시픽,38530,15-Dec,"27,496","20,116","28,573","21,193",,
(주)골드퍼시픽,38530,16-Dec,"11,122","1,890",,,,
(주)골드퍼시픽,38530,17-Dec,"26,568","5,364",,,,
(주)골드퍼시픽,38530,18-Dec,"37,288","20,087","37,825","20,087",,
(주)골드퍼시픽,38530,19-Dec,"72,946","21,069",,,,
(주)골프존,215000,15-Dec,"171,629","105,063","178,132","108,854",,
(주)골프존,215000,16-Dec,"177,636","115,887","187,914","120,649",,
(주)골프존,215000,17-Dec,"239,012","181,395","253,672","189,382",,
(주)골프존,215000,18-Dec,"254,579","197,437","254,058","194,920",,
(주)골프존,215000,19-Dec,"304,861","205,530","312,587","200,043",,
(주)골프존뉴딘홀딩스,121440,10-Dec,"181,727","159,744","188,176","162,704",,
(주)골프존뉴딘홀딩스,121440,11-Dec,"373,246","348,104","378,054","348,969",,
(주)골프존뉴딘홀딩스,121440,12-Dec,"512,615","411,000","540,923","411,637",,
(주)골프존뉴딘홀딩스,121440,13-Dec,"589,947","427,556","637,840","424,544",,
(주)골프존뉴딘홀딩스,121440,14-Dec,"586,599","473,636","762,037","486,386",,
(주)골프존뉴딘홀딩스,121440,15-Dec,"585,663","551,703","767,325","551,360",,
(주)골프존뉴딘홀딩스,121440,16-Dec,"561,893","506,841","760,773","528,087",,
(주)골프존뉴딘홀딩스,121440,17-Dec,"536,245","480,074","756,501","500,913",,
(주)골프존뉴딘홀딩스,121440,18-Dec,"563,387","484,481","774,743","485,970",,
(주)골프존뉴딘홀딩스,121440,19-Dec,"537,526","450,069","776,385","447,198",,
(주)공구우먼,366030,17-Dec,,,,,,
(주)공구우먼,366030,18-Dec,,,,,,
(주)공구우먼,366030,19-Dec,,,,,,
(주)광림,14200,10-Dec,"110,346","55,002",,,,
(주)광림,14200,11-Dec,"86,353","56,677",,,,
(주)광림,14200,12-Dec,"89,766","63,502",,,,
(주)광림,14200,13-Dec,"101,593","64,797",,,,
(주)광림,14200,14-Dec,"120,284","66,259","244,886","128,971",,
(주)광림,14200,15-Dec,"146,339","80,899",,,,
(주)광림,14200,16-Dec,"152,080","90,221","229,597","113,506",,
(주)광림,14200,17-Dec,"369,582","176,556","208,058","107,691",,
(주)광림,14200,18-Dec,"236,379","120,931","187,813","90,075",,
(주)광림,14200,19-Dec,"193,569","60,749","252,468","90,772",,
(주)광명전기,17040,10-Dec,"91,485","52,410","115,958","60,147",,
(주)광명전기,17040,11-Dec,"99,993","56,988","123,887","62,936",,
(주)광명전기,17040,12-Dec,"104,219","55,137","131,064","62,992",,
(주)광명전기,17040,13-Dec,"105,484","60,793","120,911","69,848",,
(주)광명전기,17040,14-Dec,"119,792","67,540","138,580","78,696",,
(주)광명전기,17040,15-Dec,"107,720","71,276","131,458","87,829",,
