,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결),자본율
442,(주)다산네트웍스,39560,18-Dec,"235,774","148,768","365,996","167,537",45.78,45.78
443,(주)다산네트웍스,39560,19-Dec,"251,398","173,417","453,483","232,267",51.22,51.22
444,(주)다우기술,23590,10-Dec,"601,753","401,301","4,270,819","974,268",66.69,6404115.98
445,(주)다우데이타,32190,10-Dec,"320,675","106,490","4,489,101","967,130",33.21,13518099.95
446,(주)다원시스,68240,10-Dec,"46,081","33,460",,,72.61,0
447,(주)다이나믹디자인,145210,10-Dec,"180,168","59,205","229,754","64,696",32.86,699169.3
448,(주)다이나믹디자인,145210,15-Dec,"282,676","174,210","335,699","171,574",51.11,51.11
449,(주)다이나믹디자인,145210,16-Dec,"242,209","119,693","292,356","106,662",36.48,36.48
450,(주)다이나믹디자인,145210,17-Dec,"176,546","32,783","242,445","68,264",28.16,28.16
451,(주)다이나믹디자인,145210,18-Dec,"134,387","7,203","172,064","28,109",16.34,16.34
452,(주)다이나믹디자인,145210,19-Dec,"121,054","5,659","158,469","21,495",13.56,13.56
453,(주)대교,19680,10-Dec,"884,695","680,370","910,050","687,444",76.9,1183351.24
454,(주)대구백화점,6370,11-Mar,"504,984","380,091","504,984","380,091",75.27,75.27
455,(주)대구백화점,6370,12-Mar,"497,635","395,404","497,635","395,404",79.46,79.46
456,(주)대구백화점,6370,13-Mar,"499,635","399,380","499,635","399,380",79.93,79.93
457,(주)대구백화점,6370,14-Mar,"494,531","406,273","640,061","413,276",64.57,64.57
458,(주)대구백화점,6370,15-Mar,"480,519","365,214","623,074","372,847",59.84,59.84
459,(주)대구백화점,6370,16-Mar,"479,242","369,896","626,013","376,565",60.15,60.15
460,(주)대구백화점,6370,17-Mar,"464,409","362,654","684,071","368,183",53.82,53.82
461,(주)대구백화점,6370,18-Dec,"457,145","324,090","700,202","309,877",44.26,44.26
462,(주)대구백화점,6370,19-Dec,"430,164","301,145","673,555","286,171",42.49,42.49
463,(주)대덕,8060,10-Dec,"465,559","356,918","474,365","359,987",76.66,618755.27
464,(주)대동,490,10-Dec,"463,413","211,484","537,197","229,915",45.64,1177129.59
465,(주)대동,490,11-Dec,"469,761","211,881","568,320","234,925",41.34,41.34
466,(주)대동,490,12-Dec,"456,744","212,757","554,437","230,400",41.56,41.56
467,(주)대동,490,13-Dec,"489,595","205,376","577,833","225,941",39.1,39.1
468,(주)대동,490,14-Dec,"603,839","208,492","707,010","230,397",32.59,32.59
469,(주)대동,490,15-Dec,"579,539","206,367","688,285","233,123",33.87,33.87
470,(주)대동,490,16-Dec,"539,759","186,303","667,216","215,148",32.25,32.25
471,(주)대동,490,17-Dec,"558,503","186,742","730,626","218,898",29.96,29.96
472,(주)대동,490,18-Dec,"551,960","180,481","772,717","217,504",28.15,28.15
473,(주)대동,490,19-Dec,"550,191","170,092","816,998","220,812",27.03,27.03
474,(주)대동스틸,48470,10-Dec,"104,637","60,316",,,57.64,0
475,(주)대동스틸,48470,11-Dec,"107,230","58,973","107,230","58,973",55,55
476,(주)대동스틸,48470,12-Dec,"96,396","56,126","96,396","56,126",58.22,58.22
477,(주)대동스틸,48470,13-Dec,"77,811","58,886","77,811","58,886",75.68,75.68
478,(주)대동스틸,48470,14-Dec,"89,155","57,045","89,155","57,045",63.98,63.98
479,(주)대동스틸,48470,15-Dec,"58,051","52,046","58,051","52,046",89.66,89.66
480,(주)대동스틸,48470,16-Dec,"62,713","58,527","62,713","58,527",93.33,93.33
481,(주)대동스틸,48470,17-Dec,"79,370","64,815","79,370","64,815",81.66,81.66
482,(주)대동스틸,48470,18-Dec,"73,641","61,667","73,641","61,667",83.74,83.74
483,(주)대동스틸,48470,19-Dec,"78,315","61,113","78,315","61,113",78.03,78.03
484,(주)대륙제관,4780,10-Dec,"106,366","51,667",,,48.57,0
485,(주)대림제지,17650,10-Dec,"102,418","65,500",,,63.95,0
486,(주)대명소노시즌,7720,10-Dec,"93,332","87,301","117,862","98,583",93.54,126004.24
487,(주)대명소노시즌,7720,11-Dec,"99,430","91,569","109,533","90,620",82.73,82.73
488,(주)대명소노시즌,7720,12-Dec,"79,032","78,051","99,109","71,086",71.73,71.73
489,(주)대명소노시즌,7720,13-Dec,"82,294","80,133","96,729","76,632",79.22,79.22
490,(주)대명소노시즌,7720,14-Dec,"87,692","85,669","120,208","88,984",74.03,74.03
491,(주)대명소노시즌,7720,15-Dec,"112,412","89,577","112,954","83,599",74.01,74.01
492,(주)대명소노시즌,7720,16-Dec,"147,692","101,037","149,046","97,207",65.22,65.22
493,(주)대명소노시즌,7720,17-Dec,"147,930","95,270","419,082","136,943",32.68,32.68
494,(주)대명소노시즌,7720,18-Dec,"138,377","86,261","412,282","130,379",31.62,31.62
495,(주)대명소노시즌,7720,19-Dec,"244,340","166,317","243,679","165,648",67.98,67.98
496,(주)대성미생물연구소,36480,10-Dec,"25,145","20,439",,,81.28,0
497,(주)대성엘텍,25440,10-Dec,"138,434","41,891","158,988","39,438",30.26,525395.55
498,(주)대성엘텍,25440,11-Dec,"109,968","27,524","123,175","26,381",21.42,21.42
499,(주)대성엘텍,25440,12-Dec,"126,352","35,967","129,311","26,273",20.32,20.32
500,(주)대성엘텍,25440,13-Dec,"97,047","22,850","109,838","26,246",23.9,23.9
501,(주)대성엘텍,25440,14-Dec,"102,290","25,259","110,449","26,963",24.41,24.41
502,(주)대성엘텍,25440,15-Dec,"108,343","26,930","117,046","28,059",23.97,23.97
503,(주)대성엘텍,25440,16-Dec,"107,847","48,951","117,113","49,195",42.01,42.01
504,(주)대성엘텍,25440,17-Dec,"100,642","44,134","106,850","46,797",43.8,43.8
505,(주)대성엘텍,25440,18-Dec,"101,186","40,374","109,828","43,036",39.18,39.18
506,(주)대성엘텍,25440,19-Dec,"99,518","34,130","110,543","38,063",34.43,34.43
507,(주)대성파인텍,104040,10-Dec,"33,771","19,709","35,555","20,219",58.36,60922.82
508,(주)대성파인텍,104040,11-Dec,"39,546","21,831","40,734","22,349",54.87,54.87
509,(주)대성파인텍,104040,12-Dec,"37,906","25,679","39,182","26,263",67.03,67.03
510,(주)대성파인텍,104040,13-Dec,"40,042","28,311","41,770","28,774",68.89,68.89
511,(주)대성파인텍,104040,14-Dec,"50,606","31,646","52,486","32,041",61.05,61.05
512,(주)대성파인텍,104040,15-Dec,"57,514","36,128","59,130","36,304",61.4,61.4
513,(주)대성파인텍,104040,16-Dec,"66,425","41,839","67,762","41,902",61.84,61.84
514,(주)대성파인텍,104040,17-Dec,"86,422","48,930","87,556","48,816",55.75,55.75
515,(주)대성파인텍,104040,18-Dec,"91,550","51,644","92,397","51,708",55.96,55.96
516,(주)대성파인텍,104040,19-Dec,"90,443","51,844","91,993","53,201",57.83,57.83
517,(주)대양금속,9190,10-Dec,"296,661","95,572","352,555","108,368",32.22,1094351.05
518,(주)대우건설,47040,10-Dec,"9,459,489","3,255,130","9,860,186","3,353,885",34.41,28653946.54
519,(주)대원,7680,10-Dec,,,,,#DIV/0!,#DIV/0!
520,(주)대유,290380,10-Dec,,,,,#DIV/0!,#DIV/0!
