,회사명,회계년도,거래소코드,매출원가율
488,대림제지,16-Dec,17650,1.00 
489,대림제지,17-Dec,17650,0.88 
490,대림제지,18-Dec,17650,0.81 
491,대림제지,19-Dec,17650,1.00 
492,대명소노시즌,11-Dec,7720,0.84 
493,대명소노시즌,12-Dec,7720,0.76 
494,대명소노시즌,13-Dec,7720,0.81 
495,대명소노시즌,14-Dec,7720,0.77 
496,대명소노시즌,15-Dec,7720,0.81 
497,대명소노시즌,16-Dec,7720,0.80 
498,대명소노시즌,17-Dec,7720,0.82 
499,대명소노시즌,18-Dec,7720,0.80 
500,대명소노시즌,19-Dec,7720,0.83 
501,대성미생물연구소,11-Dec,36480,1.00 
502,대성미생물연구소,12-Dec,36480,1.00 
503,대성미생물연구소,13-Dec,36480,1.00 
504,대성미생물연구소,14-Dec,36480,1.00 
505,대성미생물연구소,15-Dec,36480,1.00 
506,대성미생물연구소,16-Dec,36480,1.00 
507,대성미생물연구소,17-Dec,36480,1.00 
508,대성미생물연구소,18-Dec,36480,1.00 
509,대성미생물연구소,19-Dec,36480,1.00 
510,대성엘텍,11-Dec,25440,0.98 
511,대성엘텍,12-Dec,25440,0.93 
512,대성엘텍,13-Dec,25440,0.96 
513,대성엘텍,14-Dec,25440,0.95 
514,대성엘텍,15-Dec,25440,0.95 
515,대성엘텍,16-Dec,25440,0.95 
516,대성엘텍,17-Dec,25440,0.96 
517,대성엘텍,18-Dec,25440,0.97 
518,대성엘텍,19-Dec,25440,0.98 
519,대성파인텍,11-Dec,104040,0.77 
520,대성파인텍,12-Dec,104040,0.81 
521,대성파인텍,13-Dec,104040,0.79 
522,대성파인텍,14-Dec,104040,0.83 
523,대성파인텍,15-Dec,104040,0.79 
524,대성파인텍,16-Dec,104040,0.82 
525,대성파인텍,17-Dec,104040,0.79 
526,대성파인텍,18-Dec,104040,0.84 
527,대성파인텍,19-Dec,104040,0.87 
528,대양금속,11-Dec,9190,1.07 
529,대양금속,12-Dec,9190,1.15 
530,대양금속,13-Dec,9190,0.99 
531,대양금속,14-Dec,9190,1.01 
532,대양금속,15-Dec,9190,1.00 
533,대양금속,16-Dec,9190,1.00 
534,대양금속,17-Dec,9190,1.00 
535,대양금속,18-Dec,9190,1.00 
536,대양금속,19-Dec,9190,1.00 
537,대우건설,11-Dec,47040,0.90 
538,대우건설,12-Dec,47040,0.90 
539,대우건설,13-Dec,47040,0.96 
540,대우건설,14-Dec,47040,0.92 
541,대우건설,15-Dec,47040,0.93 
542,대우건설,16-Dec,47040,0.99 
543,대우건설,17-Dec,47040,0.93 
544,대우건설,18-Dec,47040,0.90 
545,대우건설,19-Dec,47040,0.90 
546,대유에이텍,11-Dec,2880,0.92 
547,대유에이텍,12-Dec,2880,0.92 
548,대유에이텍,13-Dec,2880,0.93 
549,대유에이텍,14-Dec,2880,0.91 
550,대유에이텍,15-Dec,2880,0.84 
551,대유에이텍,16-Dec,2880,0.83 
552,대유에이텍,17-Dec,2880,0.83 
553,대유에이텍,18-Dec,2880,0.85 
554,대유에이텍,19-Dec,2880,0.84 
555,대유플러스,11-Dec,300,0.94 
556,대유플러스,12-Dec,300,0.99 
557,대유플러스,13-Dec,300,0.92 
558,대유플러스,14-Dec,300,0.92 
559,대유플러스,15-Dec,300,0.91 
560,대유플러스,16-Dec,300,0.89 
561,대유플러스,17-Dec,300,0.91 
562,대유플러스,18-Dec,300,0.85 
563,대유플러스,19-Dec,300,0.90 
564,대창,11-Dec,12800,0.95 
565,대창,12-Dec,12800,0.96 
566,대창,13-Dec,12800,0.96 
567,대창,14-Dec,12800,0.96 
568,대창,15-Dec,12800,1.00 
569,대창,16-Dec,12800,0.93 
570,대창,17-Dec,12800,0.93 
571,대창,18-Dec,12800,0.95 
572,대창,19-Dec,12800,0.95 
573,대창솔루션,11-Dec,96350,1.00 
