,구분,2011년.mid,2012년.mid,2013년.mid,2014년.mid,2015년.mid,2016년.mid,2017년.mid,2018년.mid,2019년.mid
121,한국유니온제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
122,한미약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
123,한스바이오메드,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
124,한올바이오파마,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
125,현대약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
126,화일약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
127,환인제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
128,휴젤,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
129,DB하이텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
130,골드퍼시픽,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
131,광무,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
132,기가레인,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
133,기산텔레콤,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
134,나무가,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
135,네패스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
136,뉴인텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
137,뉴프렉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
138,다산네트웍스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
139,대덕,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
140,대성엘텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
141,더 미동,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
142,동운아나텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
143,동일기연,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
144,드림어스컴퍼니,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
145,드림텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
146,디스플레이테크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
