회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
(주)광무,29480,11-Dec,51755052,42251012,
(주)광무,29480,12-Dec,41178683,33757502,
(주)광무,29480,13-Dec,20534276,22621739,
(주)광무,29480,14-Dec,,,
(주)광무,29480,15-Dec,,,
(주)광무,29480,16-Dec,,,
(주)광무,29480,17-Dec,,,
(주)광무,29480,18-Dec,23074941,17769834,
(주)광무,29480,19-Dec,36483979,21870776,
(주)광주신세계,37710,10-Dec,,,
(주)광주신세계,37710,11-Dec,,,
(주)광주신세계,37710,12-Dec,,,
(주)광주신세계,37710,13-Dec,,,
(주)광주신세계,37710,14-Dec,,,
(주)광주신세계,37710,15-Dec,,,
(주)광주신세계,37710,16-Dec,,,
(주)광주신세계,37710,17-Dec,,,
(주)광주신세계,37710,18-Dec,,,
(주)광주신세계,37710,19-Dec,,,
(주)구영테크,53270,10-Dec,150546089,129653477,
(주)구영테크,53270,11-Dec,147832315,129730219,
(주)구영테크,53270,12-Dec,155788988,134266189,
(주)구영테크,53270,13-Dec,172747316,150485036,
(주)구영테크,53270,14-Dec,170528694,148057799,
(주)구영테크,53270,15-Dec,172083049,146639036,
(주)구영테크,53270,16-Dec,148301597,125781105,
(주)구영테크,53270,17-Dec,149833357,127099113,
(주)구영테크,53270,18-Dec,195238339,172978813,
(주)구영테크,53270,19-Dec,230853336,208667166,
(주)국동,5320,10-Dec,152156795,130904315,
(주)국동,5320,11-Dec,154293577,134179552,
(주)국동,5320,12-Dec,138172746,112722986,
(주)국동,5320,13-Dec,147860227,123575979,
(주)국동,5320,14-Dec,186086561,153250540,
(주)국동,5320,15-Dec,170296068,140601202,
(주)국동,5320,16-Dec,197368723,160651679,
(주)국동,5320,17-Dec,191602989,163195489,
(주)국동,5320,18-Dec,219550054,183038971,
(주)국동,5320,19-Dec,223077183,188905199,
(주)국보,1140,10-Dec,118744324,108327142,
(주)국보,1140,11-Dec,130636214,121478547,
(주)국보,1140,12-Dec,122343037,112775782,
(주)국보,1140,13-Dec,117073443,107727279,
(주)국보,1140,14-Dec,97520169,91556717,
(주)국보,1140,15-Dec,91618545,85746776,
(주)국보,1140,16-Dec,87333326,79591802,
(주)국보,1140,17-Dec,78255522,72337683,
