,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율,산업명
144,(주)경농,2100,15-Dec,196418710,127105636,0.65,0.65,0,  화학물질 및 화학제품 제조업; 의약품 제외
145,(주)경농,2100,16-Dec,203984939,135371879,0.66,0.65,1.515151515,  화학물질 및 화학제품 제조업; 의약품 제외
146,(주)경농,2100,17-Dec,206534382,138859895,0.67,0.66,1.492537313,  화학물질 및 화학제품 제조업; 의약품 제외
147,(주)경농,2100,18-Dec,212654617,139911460,0.66,0.67,-1.515151515,  화학물질 및 화학제품 제조업; 의약품 제외
148,(주)경농,2100,19-Dec,227510941,153098094,0.67,0.66,1.492537313,  화학물질 및 화학제품 제조업; 의약품 제외
149,(주)경동나비엔,9450,11-Dec,341246917,251540613,0.74,0.72,2.702702703,  전기장비 제조업
150,(주)경동나비엔,9450,12-Dec,379014259,282583068,0.75,0.74,1.333333333,  전기장비 제조업
151,(주)경동나비엔,9450,13-Dec,414177562,296168554,0.72,0.75,-4.166666667,  전기장비 제조업
152,(주)경동나비엔,9450,14-Dec,428985365,313840608,0.73,0.72,1.369863014,  전기장비 제조업
153,(주)경동나비엔,9450,15-Dec,512031120,352051189,0.69,0.73,-5.797101449,  전기장비 제조업
154,(주)경동나비엔,9450,16-Dec,583252904,382333051,0.66,0.69,-4.545454545,  전기장비 제조업
155,(주)경동나비엔,9450,17-Dec,684660958,446078996,0.65,0.66,-1.538461538,  전기장비 제조업
156,(주)경동나비엔,9450,18-Dec,726741615,487844378,0.67,0.65,2.985074627,  전기장비 제조업
157,(주)경동나비엔,9450,19-Dec,774290704,509635845,0.66,0.67,-1.515151515,  전기장비 제조업
158,(주)경동도시가스,267290,17-Dec,871548284,793238142,0.91,,,"  전기, 가스, 증기 및 공기조절 공급업"
159,(주)경동도시가스,267290,18-Dec,1606531867,1480519376,0.92,0.91,1.086956522,"  전기, 가스, 증기 및 공기조절 공급업"
160,(주)경동도시가스,267290,19-Dec,1422707835,1310188918,0.92,0.92,0,"  전기, 가스, 증기 및 공기조절 공급업"
161,(주)경동인베스트,12320,11-Dec,1847666903,1739469751,0.94,0.92,2.127659574,"  전기, 가스, 증기 및 공기조절 공급업"
