,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율
144,(주)강원에너지,114190,19-Dec,42549622,48688856,1.14,0.93,18.42105263
146,(주)갤럭시아에스엠,11420,11-Dec,47331427,38695073,0.82,0.84,-2.43902439
147,(주)갤럭시아에스엠,11420,12-Dec,55049732,47555420,0.86,0.82,4.651162791
148,(주)갤럭시아에스엠,11420,13-Dec,46437304,41764586,0.9,0.86,4.444444444
149,(주)갤럭시아에스엠,11420,14-Dec,43885894,40216941,0.92,0.9,2.173913043
150,(주)갤럭시아에스엠,11420,15-Dec,62472754,56009656,0.9,0.92,-2.222222222
151,(주)갤럭시아에스엠,11420,16-Dec,52626331,51678856,0.98,0.9,8.163265306
152,(주)갤럭시아에스엠,11420,17-Dec,37281280,37435336,1,0.98,2
153,(주)갤럭시아에스엠,11420,18-Dec,22060413,27428110,1.24,1,19.35483871
154,(주)갤럭시아에스엠,11420,19-Dec,28732679,26937800,0.94,1.24,-31.91489362
156,(주)경농,2100,11-Dec,121253605,79220101,0.65,0.65,0
157,(주)경농,2100,12-Dec,136970449,87614008,0.64,0.65,-1.5625
158,(주)경농,2100,13-Dec,196358952,129161139,0.66,0.64,3.03030303
159,(주)경농,2100,14-Dec,188483147,122779838,0.65,0.66,-1.538461538
160,(주)경농,2100,15-Dec,196418710,127105636,0.65,0.65,0
161,(주)경농,2100,16-Dec,203984939,135371879,0.66,0.65,1.515151515
162,(주)경농,2100,17-Dec,206534382,138859895,0.67,0.66,1.492537313
163,(주)경농,2100,18-Dec,212654617,139911460,0.66,0.67,-1.515151515
164,(주)경농,2100,19-Dec,227510941,153098094,0.67,0.66,1.492537313
166,(주)경동나비엔,9450,11-Dec,341246917,251540613,0.74,0.72,2.702702703
167,(주)경동나비엔,9450,12-Dec,379014259,282583068,0.75,0.74,1.333333333
168,(주)경동나비엔,9450,13-Dec,414177562,296168554,0.72,0.75,-4.166666667
169,(주)경동나비엔,9450,14-Dec,428985365,313840608,0.73,0.72,1.369863014
170,(주)경동나비엔,9450,15-Dec,512031120,352051189,0.69,0.73,-5.797101449
171,(주)경동나비엔,9450,16-Dec,583252904,382333051,0.66,0.69,-4.545454545
172,(주)경동나비엔,9450,17-Dec,684660958,446078996,0.65,0.66,-1.538461538
173,(주)경동나비엔,9450,18-Dec,726741615,487844378,0.67,0.65,2.985074627
174,(주)경동나비엔,9450,19-Dec,774290704,509635845,0.66,0.67,-1.515151515
175,(주)경동도시가스,267290,17-Dec,871548284,793238142,0.91,,
176,(주)경동도시가스,267290,18-Dec,1606531867,1480519376,0.92,0.91,1.086956522
177,(주)경동도시가스,267290,19-Dec,1422707835,1310188918,0.92,0.92,0
179,(주)경동인베스트,12320,11-Dec,1847666903,1739469751,0.94,0.92,2.127659574
180,(주)경동인베스트,12320,12-Dec,2502642394,2381579037,0.95,0.94,1.052631579
181,(주)경동인베스트,12320,13-Dec,2788264380,2659198011,0.95,0.95,0
182,(주)경동인베스트,12320,14-Dec,2603059058,2470957525,0.95,0.95,0
183,(주)경동인베스트,12320,15-Dec,1604168482,1520436435,0.95,0.95,0
184,(주)경동인베스트,12320,16-Dec,1181902637,1064804018,0.9,0.95,-5.555555556
185,(주)경동인베스트,12320,17-Dec,195069859,140724518,0.72,0.9,-25
186,(주)경동인베스트,12320,18-Dec,228644016,171130400,0.75,0.72,4
187,(주)경동인베스트,12320,19-Dec,271765025,223338232,0.82,0.75,8.536585366
189,(주)경방,50,11-Dec,348136369,258814443,0.74,0.69,6.756756757
190,(주)경방,50,12-Dec,333620804,260837041,0.78,0.74,5.128205128
191,(주)경방,50,13-Dec,347189559,251468225,0.72,0.78,-8.333333333
192,(주)경방,50,14-Dec,329036023,238357806,0.72,0.72,0
193,(주)경방,50,15-Dec,357628146,255868653,0.72,0.72,0
194,(주)경방,50,16-Dec,377445013,268352680,0.71,0.72,-1.408450704
195,(주)경방,50,17-Dec,360788750,253442168,0.7,0.71,-1.428571429
196,(주)경방,50,18-Dec,351438926,244043108,0.69,0.7,-1.449275362
197,(주)경방,50,19-Dec,343892085,244396020,0.71,0.69,2.816901408
198,(주)경보제약,214390,15-Dec,,,,,
199,(주)경보제약,214390,16-Dec,,,,,
200,(주)경보제약,214390,17-Dec,,,,,
201,(주)경보제약,214390,18-Dec,,,,,
202,(주)경보제약,214390,19-Dec,,,,,
204,(주)경인양행,12610,11-Dec,233095049,198818643,0.85,0.85,0
205,(주)경인양행,12610,12-Dec,218604655,190167857,0.87,0.85,2.298850575
