,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율
7800,(주)케이티스카이라이프,53210,11-Dec,476053233,0,0,,
7801,(주)케이티스카이라이프,53210,12-Dec,566456120,0,0,0,
7802,(주)케이티스카이라이프,53210,13-Dec,623394599,0,0,0,
7803,(주)케이티스카이라이프,53210,14-Dec,652787112,0,0,0,
7804,(주)케이티스카이라이프,53210,15-Dec,660956583,0,0,0,
7805,(주)케이티스카이라이프,53210,16-Dec,665053007,0,0,0,
7806,(주)케이티스카이라이프,53210,17-Dec,685821509,0,0,0,
7807,(주)케이티스카이라이프,53210,18-Dec,690820836,0,0,0,
7808,(주)케이티스카이라이프,53210,19-Dec,694637003,0,0,0,
7810,(주)케이티씨에스,58850,11-Dec,,,,,
7811,(주)케이티씨에스,58850,12-Dec,,,,,
7812,(주)케이티씨에스,58850,13-Dec,,,,,
7813,(주)케이티씨에스,58850,14-Dec,594727818,0,0,,
7814,(주)케이티씨에스,58850,15-Dec,1065846503,0,0,0,
7815,(주)케이티씨에스,58850,16-Dec,953674070,0,0,0,
7816,(주)케이티씨에스,58850,17-Dec,967759848,0,0,0,
7817,(주)케이티씨에스,58850,18-Dec,1016085167,0,0,0,
7818,(주)케이티씨에스,58850,19-Dec,944861713,0,0,0,
7820,(주)케이티아이에스,58860,11-Dec,,,,,
7821,(주)케이티아이에스,58860,12-Dec,,,,,
7822,(주)케이티아이에스,58860,13-Dec,,,,,
7823,(주)케이티아이에스,58860,14-Dec,,,,,
7824,(주)케이티아이에스,58860,15-Dec,,,,,
7825,(주)케이티아이에스,58860,16-Dec,,,,,
7826,(주)케이티아이에스,58860,17-Dec,,,,,
7827,(주)케이티아이에스,58860,18-Dec,,,,,
7828,(주)케이티아이에스,58860,19-Dec,,,,,
7830,(주)케이티알파,36030,11-Dec,463031685,440368413,0.95,0.93,2.105263158
7831,(주)케이티알파,36030,12-Dec,443430601,423194936,0.95,0.95,0
7832,(주)케이티알파,36030,13-Dec,579987227,550962186,0.95,0.95,0
7833,(주)케이티알파,36030,14-Dec,,,,0.95,
7834,(주)케이티알파,36030,15-Dec,,,,,
7835,(주)케이티알파,36030,16-Dec,,,,,
7836,(주)케이티알파,36030,17-Dec,,,,,
7837,(주)케이티알파,36030,18-Dec,,,,,
7838,(주)케이티알파,36030,19-Dec,,,,,
7840,(주)케이티앤지,33780,11-Dec,3722965820,1610132581,0.43,0.42,2.325581395
7841,(주)케이티앤지,33780,12-Dec,3911818275,1685563031,0.43,0.43,0
7842,(주)케이티앤지,33780,13-Dec,3782629860,1654684213,0.44,0.43,2.272727273
7843,(주)케이티앤지,33780,14-Dec,4101425018,1814251060,0.44,0.44,0
7844,(주)케이티앤지,33780,15-Dec,4134035080,1604612111,0.39,0.44,-12.82051282
7845,(주)케이티앤지,33780,16-Dec,4468855746,1774287261,0.4,0.39,2.5
7846,(주)케이티앤지,33780,17-Dec,4667193482,1905764652,0.41,0.4,2.43902439
7847,(주)케이티앤지,33780,18-Dec,4471515592,1836031137,0.41,0.41,0
7848,(주)케이티앤지,33780,19-Dec,4963202297,2088576007,0.42,0.41,2.380952381
7850,(주)케이프,64820,11-Dec,,,,,
7851,(주)케이프,64820,12-Dec,25761770,18341834,0.71,,
7852,(주)케이프,64820,13-Dec,18065990,15389211,0.85,0.71,16.47058824
7853,(주)케이프,64820,14-Dec,22434042,19409806,0.87,0.85,2.298850575
7854,(주)케이프,64820,15-Dec,19294891,16441746,0.85,0.87,-2.352941176
7855,(주)케이프,64820,16-Dec,122114121,83432617,0.68,0.85,-25
7856,(주)케이프,64820,17-Dec,230559392,145866424,0.63,0.68,-7.936507937
7857,(주)케이프,64820,18-Dec,254635658,173341119,0.68,0.63,7.352941176
7858,(주)케이프,64820,19-Dec,351484046,264322021,0.75,0.68,9.333333333
7859,(주)케이피에스,256940,17-Dec,,,,,
7860,(주)케이피에스,256940,18-Dec,40627706,26636024,0.66,,
7861,(주)케이피에스,256940,19-Dec,14191010,10610291,0.75,0.66,12
7863,(주)케이피에프,24880,11-Dec,281117065,243914290,0.87,0.86,1.149425287
7864,(주)케이피에프,24880,12-Dec,308344030,269877622,0.88,0.87,1.136363636
7865,(주)케이피에프,24880,13-Dec,340776901,295732962,0.87,0.88,-1.149425287
7866,(주)케이피에프,24880,14-Dec,313687726,273482658,0.87,0.87,0
7867,(주)케이피에프,24880,15-Dec,329085096,282228439,0.86,0.87,-1.162790698
7868,(주)케이피에프,24880,16-Dec,340186800,294730073,0.87,0.86,1.149425287
7869,(주)케이피에프,24880,17-Dec,365411324,316734616,0.87,0.87,0
7870,(주)케이피에프,24880,18-Dec,375029991,326409031,0.87,0.87,0
7871,(주)케이피에프,24880,19-Dec,376261557,326239166,0.87,0.87,0
7873,(주)케이피엠테크,42040,11-Dec,75514436,71965639,0.95,0.89,6.315789474
7874,(주)케이피엠테크,42040,12-Dec,85417091,85544463,1,0.95,5
7875,(주)케이피엠테크,42040,13-Dec,20869190,24205278,1.16,1,13.79310345
7876,(주)케이피엠테크,42040,14-Dec,39124781,32276278,0.82,1.16,-41.46341463
7877,(주)케이피엠테크,42040,15-Dec,48058393,45278834,0.94,0.82,12.76595745
7878,(주)케이피엠테크,42040,16-Dec,21916246,21284356,0.97,0.94,3.092783505
7879,(주)케이피엠테크,42040,17-Dec,29040534,27733312,0.95,0.97,-2.105263158
7880,(주)케이피엠테크,42040,18-Dec,29535233,24633697,0.83,0.95,-14.45783133
7881,(주)케이피엠테크,42040,19-Dec,17724886,18260862,1.03,0.83,19.41747573
7883,(주)케이피티유,54410,11-Dec,16000643,13188487,0.82,0.88,-7.317073171
7884,(주)케이피티유,54410,12-Dec,16988809,13635924,0.8,0.82,-2.5
7885,(주)케이피티유,54410,13-Dec,,,,0.8,
7886,(주)케이피티유,54410,14-Dec,,,,,
7887,(주)케이피티유,54410,15-Dec,,,,,
7888,(주)케이피티유,54410,16-Dec,,,,,
7889,(주)케이피티유,54410,17-Dec,26423859,21653755,0.82,,
7890,(주)케이피티유,54410,18-Dec,25144665,21094594,0.84,0.82,2.380952381
7891,(주)케이피티유,54410,19-Dec,,,,0.84,
7892,(주)케일럼,258610,17-Dec,,,,,
7893,(주)케일럼,258610,18-Dec,23521557,18404939,0.78,,
7894,(주)케일럼,258610,19-Dec,20471120,16995705,0.83,0.78,6.024096386
7895,(주)켐온,217600,15-Dec,,,,,
7896,(주)켐온,217600,16-Dec,,,,,
7897,(주)켐온,217600,17-Dec,,,,,
7898,(주)켐온,217600,18-Dec,,,,,
7899,(주)켐온,217600,19-Dec,,,,,
7901,(주)켐트로닉스,89010,11-Dec,236418100,196711763,0.83,0.83,0
7902,(주)켐트로닉스,89010,12-Dec,249814454,208441706,0.83,0.83,0
7903,(주)켐트로닉스,89010,13-Dec,314826741,262782023,0.83,0.83,0
7904,(주)켐트로닉스,89010,14-Dec,278686699,253301548,0.91,0.83,8.791208791
7905,(주)켐트로닉스,89010,15-Dec,265622473,244148278,0.92,0.91,1.086956522
7906,(주)켐트로닉스,89010,16-Dec,246122176,224817062,0.91,0.92,-1.098901099
7907,(주)켐트로닉스,89010,17-Dec,292775238,279056757,0.95,0.91,4.210526316
7908,(주)켐트로닉스,89010,18-Dec,337353792,302637911,0.9,0.95,-5.555555556
7909,(주)켐트로닉스,89010,19-Dec,403474312,334649172,0.83,0.9,-8.43373494
7910,(주)켐트로스,220260,15-Dec,,,,,
7911,(주)켐트로스,220260,16-Dec,,,,,
7912,(주)켐트로스,220260,17-Dec,,,,,
7913,(주)켐트로스,220260,18-Dec,,,,,
7914,(주)켐트로스,220260,19-Dec,,,,,
7916,(주)코다코,46070,11-Dec,,,,,
7917,(주)코다코,46070,12-Dec,,,,,
7918,(주)코다코,46070,13-Dec,224973669,190097198,0.84,,
7919,(주)코다코,46070,14-Dec,242111802,200458118,0.83,0.84,-1.204819277
7920,(주)코다코,46070,15-Dec,265056276,215489893,0.81,0.83,-2.469135802
7921,(주)코다코,46070,16-Dec,286354375,232985866,0.81,0.81,0
7922,(주)코다코,46070,17-Dec,267845912,226135748,0.84,0.81,3.571428571
7923,(주)코다코,46070,18-Dec,258632562,243760086,0.94,0.84,10.63829787
7924,(주)코다코,46070,19-Dec,223364645,206561989,0.92,0.94,-2.173913043
7926,(주)코데즈컴바인,47770,11-Dec,222266382,95383439,0.43,0.4,6.976744186
7927,(주)코데즈컴바인,47770,12-Dec,199637681,98247690,0.49,0.43,12.24489796
7928,(주)코데즈컴바인,47770,13-Dec,151340518,86167312,0.57,0.49,14.03508772
7929,(주)코데즈컴바인,47770,14-Dec,103195043,69836830,0.68,0.57,16.17647059
7930,(주)코데즈컴바인,47770,15-Dec,17642711,20530153,1.16,0.68,41.37931034
7931,(주)코데즈컴바인,47770,16-Dec,16337467,11311918,0.69,1.16,-68.11594203
7932,(주)코데즈컴바인,47770,17-Dec,21234364,10849647,0.51,0.69,-35.29411765
7933,(주)코데즈컴바인,47770,18-Dec,29343056,13803124,0.47,0.51,-8.510638298
7934,(주)코데즈컴바인,47770,19-Dec,35815190,14080734,0.39,0.47,-20.51282051
7936,(주)코디,80530,11-Dec,,,,,
7937,(주)코디,80530,12-Dec,39147750,36669599,0.94,,
7938,(주)코디,80530,13-Dec,43944030,35431564,0.81,0.94,-16.04938272
7939,(주)코디,80530,14-Dec,53717688,44997492,0.84,0.81,3.571428571
7940,(주)코디,80530,15-Dec,54946269,49619683,0.9,0.84,6.666666667
7941,(주)코디,80530,16-Dec,8087303,7430697,0.92,0.9,2.173913043
7942,(주)코디,80530,17-Dec,12264264,13126328,1.07,0.92,14.01869159
7943,(주)코디,80530,18-Dec,20265908,19081063,0.94,1.07,-13.82978723
7944,(주)코디,80530,19-Dec,49308692,41845204,0.85,0.94,-10.58823529
7945,(주)코디엠,224060,15-Dec,,,,,
7946,(주)코디엠,224060,16-Dec,44257148,42825104,0.97,,
7947,(주)코디엠,224060,17-Dec,73499954,65184950,0.89,0.97,-8.988764045
7948,(주)코디엠,224060,18-Dec,36581926,37518442,1.03,0.89,13.59223301
7949,(주)코디엠,224060,19-Dec,11785340,9908218,0.84,1.03,-22.61904762
7950,(주)코렌텍,104540,13-Dec,28262583,14359105,0.51,,
7951,(주)코렌텍,104540,14-Dec,26582778,12454769,0.47,0.51,-8.510638298
7952,(주)코렌텍,104540,15-Dec,30346648,12778084,0.42,0.47,-11.9047619
7953,(주)코렌텍,104540,16-Dec,35974058,14771914,0.41,0.42,-2.43902439
7954,(주)코렌텍,104540,17-Dec,37848863,15543319,0.41,0.41,0
7955,(주)코렌텍,104540,18-Dec,33405771,15178216,0.45,0.41,8.888888889
7956,(주)코렌텍,104540,19-Dec,40189165,15178540,0.38,0.45,-18.42105263
7958,(주)코리아나화장품,27050,11-Dec,105626347,22378264,0.21,0.2,4.761904762
7959,(주)코리아나화장품,27050,12-Dec,97725699,20111130,0.21,0.21,0
7960,(주)코리아나화장품,27050,13-Dec,95705637,23871752,0.25,0.21,16
7961,(주)코리아나화장품,27050,14-Dec,101113985,28812282,0.28,0.25,10.71428571
7962,(주)코리아나화장품,27050,15-Dec,136517442,57006670,0.42,0.28,33.33333333
7963,(주)코리아나화장품,27050,16-Dec,124019612,52755830,0.43,0.42,2.325581395
7964,(주)코리아나화장품,27050,17-Dec,111708970,44457133,0.4,0.43,-7.5
7965,(주)코리아나화장품,27050,18-Dec,115727727,49693442,0.43,0.4,6.976744186
7966,(주)코리아나화장품,27050,19-Dec,117202282,64070756,0.55,0.43,21.81818182
7967,(주)코리아센터,290510,19-Dec,251498425,157067405,0.62,,
7969,(주)코리아써키트,7810,11-Dec,402015466,385195525,0.96,0.94,2.083333333
7970,(주)코리아써키트,7810,12-Dec,519497206,462127859,0.89,0.96,-7.865168539
7971,(주)코리아써키트,7810,13-Dec,547056321,485707907,0.89,0.89,0
7972,(주)코리아써키트,7810,14-Dec,553161676,499490563,0.9,0.89,1.111111111
7973,(주)코리아써키트,7810,15-Dec,564337230,500885885,0.89,0.9,-1.123595506
7974,(주)코리아써키트,7810,16-Dec,545300471,513630465,0.94,0.89,5.319148936
7975,(주)코리아써키트,7810,17-Dec,591598882,563710636,0.95,0.94,1.052631579
7976,(주)코리아써키트,7810,18-Dec,535824715,538451914,1,0.95,5
7977,(주)코리아써키트,7810,19-Dec,543423599,512121814,0.94,1,-6.382978723
7979,(주)코리아에스이,101670,11-Dec,,,,,
7980,(주)코리아에스이,101670,12-Dec,,,,,
7981,(주)코리아에스이,101670,13-Dec,,,,,
7982,(주)코리아에스이,101670,14-Dec,,,,,
7983,(주)코리아에스이,101670,15-Dec,,,,,
7984,(주)코리아에스이,101670,16-Dec,,,,,
7985,(주)코리아에스이,101670,17-Dec,15575053,12326813,0.79,,
7986,(주)코리아에스이,101670,18-Dec,14292442,13115316,0.92,0.79,14.13043478
7987,(주)코리아에스이,101670,19-Dec,13269092,11781264,0.89,0.92,-3.370786517
7989,(주)코맥스,36690,11-Dec,97232046,73259905,0.75,0.78,-4
7990,(주)코맥스,36690,12-Dec,88535834,64677612,0.73,0.75,-2.739726027
7991,(주)코맥스,36690,13-Dec,101190432,76468935,0.76,0.73,3.947368421
7992,(주)코맥스,36690,14-Dec,109601468,85916326,0.78,0.76,2.564102564
7993,(주)코맥스,36690,15-Dec,114259254,88756631,0.78,0.78,0
7994,(주)코맥스,36690,16-Dec,131799755,100793963,0.76,0.78,-2.631578947
7995,(주)코맥스,36690,17-Dec,140191670,106377399,0.76,0.76,0
7996,(주)코맥스,36690,18-Dec,144404504,113597435,0.79,0.76,3.797468354
7997,(주)코맥스,36690,19-Dec,143101259,114480776,0.8,0.79,1.25
7999,(주)코메론,49430,11-Dec,71184833,46999684,0.66,0.64,3.03030303
8000,(주)코메론,49430,12-Dec,64721357,43898177,0.68,0.66,2.941176471
8001,(주)코메론,49430,13-Dec,57260368,38297994,0.67,0.68,-1.492537313
8002,(주)코메론,49430,14-Dec,62019224,40271595,0.65,0.67,-3.076923077
8003,(주)코메론,49430,15-Dec,67912627,42366406,0.62,0.65,-4.838709677
8004,(주)코메론,49430,16-Dec,68905533,40527740,0.59,0.62,-5.084745763
8005,(주)코메론,49430,17-Dec,68450794,39824357,0.58,0.59,-1.724137931
8006,(주)코메론,49430,18-Dec,68746431,43129065,0.63,0.58,7.936507937
8007,(주)코메론,49430,19-Dec,66630535,39646242,0.6,0.63,-5
8008,(주)코미코,183300,17-Dec,125056374,65162483,0.52,,
8009,(주)코미코,183300,18-Dec,166567372,87126525,0.52,0.52,0
8010,(주)코미코,183300,19-Dec,173461446,93047691,0.54,0.52,3.703703704
8012,(주)코미팜,41960,11-Dec,20300520,12115178,0.6,0.6,0
8013,(주)코미팜,41960,12-Dec,22110189,13520258,0.61,0.6,1.639344262
8014,(주)코미팜,41960,13-Dec,26464655,17397018,0.66,0.61,7.575757576
8015,(주)코미팜,41960,14-Dec,34454104,22713742,0.66,0.66,0
8016,(주)코미팜,41960,15-Dec,36405104,25378626,0.7,0.66,5.714285714
8017,(주)코미팜,41960,16-Dec,37636362,26676121,0.71,0.7,1.408450704
8018,(주)코미팜,41960,17-Dec,36641053,25045095,0.68,0.71,-4.411764706
8019,(주)코미팜,41960,18-Dec,34994051,25215743,0.72,0.68,5.555555556
8020,(주)코미팜,41960,19-Dec,35489960,24072965,0.68,0.72,-5.882352941
8022,(주)코세스,89890,11-Dec,,,,,
8023,(주)코세스,89890,12-Dec,,,,,
8024,(주)코세스,89890,13-Dec,,,,,
8025,(주)코세스,89890,14-Dec,,,,,
8026,(주)코세스,89890,15-Dec,,,,,
8027,(주)코세스,89890,16-Dec,,,,,
8028,(주)코세스,89890,17-Dec,,,,,
8029,(주)코세스,89890,18-Dec,,,,,
8030,(주)코세스,89890,19-Dec,,,,,
8032,(주)코센,9730,11-Dec,,,,,
8033,(주)코센,9730,12-Dec,,,,,
8034,(주)코센,9730,13-Dec,,,,,
8035,(주)코센,9730,14-Dec,60619827,55590629,0.92,,
8036,(주)코센,9730,15-Dec,57840688,51867449,0.9,0.92,-2.222222222
8037,(주)코센,9730,16-Dec,53942891,54470013,1.01,0.9,10.89108911
8038,(주)코센,9730,17-Dec,57272647,51482375,0.9,1.01,-12.22222222
8039,(주)코센,9730,18-Dec,54690486,50395117,0.92,0.9,2.173913043
8040,(주)코센,9730,19-Dec,58286145,52852993,0.91,0.92,-1.098901099
8042,(주)코스나인,82660,11-Dec,41948955,45362417,1.08,0.89,17.59259259
8043,(주)코스나인,82660,12-Dec,144642730,129482703,0.9,1.08,-20
8044,(주)코스나인,82660,13-Dec,329560818,302051010,0.92,0.9,2.173913043
8045,(주)코스나인,82660,14-Dec,340181128,314202798,0.92,0.92,0
8046,(주)코스나인,82660,15-Dec,263647344,245735413,0.93,0.92,1.075268817
8047,(주)코스나인,82660,16-Dec,207265945,192996370,0.93,0.93,0
8048,(주)코스나인,82660,17-Dec,184419003,184629594,1,0.93,7
8049,(주)코스나인,82660,18-Dec,87007413,92228893,1.06,1,5.660377358
8050,(주)코스나인,82660,19-Dec,,,,1.06,
8051,(주)코스메카코리아,241710,16-Dec,165176125,130054558,0.79,,
8052,(주)코스메카코리아,241710,17-Dec,182327850,143400142,0.79,0.79,0
8053,(주)코스메카코리아,241710,18-Dec,303292618,251295450,0.83,0.79,4.819277108
8054,(주)코스메카코리아,241710,19-Dec,347017988,283335084,0.82,0.83,-1.219512195
8056,(주)코스온,69110,11-Dec,,,,,
8057,(주)코스온,69110,12-Dec,,,,,
8058,(주)코스온,69110,13-Dec,,,,,
8059,(주)코스온,69110,14-Dec,,,,,
8060,(주)코스온,69110,15-Dec,,,,,
8061,(주)코스온,69110,16-Dec,83065519,61985906,0.75,,
8062,(주)코스온,69110,17-Dec,100485580,79679747,0.79,0.75,5.063291139
8063,(주)코스온,69110,18-Dec,110339643,88218378,0.8,0.79,1.25
8064,(주)코스온,69110,19-Dec,109273819,89600353,0.82,0.8,2.43902439
8065,(주)코썬바이오,204990,16-Dec,,,,,
8066,(주)코썬바이오,204990,17-Dec,25656055,12964575,0.51,,
8067,(주)코썬바이오,204990,18-Dec,9538711,6307783,0.66,0.51,22.72727273
8068,(주)코썬바이오,204990,19-Dec,2695516,5608332,2.08,0.66,68.26923077
8070,(주)코아스,71950,11-Dec,,,,,
8071,(주)코아스,71950,12-Dec,76689973,53470253,0.7,,
8072,(주)코아스,71950,13-Dec,88205985,65357276,0.74,0.7,5.405405405
8073,(주)코아스,71950,14-Dec,98865609,68264314,0.69,0.74,-7.246376812
8074,(주)코아스,71950,15-Dec,96543277,72917318,0.76,0.69,9.210526316
8075,(주)코아스,71950,16-Dec,97114676,65675177,0.68,0.76,-11.76470588
8076,(주)코아스,71950,17-Dec,114066385,77307835,0.68,0.68,0
8077,(주)코아스,71950,18-Dec,108592320,79586123,0.73,0.68,6.849315068
8078,(주)코아스,71950,19-Dec,112874041,80870736,0.72,0.73,-1.388888889
8080,(주)코아시아,45970,11-Dec,225605229,0,0,0,
8081,(주)코아시아,45970,12-Dec,232726081,199637760,0.86,0,100
8082,(주)코아시아,45970,13-Dec,287641466,253106920,0.88,0.86,2.272727273
8083,(주)코아시아,45970,14-Dec,256190480,232631668,0.91,0.88,3.296703297
8084,(주)코아시아,45970,15-Dec,277561320,233245479,0.84,0.91,-8.333333333
8085,(주)코아시아,45970,16-Dec,396061922,333414637,0.84,0.84,0
8086,(주)코아시아,45970,17-Dec,424250341,352530693,0.83,0.84,-1.204819277
8087,(주)코아시아,45970,18-Dec,378373276,325251307,0.86,0.83,3.488372093
8088,(주)코아시아,45970,19-Dec,438868162,379128226,0.86,0.86,0
8089,(주)코아시아옵틱스,196450,14-Dec,34003314,31883788,0.94,,
8090,(주)코아시아옵틱스,196450,15-Dec,55771549,53246700,0.95,0.94,1.052631579
8091,(주)코아시아옵틱스,196450,16-Dec,39695061,48626026,1.22,0.95,22.13114754
8092,(주)코아시아옵틱스,196450,17-Dec,14231304,9559615,0.67,1.22,-82.08955224
8093,(주)코아시아옵틱스,196450,18-Dec,9054296,9554229,1.06,0.67,36.79245283
8094,(주)코아시아옵틱스,196450,19-Dec,86156042,65754728,0.76,1.06,-39.47368421
8096,(주)코엔텍,29960,11-Dec,32481918,22964262,0.71,0.75,-5.633802817
8097,(주)코엔텍,29960,12-Dec,37954321,23980835,0.63,0.71,-12.6984127
8098,(주)코엔텍,29960,13-Dec,38761496,25956195,0.67,0.63,5.970149254
8099,(주)코엔텍,29960,14-Dec,41597450,26536299,0.64,0.67,-4.6875
8100,(주)코엔텍,29960,15-Dec,42298254,27706172,0.66,0.64,3.03030303
8101,(주)코엔텍,29960,16-Dec,55095779,34338313,0.62,0.66,-6.451612903
8102,(주)코엔텍,29960,17-Dec,61255105,37331138,0.61,0.62,-1.639344262
8103,(주)코엔텍,29960,18-Dec,72239031,38246135,0.53,0.61,-15.09433962
8104,(주)코엔텍,29960,19-Dec,,,,0.53,
8106,(주)코오롱,2020,11-Dec,592073843,432985790,0.73,0.6,17.80821918
8107,(주)코오롱,2020,12-Dec,4713474822,4259561319,0.9,0.73,18.88888889
8108,(주)코오롱,2020,13-Dec,4427687063,3941170738,0.89,0.9,-1.123595506
8109,(주)코오롱,2020,14-Dec,4139649552,3692129073,0.89,0.89,0
8110,(주)코오롱,2020,15-Dec,3820812376,3459542013,0.91,0.89,2.197802198
8111,(주)코오롱,2020,16-Dec,3936858959,3481136806,0.88,0.91,-3.409090909
8112,(주)코오롱,2020,17-Dec,4392955166,3934642014,0.9,0.88,2.222222222
8113,(주)코오롱,2020,18-Dec,4324491258,3877501623,0.9,0.9,0
8114,(주)코오롱,2020,19-Dec,4405957744,3939537585,0.89,0.9,-1.123595506
8116,(주)코원플레이,56000,11-Dec,73923620,67632387,0.91,0.8,12.08791209
8117,(주)코원플레이,56000,12-Dec,32576529,34262243,1.05,0.91,13.33333333
8118,(주)코원플레이,56000,13-Dec,29535151,27870356,0.94,1.05,-11.70212766
8119,(주)코원플레이,56000,14-Dec,31463462,26211003,0.83,0.94,-13.25301205
8120,(주)코원플레이,56000,15-Dec,14986884,16086882,1.07,0.83,22.42990654
8121,(주)코원플레이,56000,16-Dec,,,,1.07,
8122,(주)코원플레이,56000,17-Dec,30676039,17410727,0.57,,
8123,(주)코원플레이,56000,18-Dec,25727901,15390718,0.6,0.57,5
8124,(주)코원플레이,56000,19-Dec,19805335,13820914,0.7,0.6,14.28571429
8125,(주)코윈테크,282880,19-Dec,91102339,63871123,0.7,,
8126,(주)코이즈,121850,12-Dec,35504279,22500280,0.63,,
8127,(주)코이즈,121850,13-Dec,24137513,19979486,0.83,0.63,24.09638554
8128,(주)코이즈,121850,14-Dec,27864355,22847118,0.82,0.83,-1.219512195
8129,(주)코이즈,121850,15-Dec,26005034,22547747,0.87,0.82,5.747126437
8130,(주)코이즈,121850,16-Dec,31440808,25936065,0.82,0.87,-6.097560976
8131,(주)코이즈,121850,17-Dec,26389826,29017598,1.1,0.82,25.45454545
8132,(주)코이즈,121850,18-Dec,19147494,20866257,1.09,1.1,-0.917431193
8133,(주)코이즈,121850,19-Dec,35464086,31549640,0.89,1.09,-22.47191011
8135,(주)코콤,15710,11-Dec,80976405,59138204,0.73,0.77,-5.479452055
8136,(주)코콤,15710,12-Dec,83325226,61696606,0.74,0.73,1.351351351
8137,(주)코콤,15710,13-Dec,95237687,72355678,0.76,0.74,2.631578947
8138,(주)코콤,15710,14-Dec,103538393,76462558,0.74,0.76,-2.702702703
8139,(주)코콤,15710,15-Dec,110754965,79687204,0.72,0.74,-2.777777778
8140,(주)코콤,15710,16-Dec,113892164,82583454,0.73,0.72,1.369863014
8141,(주)코콤,15710,17-Dec,143089164,107255681,0.75,0.73,2.666666667
8142,(주)코콤,15710,18-Dec,163612643,118890556,0.73,0.75,-2.739726027
8143,(주)코콤,15710,19-Dec,133903684,95971869,0.72,0.73,-1.388888889
8145,(주)코텍,52330,11-Dec,,,,,
8146,(주)코텍,52330,12-Dec,,,,,
8147,(주)코텍,52330,13-Dec,,,,,
8148,(주)코텍,52330,14-Dec,,,,,
8149,(주)코텍,52330,15-Dec,,,,,
8150,(주)코텍,52330,16-Dec,,,,,
8151,(주)코텍,52330,17-Dec,,,,,
8152,(주)코텍,52330,18-Dec,,,,,
8153,(주)코텍,52330,19-Dec,285258696,214132604,0.75,,
8154,(주)코퍼스코리아,322780,19-Dec,,,,,
8156,(주)코프라,126600,11-Dec,,,,,
8157,(주)코프라,126600,12-Dec,,,,,
8158,(주)코프라,126600,13-Dec,91297124,75680019,0.83,,
8159,(주)코프라,126600,14-Dec,105294129,86529254,0.82,0.83,-1.219512195
8160,(주)코프라,126600,15-Dec,115810321,93046273,0.8,0.82,-2.5
8161,(주)코프라,126600,16-Dec,130126018,104325339,0.8,0.8,0
8162,(주)코프라,126600,17-Dec,134792885,114607175,0.85,0.8,5.882352941
8163,(주)코프라,126600,18-Dec,161369458,141978626,0.88,0.85,3.409090909
8164,(주)코프라,126600,19-Dec,182893389,158711786,0.87,0.88,-1.149425287
8165,(주)콘텐트리중앙,36420,19-Dec,554208374,314483371,0.57,,
8167,(주)콤텍시스템,31820,11-Dec,180706217,165411552,0.92,0.89,3.260869565
8168,(주)콤텍시스템,31820,12-Dec,160422329,143286539,0.89,0.92,-3.370786517
8169,(주)콤텍시스템,31820,13-Dec,181677649,164085299,0.9,0.89,1.111111111
8170,(주)콤텍시스템,31820,14-Dec,186113130,169547251,0.91,0.9,1.098901099
8171,(주)콤텍시스템,31820,15-Dec,146291127,131594584,0.9,0.91,-1.111111111
8172,(주)콤텍시스템,31820,16-Dec,166860474,148982934,0.89,0.9,-1.123595506
8173,(주)콤텍시스템,31820,17-Dec,143622951,128443319,0.89,0.89,0
8174,(주)콤텍시스템,31820,18-Dec,,,,0.89,
8175,(주)콤텍시스템,31820,19-Dec,,,,,
8177,(주)큐로,15590,11-Dec,252763353,269614516,1.07,0.89,16.82242991
8178,(주)큐로,15590,12-Dec,282943904,248186051,0.88,1.07,-21.59090909
8179,(주)큐로,15590,13-Dec,239973517,210981482,0.88,0.88,0
8180,(주)큐로,15590,14-Dec,297335288,279122063,0.94,0.88,6.382978723
8181,(주)큐로,15590,15-Dec,,,,0.94,
8182,(주)큐로,15590,16-Dec,,,,,
8183,(주)큐로,15590,17-Dec,,,,,
8184,(주)큐로,15590,18-Dec,,,,,
8185,(주)큐로,15590,19-Dec,147117472,118722116,0.81,,
8187,(주)큐로컴,40350,11-Dec,9772527,8321851,0.85,0.65,23.52941176
8188,(주)큐로컴,40350,12-Dec,8382819,7003419,0.84,0.85,-1.19047619
8189,(주)큐로컴,40350,13-Dec,22244467,17352906,0.78,0.84,-7.692307692
8190,(주)큐로컴,40350,14-Dec,21349457,16984397,0.8,0.78,2.5
8191,(주)큐로컴,40350,15-Dec,22428307,17442783,0.78,0.8,-2.564102564
8192,(주)큐로컴,40350,16-Dec,18985337,15868423,0.84,0.78,7.142857143
8193,(주)큐로컴,40350,17-Dec,12683664,10369841,0.82,0.84,-2.43902439
8194,(주)큐로컴,40350,18-Dec,13915367,11150075,0.8,0.82,-2.5
8195,(주)큐로컴,40350,19-Dec,15051780,10110060,0.67,0.8,-19.40298507
8197,(주)큐로홀딩스,51780,11-Dec,13412815,9923314,0.74,0.77,-4.054054054
8198,(주)큐로홀딩스,51780,12-Dec,16976025,12078151,0.71,0.74,-4.225352113
8199,(주)큐로홀딩스,51780,13-Dec,15744162,10454901,0.66,0.71,-7.575757576
8200,(주)큐로홀딩스,51780,14-Dec,13124034,9322569,0.71,0.66,7.042253521
8201,(주)큐로홀딩스,51780,15-Dec,14844731,11005749,0.74,0.71,4.054054054
