,회사명,회계년도,거래소코드_x,매출원가율,매출원가감소율,산업중간값,산업중간값여부,감소율여부,매출원가감소율여부
116,SNT중공업,14-Dec,3570,0.96,4.166666667,87.805,0,0,0
117,SNT중공업,15-Dec,3570,0.88,-9.090909091,86.72,0,0,0
118,SNT중공업,16-Dec,3570,0.95,7.368421053,87.335,0,0,0
119,SNT중공업,17-Dec,3570,0.94,-1.063829787,88.505,0,0,0
120,SNT중공업,18-Dec,3570,0.88,-6.818181818,89.65,0,0,0
121,SNT중공업,19-Dec,3570,0.9,2.222222222,89.98,0,0,0
122,STX,11-Dec,11810,0.96,-1.086956522,80.81,0,0,0
123,STX,12-Dec,11810,1.03,10.67961165,81.77,0,0,0
124,STX,13-Dec,11810,1.28,19.53125,80.31,0,0,0
125,STX,14-Dec,11810,0.95,-37.6344086,80.28,0,1,1
126,STX,15-Dec,11810,0.99,4.12371134,81.66,0,0,0
127,STX,16-Dec,11810,0.95,-2.105263158,82.9,0,0,0
128,STX,17-Dec,11810,0.97,0,82.45,0,0,0
129,STX,18-Dec,11810,0.99,4.04040404,83.32,0,0,0
130,STX,19-Dec,11810,0.99,-2.06185567,83.47,0,0,0
131,STX엔진,11-Dec,77970,0.86,0,73.85,0,0,0
132,STX엔진,12-Dec,77970,9.01,4.444444444,75.13,0,0,0
133,STX엔진,13-Dec,77970,0.97,7.216494845,74.77,0,0,0
134,STX엔진,14-Dec,77970,0.94,-3.191489362,76.93,0,0,0
135,STX엔진,15-Dec,77970,0.09,0,77.48,0,0,0
136,STX엔진,16-Dec,77970,0.91,0,78.73,0,0,0
137,STX엔진,17-Dec,77970,0.9,-1.111111111,80.02,0,0,0
138,STX엔진,18-Dec,77970,0.87,-3.448275862,81.15,0,0,0
139,STX엔진,19-Dec,77970,0.89,2.247191011,80.98,0,0,0
140,STX중공업,11-Dec,71970,0.87,0,73.85,0,0,0
141,STX중공업,12-Dec,71970,0.9,1.052631579,75.13,0,0,0
142,STX중공업,13-Dec,71970,1.01,5.940594059,74.77,0,0,0
143,STX중공업,14-Dec,71970,0.97,-4.12371134,76.93,0,0,0
144,STX중공업,15-Dec,71970,9.23,-5.434782609,77.48,0,0,0
145,STX중공업,16-Dec,71970,1.27,27.55905512,78.73,0,0,0
146,STX중공업,17-Dec,71970,0.93,-47.6744186,80.02,0,1,1
147,STX중공업,18-Dec,71970,1,14,81.15,0,0,0
148,STX중공업,19-Dec,71970,0.95,-5.263157895,80.98,0,0,0
149,TCC스틸,11-Dec,2710,0.92,3.260869565,90.89,0,0,0
150,TCC스틸,12-Dec,2710,0.91,-1.098901099,91.46,0,0,0
151,TCC스틸,13-Dec,2710,0.95,4.210526316,91.98,0,0,0
152,TCC스틸,14-Dec,2710,0.93,-2.150537634,91.175,0,0,0
153,TCC스틸,15-Dec,2710,0.91,-2.197802198,90.055,0,0,0
154,TCC스틸,16-Dec,2710,0.91,0,89.125,0,0,0
155,TCC스틸,17-Dec,2710,0.91,0,90.23,0,0,0
156,TCC스틸,18-Dec,2710,0.91,0,91.965,0,0,0
157,TCC스틸,19-Dec,2710,0.93,2.150537634,92.405,0,0,0
158,가온미디어,11-Dec,78890,0.83,2.409638554,78.63,0,0,0
159,가온미디어,12-Dec,78890,0.82,-1.219512195,79.75,0,0,0
160,가온미디어,13-Dec,78890,0.84,2.380952381,81.65,0,0,0
161,가온미디어,14-Dec,78890,0.84,0,81.58,0,0,0
162,가온미디어,15-Dec,78890,0.81,-3.703703704,81.36,0,0,0
163,가온미디어,16-Dec,78890,0.83,2.409638554,82.3,0,0,0
164,가온미디어,17-Dec,78890,0.85,2.352941176,81.2,0,0,0
165,가온미디어,18-Dec,78890,0.88,3.409090909,81.97,0,0,0
166,가온미디어,19-Dec,78890,0.84,-4.761904762,81.8,0,0,0
167,감성코퍼레이션,11-Dec,36620,1,0,80.81,0,0,0
168,감성코퍼레이션,12-Dec,36620,1,0,81.77,0,0,0
169,감성코퍼레이션,13-Dec,36620,1,0,80.31,0,0,0
170,감성코퍼레이션,14-Dec,36620,1,0,80.28,0,0,0
171,감성코퍼레이션,15-Dec,36620,1,0,81.66,0,0,0
172,감성코퍼레이션,16-Dec,36620,1,0,82.9,0,0,0
