회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),장기차입금(IFRS)(천원),단기차입금(IFRS)(천원),회사채(IFRS)(천원),이자비용(IFRS연결)(천원),이자비용(IFRS)(천원)
코웰패션(주),033290,2016/12,145617428,249687566,72783704,120748209,131111160,135198697,49092358,94434629,19788954,21997926,192578718,208455921,0,0,0,0,817662
코웰패션(주),033290,2017/12,132917951,309437182,52437265,131444183,166491862,172104278,36636257,115986853,44221262,46658250,254315619,273003789,0,0,0,0,756132
코웰패션(주),033290,2018/12,150254697,339376233,58469944,148737089,208410644,219215158,41306957,119629022,50251248,53350633,294116921,321841007,0,0,0,0,1130690
코웰패션(주),033290,2019/12,179647116,394651165,84554308,184277518,243350792,256344977,43763172,134289855,50910727,54430696,326404607,364382589,0,0,0,0,966105
코위버(주),056360,2011/12,45106312,45247446,34579307,34649503,57195235,56994433,8407517,9333676,1729611,1694883,65711205,65545145,0,0,1062779,0,43908
코위버(주),056360,2012/12,44651119,45255870,33633019,33997255,59356647,59962472,8438590,9488349,2083551,2890177,67052701,67803461,0,0,74652,0,83242
코위버(주),056360,2013/12,61039061,61441462,44884287,45173501,63772703,65712398,11023146,11433243,5054649,6297509,78600493,80615357,0,0,0,0,80270
코위버(주),056360,2014/12,58499838,58655087,38966974,39074895,69695978,72034318,12174610,12416230,7099669,7510689,81672051,85070781,0,0,0,0,74749
코위버(주),056360,2015/12,59995703,60002801,41430553,41430553,77729662,82657338,12274743,12359983,6700140,9289476,95229541,101963301,0,0,0,0,58518
코위버(주),056360,2016/12,58702718,58702718,39460940,39445331,83171341,88413776,14064018,14069474,6305360,6620118,107494921,114636177,0,0,0,0,57828
코위버(주),056360,2017/12,54279995,54336132,34899423,34782009,89282559,94341497,13496207,13525728,6695395,6511899,111096297,118351714,0,0,0,0,204876
코위버(주),056360,2018/12,54855376,55093572,38817767,38645392,99356697,99639550,17167852,17291003,11177908,6198516,128777113,129376793,0,0,0,0,279865
코위버(주),056360,2019/12,112750378,113131215,82519463,82438762,118019874,118644697,18953657,18976581,20297008,20638977,164277748,164870776,0,0,0,0,292245
콜마비앤에이치(주),200130,2014/12,,,,,,,,,,,,,,,,,
콜마비앤에이치(주),200130,2015/12,236186775,236186775,194058694,193781807,98558195,100938298,7775444,7957180,505790,1177111,124263481,127082935,0,0,0,0,88895
콜마비앤에이치(주),200130,2016/12,255993785,256009785,211489060,211169640,124859511,128741965,8459412,8631333,28416803,29743678,147553556,158689572,0,0,0,0,0
콜마비앤에이치(주),200130,2017/12,298931425,419806573,246872794,358587684,154505749,177924388,9003091,12450726,33447508,47436930,194922655,271195826,0,0,0,0,0
콜마비앤에이치(주),200130,2018/12,336088148,386365759,272704672,309334857,192867573,206529135,10982633,18493589,43483238,49322397,223197623,291536883,0,0,0,0,0
콜마비앤에이치(주),200130,2019/12,384491796,438905518,307162592,343895339,234208663,254551409,13596800,20934979,47959980,54752737,294775725,386373979,0,0,0,0,104082
쿠쿠홀딩스(주),192400,2014/12,554439671,566702029,321277655,326611749,422775681,440966482,156994625,161510195,74979860,90732490,521021636,553346403,0,0,0,0,0
쿠쿠홀딩스(주),192400,2015/12,659415283,667533187,373696610,376376246,501842830,506180217,191754052,199515786,89476727,74553485,609690428,620980563,0,0,4030332,0,0
쿠쿠홀딩스(주),192400,2016/12,706553727,716742930,395144602,387820225,567673295,567342138,212071246,233519189,86847400,80091564,705504035,714794407,0,0,0,0,0
쿠쿠홀딩스(주),192400,2017/12,395501604,450167573,253870797,272588953,350889928,357819541,97534102,112881560,435657939,451975425,408796252,489648520,0,0,0,0,0
쿠쿠홀딩스(주),192400,2018/12,11724098,493296253,184270,294626512,551621134,609460415,6490415,130781225,30188079,84572623,591649737,747036859,0,0,0,0,0
쿠쿠홀딩스(주),192400,2019/12,30737795,528311146,184270,309387208,553687875,673685233,5338619,144409062,18011391,79433102,599296613,812577597,0,0,0,0,3253
쿠쿠홈시스(주),284740,2018/12,358138686,418791761,171311602,159133287,390348983,379732253,131551357,192134774,35710289,38179507,492812169,512572791,0,0,0,0,1392947
쿠쿠홈시스(주),284740,2019/12,467988951,663713921,222739142,246479068,428482814,457815914,176387009,296602438,41933133,79879070,557976654,626581362,0,0,0,0,1878312
큐렉소(주),060280,2011/12,8030087,33887648,5218256,25644306,47698201,32394714,4601779,15616230,-65692,-10628683,73149729,88065873,0,0,0,0,825831
큐렉소(주),060280,2012/12,24636806,24281125,22401848,21618046,59244012,49480929,7568162,16845233,-7765417,-18242181,60337202,51430750,0,0,0,0,1622059
큐렉소(주),060280,2013/12,31907451,31090931,28223145,27145579,58638401,35085670,3248197,17380112,-584110,-14595058,62140339,39537735,0,0,0,0,77960
큐렉소(주),060280,2014/12,26803859,26137538,23014428,22590336,58547257,13940907,3312979,24563004,-64942,-22267345,60534701,40335195,0,0,0,0,51065
큐렉소(주),060280,2015/12,27842750,27529548,23712148,25085859,58750597,52186928,3510843,27075196,220826,-25016644,62968883,58625344,0,0,0,0,84275
큐렉소(주),060280,2016/12,30060747,,25445324,,73080105,,45004146,,-1375476,,78247885,,0,0,0,,625094
큐렉소(주),060280,2017/12,33483882,,27616995,,70690842,,5310462,,-16884518,,75551927,,0,0,0,,86640
큐렉소(주),060280,2018/12,33889685,,27741165,,70029090,,9992432,,-29420161,,73338771,,0,0,0,,22960
큐렉소(주),060280,2019/12,34388093,,28825255,,43979934,,9878069,,-25918257,,47125377,,0,0,0,,7182
크로바하이텍(주),043590,2011/12,103087083,103944666,91593530,91488213,39108736,35710919,7070185,9888489,1862270,-258899,81234974,80647376,0,0,0,0,1013690
크로바하이텍(주),043590,2012/12,87706258,93811011,75110011,80677419,42693853,40142374,6953283,9050288,3519396,4532585,78589377,76730309,0,0,0,0,682577
크로바하이텍(주),043590,2013/12,59890532,66056175,57960944,63975423,41982740,40300756,6320069,7727390,-2954824,-2145120,73392781,73024099,0,0,0,0,529403
크로바하이텍(주),043590,2014/12,55632205,62932896,53299953,59935529,38598264,37191879,4919638,6441908,-3688148,-3396590,68989061,69211162,0,0,0,0,477329
