회사명,거래소코드,회계년도,장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),유동성장기차입금(IFRS)(천원),자산(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),유동성장기차입금(IFRS연결)(천원),자산(*)(IFRS연결)(천원)
(주)경농,002100,2010/12,66400,20000000,7979,198795934,66400,20000000,7979,198435169
(주)경농,002100,2011/12,57682,0,8718,176741869,57682,0,8718,173774102
(주)경농,002100,2012/12,48203,15672000,9479,203467698,48203,70186128,9479,269412832
(주)경농,002100,2013/12,6635226,8962308,11998,214988593,6635226,39252112,11998,255984725
(주)경농,002100,2014/12,9302713,12647505,629653,230870852,9302713,52465899,629654,284623063
(주)경농,002100,2015/12,10653500,36640787,3874000,265109291,10653500,63164557,3874000,316341853
(주)경농,002100,2016/12,6779500,35583115,3874000,266622289,6789500,62069012,3874000,320915151
(주)경농,002100,2017/12,2905500,13876102,3874000,268967010,7131800,65173878,5479000,335873898
(주)경농,002100,2018/12,0,23632398,2905500,285031873,4600000,79960501,0,357260541
(주)경농,002100,2019/12,16000000,35282865,0,297197088,23600000,65326303,3500000,370874091
(주)경동나비엔,009450,2010/12,263200,0,150400,201855827,8670396,3416700,315197,238612022
(주)경동나비엔,009450,2011/12,112800,0,150400,224373470,8450997,6919800,325782,263211016
(주)경동나비엔,009450,2012/12,7460000,0,112800,254627468,18461243,6133169,284395,299729837
(주)경동나비엔,009450,2013/12,2219700,25000000,444300,301475800,14132101,33221200,1092031,354779867
(주)경동나비엔,009450,2014/12,1331820,68900000,887880,331089242,19525050,82110660,3576200,401658957
(주)경동나비엔,009450,2015/12,443940,31402650,887880,324848990,15959718,47715339,5342120,402084368
(주)경동나비엔,009450,2016/12,0,0,0,347643876,10988469,18305153,4023970,429754702
(주)경동나비엔,009450,2017/12,0,15250000,0,391400492,17554750,38519282,4203800,503697210
(주)경동나비엔,009450,2018/12,0,52900000,0,440513661,18171374,97542506,3532661,583595818
(주)경동나비엔,009450,2019/12,10000000,29500000,0,461607017,23688184,64709266,5924135,609808343
(주)경동도시가스,267290,2017/12,12987389,0,1884553,707917077,12987389,0,1884553,710280194
(주)경동도시가스,267290,2018/12,12123582,0,1640775,775880913,12123582,0,1640775,778269612
(주)경동도시가스,267290,2019/12,11201253,0,1667937,747453908,11201253,0,1667937,749999474
(주)경동인베스트,012320,2010/12,14955378,0,2293239,756282260,20100378,41481393,2793239,819480663
(주)경동인베스트,012320,2011/12,14732383,0,2092995,941176098,38332383,13793100,2092995,1001490869
(주)경동인베스트,012320,2012/12,13350519,0,1925774,1168400020,35850519,9800000,1925774,1209924561
(주)경동인베스트,012320,2013/12,12355917,0,1807847,1161427092,29855917,13489951,4307847,1205008353
(주)경동인베스트,012320,2014/12,11523080,0,1969669,1101071366,56403180,6551550,23283489,1320789066
(주)경동인베스트,012320,2015/12,13017117,0,1938423,926392697,107469867,16766667,24046156,1167819522
(주)경동인베스트,012320,2016/12,13267953,0,1954793,903818865,99594003,15300000,32789753,1126122628
(주)경동인베스트,012320,2017/12,0,0,0,318031347,83460730,15181825,32212440,599276331
(주)경동인베스트,012320,2018/12,0,0,0,318776653,71906166,9000000,34900500,592002536
(주)경동인베스트,012320,2019/12,0,0,0,316572482,62256400,22000000,13203870,605467383
(주)경방,000050,2010/12,255143216,90040825,2285000,1308628573,255143216,104452186,2564528,1328917440
(주)경방,000050,2011/12,51339915,135849110,193750000,1331930968,52825075,151249110,193819533,1352324332
(주)경방,000050,2012/12,280141533,81369628,18312473,1301719900,297503511,99503292,18312473,1335039930
(주)경방,000050,2013/12,258404523,54775180,12583320,1261257414,275230163,76186522,12583320,1296989142
(주)경방,000050,2014/12,0,160771349,183000000,1275008413,9985627,174843423,183000000,1301841379
(주)경방,000050,2015/12,210000000,96327221,0,1259512344,235918778,130833677,0,1318643312
(주)경방,000050,2016/12,185000000,66373522,0,1237024388,225494443,95137531,0,1301910960
(주)경방,000050,2017/12,0,29757475,170000000,1199063663,16667775,56680582,170000000,1274042237
(주)경방,000050,2018/12,130000000,51994467,0,1226545382,165400578,98123875,0,1301792841
(주)경방,000050,2019/12,120000000,89828826,0,1296265431,149162959,122000203,0,1370742491
(주)경보제약,214390,2015/12,5000000,34090028,0,195488457,,,,
(주)경보제약,214390,2016/12,0,41082535,0,203735980,,,,
(주)경보제약,214390,2017/12,451100,28375875,0,204869399,,,,
(주)경보제약,214390,2018/12,451100,42120856,0,221622993,,,,
(주)경보제약,214390,2019/12,405000,53647070,46100,237816742,,,,
(주)경인양행,012610,2010/12,13492700,51789284,1746350,250809034,17960640,73736210,1978410,321754900
(주)경인양행,012610,2011/12,13856450,46049234,3712900,245825940,18002059,68608252,4021940,319596954
(주)경인양행,012610,2012/12,0,46608296,8000000,241045608,415000,58180937,9559375,287452678
(주)경인양행,012610,2013/12,0,60151840,600000,274570963,2415000,70278679,600000,316944796
(주)경인양행,012610,2014/12,10000000,47461532,1000000,267331084,12485227,58862976,1042773,313039125
(주)경인양행,012610,2015/12,0,65001741,0,273778266,439220,77495111,2076600,326687437
(주)경인양행,012610,2016/12,0,61492592,0,290035389,760665,71049658,862250,344298515
(주)경인양행,012610,2017/12,8000000,71449907,0,296909084,8360241,86431633,879200,357951470
(주)경인양행,012610,2018/12,16133260,89584775,666740,344908257,19416459,107171462,765940,412996589
(주)경인양행,012610,2019/12,24357240,115964069,2666640,381063538,30503057,140233691,2727540,472081003
(주)고려시멘트,198440,2014/12,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,
(주)고려시멘트,198440,2017/12,2285714,5200000,1371429,115881620,,,,
(주)고려시멘트,198440,2018/12,914286,11800000,1371429,127536833,,,,
(주)고려시멘트,198440,2019/12,0,11160000,914286,127035573,,,,
(주)고영테크놀러지,098460,2010/12,0,0,0,69471782,0,0,0,70677514
(주)고영테크놀러지,098460,2011/12,0,0,0,87017886,0,0,0,87006201
(주)고영테크놀러지,098460,2012/12,0,0,0,103019642,0,0,0,103351965
(주)고영테크놀러지,098460,2013/12,0,0,0,121329325,0,0,0,120951617
(주)고영테크놀러지,098460,2014/12,0,0,0,141873467,255725,0,153259,141720465
(주)고영테크놀러지,098460,2015/12,0,0,0,160170850,108243,0,161898,158857627
(주)고영테크놀러지,098460,2016/12,0,0,0,194332855,0,0,115459,195121241
(주)고영테크놀러지,098460,2017/12,0,0,0,205696350,0,0,0,205207385
(주)고영테크놀러지,098460,2018/12,0,0,0,279985447,0,0,0,279059436
(주)고영테크놀러지,098460,2019/12,0,0,0,308020011,0,0,0,305481184
(주)골드앤에스,035290,2010/12,1000000,10937282,0,44315266,1000000,11512184,0,45047091
(주)골드앤에스,035290,2011/12,0,12178458,0,46347129,0,12411157,0,46677146
(주)골드앤에스,035290,2012/12,0,12742845,0,51062616,0,13447513,70000,51950606
(주)골드앤에스,035290,2013/12,0,13094067,0,34508798,4878557,18087011,0,51442505
(주)골드앤에스,035290,2014/12,0,6441078,0,28884288,2702826,14350632,739980,46528474
(주)골드앤에스,035290,2015/12,0,0,0,23597566,0,220684,0,24102094
(주)골드앤에스,035290,2016/12,0,1400000,0,18296141,0,1615384,0,18671644
(주)골드앤에스,035290,2017/12,0,1550000,0,16994788,0,1550000,0,17173934
(주)골드앤에스,035290,2018/12,0,2000000,0,42472631,0,2000000,0,42472631
(주)골드앤에스,035290,2019/12,0,1900000,0,16096170,0,1900000,0,16096170
(주)골드퍼시픽,038530,2010/12,0,0,0,23114875,,,,
(주)골드퍼시픽,038530,2011/12,0,0,0,27473520,,,,
(주)골드퍼시픽,038530,2012/12,0,0,0,29861540,,,,
(주)골드퍼시픽,038530,2013/12,300000,1950000,0,30517744,2190540,3176547,0,33687572
(주)골드퍼시픽,038530,2014/12,240063,4820000,228910,31936409,2114583,10162200,228910,41948832
(주)골드퍼시픽,038530,2015/12,149996,1150000,73777,27495738,149996,1150000,73777,28573328
(주)골드퍼시픽,038530,2016/12,0,0,0,11122066,,,,
(주)골드퍼시픽,038530,2017/12,0,0,0,26567967,,,,
(주)골드퍼시픽,038530,2018/12,5440000,46122,0,37288362,5440000,46122,0,37825442
(주)골드퍼시픽,038530,2019/12,0,7000000,0,72945743,,,,
(주)골프존,215000,2015/12,15000000,20000000,0,171629353,15000000,20000000,0,178132253
(주)골프존,215000,2016/12,7499970,27500030,0,177635830,7499970,27500030,0,187914226
(주)골프존,215000,2017/12,9166650,23333320,0,239011847,9166650,23333320,0,253672419
(주)골프존,215000,2018/12,833330,18333320,0,254578679,833330,18333320,0,254057808
(주)골프존,215000,2019/12,0,833330,0,304860836,0,833330,0,312587283
(주)골프존뉴딘홀딩스,121440,2011/12,0,0,0,373246120,493741,0,204061,378054302
(주)골프존뉴딘홀딩스,121440,2012/12,0,64000000,0,512614848,0,88100000,300000,540922890
(주)골프존뉴딘홀딩스,121440,2013/12,0,54000000,0,589946855,0,101600000,0,637840057
(주)골프존뉴딘홀딩스,121440,2014/12,0,49000000,0,586599347,75000000,120100000,0,762037240
(주)골프존뉴딘홀딩스,121440,2015/12,24000000,3105000,0,585663015,103000000,83445000,0,767325175
(주)골프존뉴딘홀딩스,121440,2016/12,40000000,7000000,0,561892958,75000000,117840000,0,760772930
(주)골프존뉴딘홀딩스,121440,2017/12,16000000,9300000,24000000,536244772,121107143,86932857,0,756500949
(주)골프존뉴딘홀딩스,121440,2018/12,10000000,9300000,40000000,563387103,45693452,177783524,0,774743339
(주)골프존뉴딘홀딩스,121440,2019/12,54200000,9300000,0,537526345,186266105,44591854,0,776384700
(주)광림,014200,2010/12,345829,30764583,65444,110345912,,,,
(주)광림,014200,2011/12,277562,11706716,76097,86353051,,,,
(주)광림,014200,2012/12,206386,11373551,71176,89766075,,,,
(주)광림,014200,2013/12,2280310,13065781,104647,101592603,,,,
(주)광림,014200,2014/12,4942101,29422885,458284,120284256,19923952,61083096,458284,244886480
(주)광림,014200,2015/12,2593514,38865656,479264,146338755,,,,
(주)광림,014200,2016/12,313681,39984398,1366338,152080347,313681,54889147,1491614,229596737
(주)광림,014200,2017/12,562200,40930850,251481,369582323,562200,46280279,251481,208058303
(주)광림,014200,2018/12,1900000,35456356,62200,236379465,1900000,40784486,62200,187812629
(주)광림,014200,2019/12,1400000,30190012,500000,193568854,6239252,36955189,1884595,252468254
(주)광명전기,017040,2010/12,500000,21066248,0,91484700,500000,29518654,0,115957584
(주)광명전기,017040,2011/12,425000,20710000,75000,99992644,425000,25565143,75000,123886511
(주)광명전기,017040,2012/12,325000,23532459,100000,104218586,325000,27567759,100000,131064345
(주)광명전기,017040,2013/12,225000,18790000,100000,105483729,225000,20546525,100000,120910764
(주)광명전기,017040,2014/12,0,17790000,0,119791644,0,19100429,0,138580023
(주)광명전기,017040,2015/12,0,15500000,0,107719518,0,16700000,0,131457603
(주)광명전기,017040,2016/12,0,12500000,0,125405290,0,20700000,0,146859319
(주)광명전기,017040,2017/12,0,14500000,0,128881408,9358000,16200000,592000,152717140
(주)광명전기,017040,2018/12,0,14500000,0,124159091,10802000,16200000,599000,151823119
(주)광명전기,017040,2019/12,0,14500000,0,140591786,0,16200000,0,156712705
(주)광무,029480,2010/12,0,18770884,0,118110114,0,18770884,0,106045148
(주)광무,029480,2011/12,0,17715969,0,85836111,0,18255969,0,75946478
(주)광무,029480,2012/12,0,11208688,0,60163490,0,11206671,0,55788602
(주)광무,029480,2013/12,0,12634238,0,28890332,0,12634238,0,35384615
(주)광무,029480,2014/12,0,7635126,0,27862528,,,,
(주)광무,029480,2015/12,4070000,1501000,0,21133216,,,,
(주)광무,029480,2016/12,4070000,860015,0,29089768,,,,
(주)광무,029480,2017/12,0,845932,0,28950503,,,,
(주)광무,029480,2018/12,0,4570000,0,26017306,0,4570000,0,28431748
(주)광무,029480,2019/12,0,4270000,0,57156720,0,5798283,0,63139837
(주)광주신세계,037710,2010/12,0,0,0,327433751,,,,
(주)광주신세계,037710,2011/12,0,0,0,380753715,,,,
(주)광주신세계,037710,2012/12,0,0,0,430662968,,,,
(주)광주신세계,037710,2013/12,0,80200000,0,656355808,,,,
(주)광주신세계,037710,2014/12,0,35800000,0,652758688,,,,
(주)광주신세계,037710,2015/12,0,0,0,659495158,,,,
(주)광주신세계,037710,2016/12,0,50900000,0,655502726,,,,
(주)광주신세계,037710,2017/12,0,5600000,0,655018971,,,,
(주)광주신세계,037710,2018/12,0,0,0,696204982,,,,
(주)광주신세계,037710,2019/12,0,0,0,752423111,,,,
(주)구영테크,053270,2010/12,3524977,35243962,4565640,87520550,6926335,65449753,5614925,142703275
(주)구영테크,053270,2011/12,1616657,35083497,4108320,94940916,3906227,66559168,5360888,149471330
(주)구영테크,053270,2012/12,2553333,49924751,3283323,109440531,4191949,81126552,4388171,161163024
(주)구영테크,053270,2013/12,4034607,37101932,1748727,97549406,16281076,54734786,4019470,149230187
(주)구영테크,053270,2014/12,2915390,32676392,1994217,101546298,16833438,51875791,4551905,155857242
(주)구영테크,053270,2015/12,6356430,23734320,2891600,102761141,22945474,38854405,6478766,161330950
(주)구영테크,053270,2016/12,13342430,14834390,4784160,108895002,30201160,30443891,7837616,166748490
(주)구영테크,053270,2017/12,29458970,24700000,4987460,139584386,42591378,39673968,7791279,187009683
(주)구영테크,053270,2018/12,36387038,11800000,12826926,146492374,48148894,28086803,15677916,202572970
(주)구영테크,053270,2019/12,28475278,14200000,15717024,141034767,35432257,34689847,18215437,206569873
(주)국동,005320,2010/12,0,29928157,0,57019154,1360000,40768707,1138900,59231420
(주)국동,005320,2011/12,0,31537074,0,42291817,3733250,40784474,340000,68162305
