회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원)
넥스트아이,11-Dec,137940,17766393
넥스트아이,12-Dec,137940,25700825
넥스트아이,13-Dec,137940,27906402
넥스트아이,14-Dec,137940,29162012
넥스트아이,15-Dec,137940,26565766
넥스트아이,16-Dec,137940,39439948
넥스트아이,17-Dec,137940,59482937
넥스트아이,18-Dec,137940,87218818
넥스트아이,19-Dec,137940,87989318
넥스트엔터테인먼트월드,14-Dec,160550,61981056
넥스트엔터테인먼트월드,15-Dec,160550,82586150
넥스트엔터테인먼트월드,16-Dec,160550,125723993
넥스트엔터테인먼트월드,17-Dec,160550,94538544
넥스트엔터테인먼트월드,18-Dec,160550,161222834
넥스트엔터테인먼트월드,19-Dec,160550,149180097
노블엠앤비,12-Dec,106520,85612148
노블엠앤비,13-Dec,106520,153755286
노블엠앤비,14-Dec,106520,77158349
노블엠앤비,15-Dec,106520,70713722
노블엠앤비,16-Dec,106520,63662855
노블엠앤비,17-Dec,106520,60316673
노블엠앤비,18-Dec,106520,64349679
노블엠앤비,19-Dec,106520,75340573
녹십자엠에스,14-Dec,142280,81334576
녹십자엠에스,15-Dec,142280,89298322
녹십자엠에스,16-Dec,142280,86162555
녹십자엠에스,17-Dec,142280,98389224
녹십자엠에스,18-Dec,142280,86321905
녹십자엠에스,19-Dec,142280,94085373
녹원씨엔아이,11-Dec,65560,31094117
녹원씨엔아이,12-Dec,65560,27705495
녹원씨엔아이,13-Dec,65560,15090112
녹원씨엔아이,14-Dec,65560,5068245
녹원씨엔아이,15-Dec,65560,7329185
녹원씨엔아이,16-Dec,65560,3875841
녹원씨엔아이,17-Dec,65560,22075102
녹원씨엔아이,18-Dec,65560,76356153
녹원씨엔아이,19-Dec,65560,62274838
누리플랜,11-Dec,69140,59455540
누리플랜,12-Dec,69140,45093612
누리플랜,13-Dec,69140,39376335
누리플랜,14-Dec,69140,30610605
누리플랜,15-Dec,69140,32142752
누리플랜,16-Dec,69140,34411741
누리플랜,17-Dec,69140,35622763
누리플랜,18-Dec,69140,47668330
누리플랜,19-Dec,69140,91289924
누리플렉스,11-Dec,40160,63302018
누리플렉스,12-Dec,40160,48208331
누리플렉스,13-Dec,40160,37449748
누리플렉스,14-Dec,40160,38851721
누리플렉스,15-Dec,40160,58420237
누리플렉스,16-Dec,40160,51323868
누리플렉스,17-Dec,40160,117558807
누리플렉스,18-Dec,40160,190385732
누리플렉스,19-Dec,40160,147947451
뉴로스,12-Dec,126870,32115481
뉴로스,13-Dec,126870,36927794
뉴로스,14-Dec,126870,34971149
뉴로스,15-Dec,126870,42296650
뉴로스,16-Dec,126870,44107101
뉴로스,17-Dec,126870,44781756
뉴로스,18-Dec,126870,51336070
뉴로스,19-Dec,126870,59337239
뉴보텍,11-Dec,60260,36470951
뉴보텍,12-Dec,60260,34688451
뉴보텍,13-Dec,60260,34890438
뉴보텍,14-Dec,60260,30747557
뉴보텍,15-Dec,60260,35061346
뉴보텍,16-Dec,60260,35898522
뉴보텍,17-Dec,60260,41019670
뉴보텍,18-Dec,60260,39973362
뉴보텍,19-Dec,60260,41769160
뉴인텍,11-Dec,12340,58341797
뉴인텍,12-Dec,12340,52010833
뉴인텍,13-Dec,12340,55876597
뉴인텍,14-Dec,12340,57446183
뉴인텍,15-Dec,12340,50090372
뉴인텍,16-Dec,12340,47895458
뉴인텍,17-Dec,12340,50296811
뉴인텍,18-Dec,12340,50073204
뉴인텍,19-Dec,12340,54414657
뉴프렉스,11-Dec,85670,69161654
뉴프렉스,12-Dec,85670,115200892
뉴프렉스,13-Dec,85670,135289597
뉴프렉스,14-Dec,85670,137800531
뉴프렉스,15-Dec,85670,120624038
뉴프렉스,16-Dec,85670,145216489
뉴프렉스,17-Dec,85670,152715761
뉴프렉스,18-Dec,85670,195502399
뉴프렉스,19-Dec,85670,128250921
다날,11-Dec,64260,93496730
다날,12-Dec,64260,101742236
다날,13-Dec,64260,118103847
다날,14-Dec,64260,98522996
다날,15-Dec,64260,112948116
다날,16-Dec,64260,133477893
다날,17-Dec,64260,172882038
다날,18-Dec,64260,209864332
다날,19-Dec,64260,163395406
다산네트웍스,11-Dec,39560,144096268
다산네트웍스,12-Dec,39560,136034007
다산네트웍스,13-Dec,39560,142676651
다산네트웍스,14-Dec,39560,163972551
다산네트웍스,15-Dec,39560,268186401
다산네트웍스,16-Dec,39560,222842801
다산네트웍스,17-Dec,39560,307090231
다산네트웍스,18-Dec,39560,356932941
다산네트웍스,19-Dec,39560,446586616
다이나믹디자인,15-Dec,145210,227815365
다이나믹디자인,16-Dec,145210,204284452
다이나믹디자인,17-Dec,145210,165349941
다이나믹디자인,18-Dec,145210,120810602
다이나믹디자인,19-Dec,145210,99404033
대구백화점,18-Dec,6370,119956329
대구백화점,19-Dec,6370,101484471
대동,11-Dec,490,619097327
대동,12-Dec,490,563460079
대동,13-Dec,490,614567090
대동,14-Dec,490,603238442
대동,15-Dec,490,583473475
대동,16-Dec,490,585413995
대동,17-Dec,490,610103128
대동,18-Dec,490,654760356
대동,19-Dec,490,832931373
대동스틸,11-Dec,48470,155434161
대동스틸,12-Dec,48470,188596628
