회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
(주)골프존뉴딘홀딩스,121440,13-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,14-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,15-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,16-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,17-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,18-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,19-Dec,0,  상품 중개업
(주)광림,14200,11-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,13-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,14-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,15-Dec,0.19,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,16-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,17-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,18-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광림,14200,19-Dec,0,  자동차용 엔진 및 자동차 제조업
(주)광명전기,17040,11-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,12-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,13-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,14-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,15-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,16-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,17-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,18-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광명전기,17040,19-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
(주)광무,29480,11-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,12-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,13-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,14-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,15-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,16-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,17-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,18-Dec,0,  통신 및 방송 장비 제조업
(주)광무,29480,19-Dec,0,  통신 및 방송 장비 제조업
(주)구영테크,53270,11-Dec,0,  자동차 신품 부품 제조업
(주)구영테크,53270,12-Dec,0,  자동차 신품 부품 제조업
(주)구영테크,53270,13-Dec,0,  자동차 신품 부품 제조업
(주)구영테크,53270,14-Dec,0.06,  자동차 신품 부품 제조업
(주)구영테크,53270,15-Dec,0.11,  자동차 신품 부품 제조업
(주)구영테크,53270,16-Dec,0.01,  자동차 신품 부품 제조업
(주)구영테크,53270,17-Dec,0.01,  자동차 신품 부품 제조업
(주)구영테크,53270,18-Dec,0.06,  자동차 신품 부품 제조업
