회사명,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)네오팜,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,24.76356619,25.1528881,27.0672835,27.7943434
(주)네오펙트,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,26.12348674,73.79135557
(주)네온테크,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)네이블커뮤니케이션즈,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,50.00413556,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)네이처셀,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)네패스,80.51274641,83.0293831,73.30556514,88.88923199,86.019385,80.83068562,81.48668439,78.21175685,76.87083547,68.08386191
(주)넥센,82.77960659,85.67496682,81.48276004,69.51191519,65.97207828,61.35955544,55.72308017,65.47733411,73.40754106,70.77721623
(주)넥스턴바이오사이언스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)넥스트아이,#DIV/0!,#DIV/0!,57.68434671,63.18387444,67.7400654,67.28628868,72.30423833,68.05248033,64.34582042,72.80274408
(주)넥스트엔터테인먼트월드,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,76.5595378,89.4083669,79.47622217,77.83838304,83.08303029,81.02616866
(주)넥슨게임즈,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)넵튠,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0
(주)노랑풍선,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
(주)노루페인트,80.27030908,80.99151358,79.66900218,78.18874541,76.15515138,74.22443065,73.17723843,76.20576285,78.69413357,77.28744158
(주)노루홀딩스,79.02602228,79.76211286,78.54757289,76.28551242,74.00211588,72.329745,71.89769711,74.69437309,78.08685329,76.24679556
(주)노바렉스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80.7430755,82.01435023
(주)노바텍,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,59.83246011,57.80975598
(주)노블엠앤비,#DIV/0!,#DIV/0!,81.63795283,81.21034421,86.96189702,94.49649815,97.73397219,102.4819456,102.2607556,85.3060422
(주)노터스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
(주)녹십자,59.40490715,66.29096131,68.76230574,69.04935193,68.16457237,67.64719214,70.60879995,71.5195885,74.08993682,72.81794086
(주)녹십자엠에스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85.01530186,85.53257851,84.34331284,90.51844604,89.93435993
(주)녹십자웰빙,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)녹십자홀딩스,59.38098033,65.36812655,67.9306801,68.13006926,67.71335202,67.37477458,71.00201989,71.86690088,73.74893238,71.81349928
(주)녹원씨엔아이,69.31517723,67.40122577,71.24744748,86.12741244,92.41382372,53.40364584,81.82840834,36.85521815,65.57783235,68.78123071
(주)농심,70.27492611,73.36860815,72.51174481,71.91116988,71.33041703,69.19722179,67.82589845,66.74445114,69.96367026,69.37175888
(주)농심홀딩스,83.88304878,85.15407764,82.60353774,75.99706817,81.54015424,78.26865401,73.50717433,81.13489631,83.67857406,85.57525993
(주)누리플랜,75.4809279,77.40152726,81.40831566,88.37029652,#DIV/0!,#DIV/0!,#DIV/0!,79.46532951,82.08570344,81.89083168
(주)누리플렉스,62.7871091,68.62865572,65.891105,58.21189237,56.39066027,56.66589473,52.66838813,74.58264186,72.35701465,71.50266888
(주)누보,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)뉴로스,#DIV/0!,#DIV/0!,54.35932596,56.73028289,56.24024821,68.8764784,62.16066207,68.13474666,67.14362436,76.49428886
(주)뉴보텍,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)뉴인텍,86.12445781,88.44223808,101.382212,93.22975055,96.88055514,89.47615322,101.7465456,91.88018501,93.41067929,88.7156341
(주)뉴트리,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,24.70731372,22.82471961
(주)뉴파워프라즈마,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,52.03161315,50.7038969,49.77357674,53.71153565
(주)뉴프렉스,91.86367546,89.55001857,87.31705827,91.09428569,89.40394504,92.36087586,92.37687946,88.72179735,88.33257693,97.35768369
(주)다나와,#DIV/0!,0,0,0,20.15086612,28.41076019,0,0,0,0
(주)다날,0,0,0,0,0,0,0,0,0,0
(주)다보링크,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)다산네트웍스,62.57423012,66.91082451,62.12062694,66.1372133,70.1240929,77.67050463,72.56479288,65.8417646,66.12785649,66.488667
(주)다우기술,57.72526797,54.4107893,64.76842646,66.37925865,60.49133804,54.95906046,58.37707607,56.51724172,71.28910233,68.85333006
(주)다우데이타,62.16976076,59.05864804,65.66731276,66.41110602,62.15061989,58.05705783,59.97111652,57.87144404,69.16551944,67.34432282
(주)다원시스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,64.8438959,66.08044187,69.03078282,67.41873552,71.3902154,78.13819387
(주)다이나믹디자인,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.47509396,84.34164339,85.61847446,94.7463932,90.28157841
(주)대교,81.60548588,82.21601674,82.64512284,82.02166807,81.38432807,79.78210933,79.77334446,80.19417641,82.12284631,81.60506356
(주)대구백화점,33.33161344,#DIV/0!,#DIV/0!,#DIV/0!,37.70797808,37.31810315,36.00421175,36.20652178,31.7340013,0
(주)대덕,86.45470514,89.20325807,87.93901996,95.29197496,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90.59785357,91.23566249
(주)대동,77.43050283,78.25618459,78.09256119,78.04264722,81.33275681,77.49168392,79.28885011,79.34780429,80.90158226,76.61500763
(주)대동스틸,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)대륙제관,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)대림제지,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88.3342335,80.92544667,#DIV/0!
(주)대명소노시즌,73.0063759,83.99397903,75.63787146,80.57318863,76.96449896,80.75242904,79.6468631,81.74206569,80.46942214,82.5773873
(주)대성미생물연구소,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)대성엘텍,92.24687648,98.18145313,93.44504522,96.19390701,94.87713368,94.90992712,94.53220125,95.73624802,96.67895663,98.10179398
(주)대성파인텍,80.06145175,77.02147272,81.04577888,79.1998537,82.56971659,79.45184341,81.72382792,79.3851935,84.40002451,87.35210819
(주)대양금속,90.42891126,106.5560352,114.8390248,98.74273636,101.1858926,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)대우건설,98.11630613,90.2725649,90.03365298,96.12851396,92.35982409,92.67273442,99.14409898,92.9316056,90.28703594,90.11710126
(주)대웅,55.76950863,61.73860615,62.02346534,54.24674773,59.93347421,60.91693539,54.62259949,54.19487103,55.51892012,53.62113104
(주)대웅제약,#DIV/0!,57.67821323,58.57848951,57.26019121,63.28423807,63.96232369,57.72376818,57.61959085,60.25481991,57.04308495
(주)대원,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85.61917659,86.33838261,86.04910481
(주)대유,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
