회사명,거래소코드,2010매출액(수익)(*)(IFRS연결)(천원),2010매출원가(*)(IFRS연결)(천원),2011매출액(수익)(*)(IFRS연결)(천원),2011매출원가(*)(IFRS연결)(천원),2012매출액(수익)(*)(IFRS연결)(천원),2012매출원가(*)(IFRS연결)(천원),2013매출액(수익)(*)(IFRS연결)(천원),2013매출원가(*)(IFRS연결)(천원),2014매출액(수익)(*)(IFRS연결)(천원),2014매출원가(*)(IFRS연결)(천원),2015매출액(수익)(*)(IFRS연결)(천원),2015매출원가(*)(IFRS연결)(천원),2016매출액(수익)(*)(IFRS연결)(천원),2016매출원가(*)(IFRS연결)(천원),2017매출액(수익)(*)(IFRS연결)(천원),2017매출원가(*)(IFRS연결)(천원),2018매출액(수익)(*)(IFRS연결)(천원),2018매출원가(*)(IFRS연결)(천원),2019매출액(수익)(*)(IFRS연결)(천원),2019매출원가(*)(IFRS연결)(천원)
(주)네오위즈,95660,430549822,260997342,667748340,404835206,674589550,426674549,442897817,247094563,201029653,97213907,190070606,89001598,191038418,90392826,174045348,91937730,215490230,104316848,254498033,114293832
(주)네오위즈홀딩스,42420,505659785,307012973,727227250,445201473,742971136,482711056,512084970,289691305,262205577,135450174,199471968,94870705,201698095,96783407,184864190,98457745,228327081,112175792,253948130,114229214
(주)네오크레마,311390,,,,,,,,,,,,,,,,,,,19776649,15222930
(주)네오티스,85910,38920125,31878852,,,,,36116964,27630395,37658799,28502483,35730680,28724370,40161938,31663302,43473210,34282804,45195339,35138242,42409365,33502835
(주)네오팜,92730,,,,,,,,,,,,,42368623,10491982,53633507,13490376,66274582,17938729,83240333,23136104
(주)네오펙트,290660,,,,,,,,,,,,,,,,,5653093,1476785,12311251,9084639
(주)네온테크,306620,,,,,,,,,,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,,,,,,,,,23696900,11849430,,,,,,,,,,
(주)네이처셀,7390,,,,,,,,,,,,,,,,,,,,
(주)네패스,33640,272781707,219624044,276089822,229235676,290541326,212982961,364128942,323671420,328792875,282825609,279220555,225695889,254535006,207412137,285034101,222930178,273317888,210101744,356317076,242594426
(주)넥센,5720,249092509,206197799,281033576,240775423,285150563,232348549,379858452,264046885,354340603,233765860,306141351,187846972,321408358,179098637,314030027,205618490,1360025189,998361049,2291341654,1621747837
(주)넥스턴바이오사이언스,89140,,,,,,,,,,,,,,,,,,,,
(주)넥스트아이,137940,,,,,25700825,14825353,27906402,17632346,29162012,19754366,26565766,17875118,39439948,28516754,59482937,40479614,87218818,56121664,87989318,64058638
(주)넥스트엔터테인먼트월드,160550,,,,,,,,,61981056,47452410,82586150,73838928,125723993,99920680,94538544,73587274,161222834,133948816,149180097,120874917
(주)넥슨게임즈,225570,,,,,,,,,,,,,,,,,,,,
(주)넵튠,217270,,,,,,,,,,,,,18335549,0,20528450,0,18174243,0,18037054,0
(주)노랑풍선,104620,,,,,,,,,,,,,,,,,,,76779803,0
(주)노루페인트,90350,323598602,259753598,387059408,313485273,418644745,333530091,433477073,338930285,458147572,348902977,461646501,342654487,478935529,350471794,551409798,420206043,614726256,483753501,647452120,500399179
(주)노루홀딩스,320,468484516,370224678,547974061,437075689,585634923,460002018,613234216,467808864,669995655,495810961,683481222,494360225,690144458,496197972,771302006,576119198,835993399,652800939,884292309,674244549
(주)노바렉스,194700,,,,,,,,,,,,,,,,,107311222,86646381,159100863,130485539
(주)노바텍,285490,,,,,,,,,,,,,,,,,25883507,15486739,26133499,15107712
(주)노블엠앤비,106520,,,,,85612148,69892005,153755286,124865197,77158349,67098364,70713722,66821991,63662855,62220237,60316673,61813700,64349679,65804468,75340573,64270061
(주)노터스,278650,,,,,,,,,,,,,,,,,,,46039645,0
(주)녹십자,6280,793048919,471109974,767911771,509056095,811774313,558194735,888168207,613274391,975327106,664827551,1047812247,708815564,1197903918,845825581,1287916286,921112428,1334877810,989010126,1369709727,997394419
(주)녹십자엠에스,142280,,,,,,,,,,,89298322,75917238,86162555,73697055,98389224,82984731,86321905,78137247,94085373,84615078
(주)녹십자웰빙,234690,,,,,,,,,,,,,,,,,,,,
(주)녹십자홀딩스,5250,842803462,500464958,817952804,534680424,856575203,581877361,938298393,639263345,1044768160,707447542,1132876997,763273323,1354466206,961698365,1465489007,1053201532,1548714795,1142160627,1524799074,1095011572
(주)녹원씨엔아이,65560,29602827,20519252,31094117,20957816,27705495,19739458,15090112,12996723,5068245,4683759,7329185,3914052,3875841,3171539,22075102,8135827,76356153,50072710,62274838,42833400
(주)농심,4370,2082830180,1463707370,2170883423,1592746952,2175710560,1577645689,2086651379,1500535418,2041702670,1456355029,2181623581,1509622908,2217015272,1503710527,2208260640,1473891444,2236436215,1564692859,2343942952,1626034453
(주)농심홀딩스,72710,301392449,252817175,323877236,275794673,314201314,259541401,357018441,271323548,387375241,315866369,449116217,351517218,497827569,365938979,496615431,402928415,543242596,454577658,536687272,459271528
(주)누리플랜,69140,55095005,41586221,59455540,46019496,45093612,36709950,39376335,34796984,,,,,,,35622763,28307746,47668330,39128884,91289924,74758078
(주)누리플렉스,40160,72379499,45444995,63302018,43443324,48208331,31765002,37449748,21800207,38851721,21908742,58420237,33104350,51323868,27031454,117558807,87678464,190385732,137757432,147947451,105786376
(주)누보,332290,,,,,,,,,,,,,,,,,,,,
