,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
127,(주)골드앤에스,35290,17-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
128,(주)골드앤에스,35290,18-Dec,6.58,"  서적, 잡지 및 기타 인쇄물 출판업"
129,(주)골드앤에스,35290,19-Dec,3.93,"  서적, 잡지 및 기타 인쇄물 출판업"
130,(주)골드퍼시픽,38530,11-Dec,0.99,  생활용품 도매업
131,(주)골드퍼시픽,38530,12-Dec,1.04,  생활용품 도매업
132,(주)골드퍼시픽,38530,13-Dec,1.55,  생활용품 도매업
133,(주)골드퍼시픽,38530,14-Dec,0.64,  생활용품 도매업
134,(주)골드퍼시픽,38530,15-Dec,0,  생활용품 도매업
135,(주)골드퍼시픽,38530,16-Dec,0,  생활용품 도매업
136,(주)골드퍼시픽,38530,17-Dec,0,  생활용품 도매업
137,(주)골드퍼시픽,38530,18-Dec,0,  생활용품 도매업
138,(주)골드퍼시픽,38530,19-Dec,0,  생활용품 도매업
139,(주)골프존뉴딘홀딩스,121440,11-Dec,0,  상품 중개업
140,(주)골프존뉴딘홀딩스,121440,12-Dec,0,  상품 중개업
141,(주)골프존뉴딘홀딩스,121440,13-Dec,0,  상품 중개업
142,(주)골프존뉴딘홀딩스,121440,14-Dec,0,  상품 중개업
143,(주)골프존뉴딘홀딩스,121440,15-Dec,0,  상품 중개업
144,(주)골프존뉴딘홀딩스,121440,16-Dec,0,  상품 중개업
145,(주)골프존뉴딘홀딩스,121440,17-Dec,0,  상품 중개업
146,(주)골프존뉴딘홀딩스,121440,18-Dec,0,  상품 중개업
147,(주)골프존뉴딘홀딩스,121440,19-Dec,0,  상품 중개업
148,(주)광림,14200,11-Dec,0,  자동차용 엔진 및 자동차 제조업
149,(주)광림,14200,12-Dec,0,  자동차용 엔진 및 자동차 제조업
150,(주)광림,14200,13-Dec,0,  자동차용 엔진 및 자동차 제조업
151,(주)광림,14200,14-Dec,0,  자동차용 엔진 및 자동차 제조업
152,(주)광림,14200,15-Dec,0.19,  자동차용 엔진 및 자동차 제조업
153,(주)광림,14200,16-Dec,0,  자동차용 엔진 및 자동차 제조업
