,회사명,거래소코드,회계년도,기업수명,기업수명(연결)
209,(주)골드앤에스,35290,12-Dec,성장기,성장기
210,(주)골드앤에스,35290,13-Dec,도입기,쇄신기
211,(주)골드앤에스,35290,14-Dec,도입기,도입기
212,(주)골드앤에스,35290,15-Dec,성장기,성장기
213,(주)골드앤에스,35290,16-Dec,쇄신기,쇄신기
214,(주)골드앤에스,35290,17-Dec,도입기,성장기
215,(주)골드앤에스,35290,18-Dec,도입기,도입기
216,(주)골드앤에스,35290,19-Dec,쇄신기,쇄신기
217,(주)골드퍼시픽,38530,11-Dec,성장기,성장기
218,(주)골드퍼시픽,38530,12-Dec,쇠퇴기,쇠퇴기
219,(주)골드퍼시픽,38530,13-Dec,도입기,도입기
220,(주)골드퍼시픽,38530,14-Dec,도입기,도입기
221,(주)골드퍼시픽,38530,15-Dec,쇠퇴기,쇠퇴기
222,(주)골드퍼시픽,38530,16-Dec,도입기,도입기
223,(주)골드퍼시픽,38530,17-Dec,도입기,도입기
224,(주)골드퍼시픽,38530,18-Dec,도입기,도입기
225,(주)골드퍼시픽,38530,19-Dec,도입기,도입기
226,(주)골프존,215000,15-Dec,성숙기,성숙기
227,(주)골프존,215000,16-Dec,성숙기,성숙기
228,(주)골프존,215000,17-Dec,쇄신기,쇄신기
229,(주)골프존,215000,18-Dec,성숙기,성숙기
230,(주)골프존,215000,19-Dec,성숙기,성숙기
231,(주)골프존뉴딘홀딩스,121440,11-Dec,성장기,성장기
232,(주)골프존뉴딘홀딩스,121440,12-Dec,성장기,성장기
233,(주)골프존뉴딘홀딩스,121440,13-Dec,성장기,성장기
234,(주)골프존뉴딘홀딩스,121440,14-Dec,성숙기,성장기
235,(주)골프존뉴딘홀딩스,121440,15-Dec,쇠퇴기,쇠퇴기
236,(주)골프존뉴딘홀딩스,121440,16-Dec,성숙기,성숙기
237,(주)골프존뉴딘홀딩스,121440,17-Dec,쇠퇴기,도입기
238,(주)골프존뉴딘홀딩스,121440,18-Dec,도입기,도입기
239,(주)골프존뉴딘홀딩스,121440,19-Dec,쇄신기,쇄신기
240,(주)광림,14200,11-Dec,쇄신기,쇄신기
241,(주)광림,14200,12-Dec,성장기,성장기
242,(주)광림,14200,13-Dec,성장기,성장기
243,(주)광림,14200,14-Dec,도입기,도입기
244,(주)광림,14200,15-Dec,도입기,도입기
245,(주)광림,14200,16-Dec,성장기,성장기
246,(주)광림,14200,17-Dec,성숙기,도입기
247,(주)광림,14200,18-Dec,성숙기,도입기
248,(주)광림,14200,19-Dec,성장기,도입기
249,(주)광명전기,17040,11-Dec,성장기,성장기
250,(주)광명전기,17040,12-Dec,성장기,성장기
251,(주)광명전기,17040,13-Dec,쇄신기,쇄신기
252,(주)광명전기,17040,14-Dec,성숙기,성숙기
253,(주)광명전기,17040,15-Dec,쇄신기,쇄신기
254,(주)광명전기,17040,16-Dec,성숙기,성장기
255,(주)광명전기,17040,17-Dec,성장기,성장기
256,(주)광명전기,17040,18-Dec,9,도입기
257,(주)광명전기,17040,19-Dec,성숙기,성장기
258,(주)광무,29480,11-Dec,성장기,성장기
259,(주)광무,29480,12-Dec,쇠퇴기,쇠퇴기
260,(주)광무,29480,13-Dec,도입기,도입기
261,(주)광무,29480,14-Dec,쇄신기,쇄신기
262,(주)광무,29480,15-Dec,쇠퇴기,쇠퇴기
263,(주)광무,29480,16-Dec,성장기,성장기
264,(주)광무,29480,17-Dec,성장기,성장기
265,(주)광무,29480,18-Dec,도입기,도입기
266,(주)광무,29480,19-Dec,도입기,도입기
267,(주)광주신세계,37710,11-Dec,성숙기,성숙기
268,(주)광주신세계,37710,12-Dec,성숙기,성숙기
269,(주)광주신세계,37710,13-Dec,성장기,성장기
270,(주)광주신세계,37710,14-Dec,성숙기,성숙기
271,(주)광주신세계,37710,15-Dec,성숙기,성숙기
272,(주)광주신세계,37710,16-Dec,성숙기,성숙기
273,(주)광주신세계,37710,17-Dec,성숙기,성숙기
274,(주)광주신세계,37710,18-Dec,성숙기,성숙기
275,(주)광주신세계,37710,19-Dec,성숙기,성숙기
276,(주)구영테크,53270,11-Dec,성장기,성장기
277,(주)구영테크,53270,12-Dec,성장기,성장기
278,(주)구영테크,53270,13-Dec,쇄신기,쇄신기
279,(주)구영테크,53270,14-Dec,도입기,성장기
280,(주)구영테크,53270,15-Dec,성숙기,성숙기
281,(주)구영테크,53270,16-Dec,성숙기,성숙기
282,(주)구영테크,53270,17-Dec,성장기,성장기
283,(주)구영테크,53270,18-Dec,도입기,성장기
284,(주)구영테크,53270,19-Dec,성숙기,성장기
285,(주)국동,5320,11-Dec,도입기,도입기
286,(주)국동,5320,12-Dec,성숙기,성숙기
287,(주)국동,5320,13-Dec,쇠퇴기,도입기
288,(주)국동,5320,14-Dec,도입기,도입기
289,(주)국동,5320,15-Dec,성장기,성장기
290,(주)국동,5320,16-Dec,도입기,성장기
291,(주)국동,5320,17-Dec,쇄신기,도입기
292,(주)국동,5320,18-Dec,쇠퇴기,쇠퇴기
293,(주)국동,5320,19-Dec,성장기,성장기
294,(주)국보,1140,11-Dec,쇄신기,쇄신기
295,(주)국보,1140,12-Dec,도입기,도입기
296,(주)국보,1140,13-Dec,성장기,성장기
297,(주)국보,1140,14-Dec,쇄신기,쇠퇴기
298,(주)국보,1140,15-Dec,쇠퇴기,쇠퇴기
299,(주)국보,1140,16-Dec,쇄신기,쇄신기
300,(주)국보,1140,17-Dec,도입기,도입기
301,(주)국보,1140,18-Dec,쇠퇴기,쇠퇴기
302,(주)국보,1140,19-Dec,도입기,도입기
303,(주)국보디자인,66620,11-Dec,성숙기,성숙기
304,(주)국보디자인,66620,12-Dec,성장기,성장기
305,(주)국보디자인,66620,13-Dec,성장기,성장기
306,(주)국보디자인,66620,14-Dec,성숙기,성숙기
307,(주)국보디자인,66620,15-Dec,성장기,성장기
308,(주)국보디자인,66620,16-Dec,성숙기,성숙기
309,(주)국보디자인,66620,17-Dec,성숙기,성숙기
310,(주)국보디자인,66620,18-Dec,성숙기,성숙기
311,(주)국보디자인,66620,19-Dec,성숙기,성숙기
312,(주)국순당,43650,11-Dec,성숙기,성숙기
313,(주)국순당,43650,12-Dec,성장기,성장기
314,(주)국순당,43650,13-Dec,성숙기,성장기
315,(주)국순당,43650,14-Dec,성숙기,쇄신기
316,(주)국순당,43650,15-Dec,도입기,쇠퇴기
317,(주)국순당,43650,16-Dec,성숙기,성숙기
318,(주)국순당,43650,17-Dec,성숙기,쇠퇴기
319,(주)국순당,43650,18-Dec,성숙기,쇄신기
320,(주)국순당,43650,19-Dec,쇠퇴기,쇠퇴기
321,(주)국영지앤엠,6050,11-Dec,성장기,성장기
322,(주)국영지앤엠,6050,12-Dec,쇠퇴기,쇠퇴기
323,(주)국영지앤엠,6050,13-Dec,성숙기,성숙기
324,(주)국영지앤엠,6050,14-Dec,쇄신기,쇄신기
325,(주)국영지앤엠,6050,15-Dec,성장기,성장기
326,(주)국영지앤엠,6050,16-Dec,도입기,도입기
327,(주)국영지앤엠,6050,17-Dec,성장기,성장기
328,(주)국영지앤엠,6050,18-Dec,성숙기,성숙기
329,(주)국영지앤엠,6050,19-Dec,도입기,도입기
330,(주)국전약품,307750,18-Dec,8,8
331,(주)국전약품,307750,19-Dec,8,8
332,(주)그래디언트,35080,11-Dec,성장기,성장기
333,(주)그래디언트,35080,12-Dec,쇠퇴기,쇠퇴기
334,(주)그래디언트,35080,13-Dec,쇠퇴기,성숙기
335,(주)그래디언트,35080,14-Dec,쇠퇴기,성장기
336,(주)그래디언트,35080,15-Dec,성장기,쇄신기
337,(주)그래디언트,35080,16-Dec,쇠퇴기,성숙기
338,(주)그래디언트,35080,17-Dec,성숙기,성숙기
339,(주)그래디언트,35080,18-Dec,쇄신기,성숙기
340,(주)그래디언트,35080,19-Dec,쇄신기,성숙기
341,(주)그리티,204020,18-Dec,성장기,성장기
342,(주)그리티,204020,19-Dec,쇠퇴기,쇠퇴기
343,(주)그린플러스,186230,19-Dec,도입기,도입기
344,(주)글로벌스탠다드테크놀로지,83450,11-Dec,성장기,성장기
345,(주)글로벌스탠다드테크놀로지,83450,12-Dec,쇄신기,쇄신기
346,(주)글로벌스탠다드테크놀로지,83450,13-Dec,성장기,성장기
347,(주)글로벌스탠다드테크놀로지,83450,14-Dec,성장기,성장기
348,(주)글로벌스탠다드테크놀로지,83450,15-Dec,성숙기,성숙기
349,(주)글로벌스탠다드테크놀로지,83450,16-Dec,도입기,성장기
350,(주)글로벌스탠다드테크놀로지,83450,17-Dec,성장기,성장기
351,(주)글로벌스탠다드테크놀로지,83450,18-Dec,성숙기,성숙기
352,(주)글로벌스탠다드테크놀로지,83450,19-Dec,성숙기,성숙기
353,(주)금비,8870,11-Sep,성장기,성장기
