회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 현금흐름 감소율(개별),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동 현금흐름 감소율(연결)
(주)광무,29480,Dec-14,2564009,,,
(주)광무,29480,Dec-15,2044961,,,
(주)광무,29480,Dec-16,-3007014,,,
(주)광무,29480,Dec-17,-7185601,,,
(주)광무,29480,Dec-18,-1332045,,-319877,
(주)광무,29480,Dec-19,-18999421,,-17176123,
(주)광주신세계,37710,Dec-11,-54058672,,,
(주)광주신세계,37710,Dec-12,-43652264,,,
(주)광주신세계,37710,Dec-13,-274884013,,,
(주)광주신세계,37710,Dec-14,-5467556,,,
(주)광주신세계,37710,Dec-15,-5629270,,,
(주)광주신세계,37710,Dec-16,-9172921,,,
(주)광주신세계,37710,Dec-17,-3587726,,,
(주)광주신세계,37710,Dec-18,-658704,,,
(주)광주신세계,37710,Dec-19,-55381469,,,
(주)구영테크,53270,Dec-11,-7112406,,-9334663,
(주)구영테크,53270,Dec-12,-12928824,,-19332088,
(주)구영테크,53270,Dec-13,7208450,,2200348,
(주)구영테크,53270,Dec-14,-475784,,-7627163,
(주)구영테크,53270,Dec-15,-4054529,,-9701693,
(주)구영테크,53270,Dec-16,-10098787,,-16813216,
(주)구영테크,53270,Dec-17,-21760013,,-23239804,
(주)구영테크,53270,Dec-18,-14236839,,-19303224,
(주)구영테크,53270,Dec-19,-5659531,,-6494849,
(주)국동,5320,Dec-11,-101794,,-563056,
(주)국동,5320,Dec-12,-1294262,,-802263,
(주)국동,5320,Dec-13,264854,,-1008688,
(주)국동,5320,Dec-14,-1656764,,-4423508,
(주)국동,5320,Dec-15,-9860769,,-3399517,
(주)국동,5320,Dec-16,-3327326,,-15940624,
(주)국동,5320,Dec-17,-357799,,-4410422,
(주)국동,5320,Dec-18,3111773,,1472014,
(주)국동,5320,Dec-19,-30786612,,-23961325,
(주)국보,1140,Dec-11,784698,,961955,
(주)국보,1140,Dec-12,-1146905,,-1274126,
(주)국보,1140,Dec-13,-4284683,,-3656970,
(주)국보,1140,Dec-14,573563,,604389,
(주)국보,1140,Dec-15,3006756,,3057463,
(주)국보,1140,Dec-16,606081,,194932,
(주)국보,1140,Dec-17,-753184,,-531778,
(주)국보,1140,Dec-18,20506005,,20673339,
(주)국보,1140,Dec-19,-9888438,,-2963513,
(주)국보디자인,66620,Dec-11,-12284777,,-9687267,
(주)국보디자인,66620,Dec-12,-7157603,,-7894541,
(주)국보디자인,66620,Dec-13,-25637094,,-24803246,
(주)국보디자인,66620,Dec-14,-8765083,,-10641719,
(주)국보디자인,66620,Dec-15,-5527725,,-9937234,
(주)국보디자인,66620,Dec-16,-5351274,,-3570086,
(주)국보디자인,66620,Dec-17,-3705288,,-1877183,
(주)국보디자인,66620,Dec-18,-6824210,,-8679349,
(주)국보디자인,66620,Dec-19,-9008695,,-3573627,
(주)국순당,43650,Dec-11,-10565958,,-9565683,
(주)국순당,43650,Dec-12,-10808940,,-10521522,
(주)국순당,43650,Dec-13,-7201301,,-3743052,
(주)국순당,43650,Dec-14,-3795767,,5409553,
(주)국순당,43650,Dec-15,-350008,,4802344,
(주)국순당,43650,Dec-16,-11010751,,-12698994,
(주)국순당,43650,Dec-17,-3908307,,15508783,
(주)국순당,43650,Dec-18,-23419217,,-3833228,
(주)국순당,43650,Dec-19,17963082,,19566430,
(주)국영지앤엠,6050,Dec-11,-18568769,,,
(주)국영지앤엠,6050,Dec-12,9456019,,,
(주)국영지앤엠,6050,Dec-13,-298265,,,
(주)국영지앤엠,6050,Dec-14,364719,,,
(주)국영지앤엠,6050,Dec-15,-1747715,,,
(주)국영지앤엠,6050,Dec-16,-498703,,,
(주)국영지앤엠,6050,Dec-17,-3251231,,,
(주)국영지앤엠,6050,Dec-18,-329312,,,
(주)국영지앤엠,6050,Dec-19,-396408,,,
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,-173122093,,-260754525,
(주)그래디언트,35080,Dec-12,52111793,,52759251,
(주)그래디언트,35080,Dec-13,2521692,,-10169694,
(주)그래디언트,35080,Dec-14,13463237,,-138819396,
(주)그래디언트,35080,Dec-15,-11708445,,-21576537,
(주)그래디언트,35080,Dec-16,10175946,,-65823461,
(주)그래디언트,35080,Dec-17,-1423754,,-158100941,
(주)그래디언트,35080,Dec-18,2772568,,-34993424,
(주)그래디언트,35080,Dec-19,1879505,,-88105524,
(주)그리티,204020,Dec-11,,,,
(주)그리티,204020,Dec-12,,,,
(주)그리티,204020,Dec-13,,,,
(주)그리티,204020,Dec-14,-9988297,,-9765549,
(주)그리티,204020,Dec-15,-4393030,,-3816155,
(주)그리티,204020,Dec-16,-3511123,,-3692274,
(주)그리티,204020,Dec-17,2608415,,4564980,
(주)그리티,204020,Dec-18,-24763196,,-23503665,
(주)그리티,204020,Dec-19,4865664,,11577718,
(주)그린플러스,186230,Dec-11,,,,
(주)그린플러스,186230,Dec-12,,,,
(주)그린플러스,186230,Dec-13,,,,
(주)그린플러스,186230,Dec-14,,,,
(주)그린플러스,186230,Dec-15,,,,
(주)그린플러스,186230,Dec-16,,,,
(주)그린플러스,186230,Dec-17,,,,
(주)그린플러스,186230,Dec-18,-4722894,,-5987261,
(주)그린플러스,186230,Dec-19,-1466296,,-833175,
(주)글로벌스탠다드테크놀로지,83450,Dec-11,-8018854,,-8602113,
(주)글로벌스탠다드테크놀로지,83450,Dec-12,2709335,,2920877,
(주)글로벌스탠다드테크놀로지,83450,Dec-13,-1241318,,-2967228,
(주)글로벌스탠다드테크놀로지,83450,Dec-14,-2949094,,-3285187,
(주)글로벌스탠다드테크놀로지,83450,Dec-15,-6587826,,-9000109,
(주)글로벌스탠다드테크놀로지,83450,Dec-16,-2958189,,-3735368,
(주)글로벌스탠다드테크놀로지,83450,Dec-17,-11691693,,-11451677,
(주)글로벌스탠다드테크놀로지,83450,Dec-18,-8950470,,-6874684,
(주)글로벌스탠다드테크놀로지,83450,Dec-19,-5336020,,-4544589,
(주)금비,8870,Sep-11,-37446901,,-47042393,
(주)금비,8870,Sep-12,-3028774,,-818772,
(주)금비,8870,Sep-13,-4899854,,-12924970,
(주)금비,8870,Sep-14,-11919825,,-18434620,
(주)금비,8870,Sep-15,-1576076,,-12543676,
(주)금비,8870,Sep-16,-11532048,,-18296006,
(주)금비,8870,Sep-17,-3612670,,-10670278,
(주)금비,8870,Sep-18,-4887190,,-10311501,
(주)금비,8870,Sep-19,-3978628,,-21688731,
(주)금양,1570,Dec-11,-9889332,,-12571372,
(주)금양,1570,Dec-12,-4588649,,-2042502,
(주)금양,1570,Dec-13,-5026711,,-5428647,
(주)금양,1570,Dec-14,-3441343,,-3644286,
(주)금양,1570,Dec-15,-10393782,,-14191694,
(주)금양,1570,Dec-16,-7926270,,-25422638,
(주)금양,1570,Dec-17,3248321,,36103858,
(주)금양,1570,Dec-18,-1308968,,-11960943,
(주)금양,1570,Dec-19,2464547,,-8906710,
(주)금호에이치티,214330,Dec-11,,,,
(주)금호에이치티,214330,Dec-12,,,,
(주)금호에이치티,214330,Dec-13,-3440807,,-5333536,
(주)금호에이치티,214330,Dec-14,-7277787,,-9278409,
(주)금호에이치티,214330,Dec-15,-6309220,,-11722997,
(주)금호에이치티,214330,Dec-16,-36468175,,-36388667,
(주)금호에이치티,214330,Dec-17,-2261968,,-2282805,
(주)금호에이치티,214330,Dec-18,-40567013,,-28172858,
(주)금호에이치티,214330,Dec-19,-64730024,,-60794284,
(주)금화피에스시,36190,Dec-11,-15744622,,,
(주)금화피에스시,36190,Dec-12,-7136828,,,
(주)금화피에스시,36190,Dec-13,-12869887,,-7778578,
(주)금화피에스시,36190,Dec-14,1113641,,1994456,
(주)금화피에스시,36190,Dec-15,-11723955,,-13183325,
(주)금화피에스시,36190,Dec-16,-20071544,,-23645928,
(주)금화피에스시,36190,Dec-17,-37436939,,-38640412,
(주)금화피에스시,36190,Dec-18,-15380846,,-18288162,
(주)금화피에스시,36190,Dec-19,-4321502,,-5957598,
(주)기가레인,49080,Dec-13,-23508555,,-22492882,
(주)기가레인,49080,Dec-14,-26623360,,-26061991,
(주)기가레인,49080,Dec-15,-21080726,,-19440087,
(주)기가레인,49080,Dec-16,-14467677,,-14973495,
(주)기가레인,49080,Dec-17,-10625525,,-11214399,
(주)기가레인,49080,Dec-18,2263291,,4405045,
(주)기가레인,49080,Dec-19,-1695891,,-1368041,
(주)기산텔레콤,35460,Dec-11,-11861764,,-10995902,
(주)기산텔레콤,35460,Dec-12,7946511,,6418760,
(주)기산텔레콤,35460,Dec-13,-481364,,9873020,
(주)기산텔레콤,35460,Dec-14,-987658,,294047,
(주)기산텔레콤,35460,Dec-15,2327290,,-306123,
(주)기산텔레콤,35460,Dec-16,-6745004,,-9169099,
(주)기산텔레콤,35460,Dec-17,39118,,-380704,
(주)기산텔레콤,35460,Dec-18,-3968651,,-1096094,
(주)기산텔레콤,35460,Dec-19,-1044708,,1207822,
(주)까뮤이앤씨,13700,Dec-11,-546,,,
(주)까뮤이앤씨,13700,Dec-12,813475,,,
(주)까뮤이앤씨,13700,Dec-13,26180276,,,
(주)까뮤이앤씨,13700,Dec-14,55871469,,,
(주)까뮤이앤씨,13700,Dec-15,4628456,,,
(주)까뮤이앤씨,13700,Dec-16,-4019364,,,
(주)까뮤이앤씨,13700,Dec-17,6319430,,,
(주)까뮤이앤씨,13700,Dec-18,-2770216,,,
(주)까뮤이앤씨,13700,Dec-19,772040,,,
(주)까스텔바작,308100,Dec-16,-21496416,,-21485147,
(주)까스텔바작,308100,Dec-17,-576968,,-197995,
(주)까스텔바작,308100,Dec-18,-943279,,-938602,
(주)까스텔바작,308100,Dec-19,-6860983,,-6891769,
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,2156639,,9238812,
(주)나노,187790,Dec-16,-83842,,-5640576,
(주)나노,187790,Dec-17,-3282598,,-5252700,
(주)나노,187790,Dec-18,-15201451,,-12769512,
(주)나노,187790,Dec-19,-2763790,,-5432329,
(주)나노브릭,286750,Dec-15,,,,
(주)나노브릭,286750,Dec-16,,,,
(주)나노브릭,286750,Dec-17,2110817,,1419553,
(주)나노브릭,286750,Dec-18,-130670,,-130670,
(주)나노브릭,286750,Dec-19,-4977169,,-4977169,
(주)나노신소재,121600,Dec-11,-13657299,,-13390625,
(주)나노신소재,121600,Dec-12,-705165,,-708451,
(주)나노신소재,121600,Dec-13,754888,,746725,
(주)나노신소재,121600,Dec-14,-1362579,,-1364466,
(주)나노신소재,121600,Dec-15,-5217538,,-5219510,
(주)나노신소재,121600,Dec-16,-4761744,,-4770690,
(주)나노신소재,121600,Dec-17,-11412526,,-11462551,
(주)나노신소재,121600,Dec-18,-1616867,,-1616867,
(주)나노신소재,121600,Dec-19,-7681809,,-5935071,
(주)나노엔텍,39860,Dec-11,-16468752,,-15522785,
(주)나노엔텍,39860,Dec-12,2932043,,2933276,
(주)나노엔텍,39860,Dec-13,-1256479,,715880,
(주)나노엔텍,39860,Dec-14,-1348355,,-1348355,
(주)나노엔텍,39860,Dec-15,-2774817,,-1138904,
(주)나노엔텍,39860,Dec-16,-7733187,,-4177792,
(주)나노엔텍,39860,Dec-17,-764564,,-745312,
(주)나노엔텍,39860,Dec-18,-2316932,,-1601558,
(주)나노엔텍,39860,Dec-19,-1015021,,-1014487,
(주)나래나노텍,137080,Dec-11,,,,
(주)나래나노텍,137080,Dec-12,,,,
