,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
9889,9889,대성홀딩스(주),16710,13-Dec,9564327,1846301,30617555,56125373,-3323133,29020688,+,+,+,+,-,+,쇄신기,성장기
9890,9890,대성홀딩스(주),16710,14-Dec,3342923,3854250,-4643831,44042637,-33642300,-10319814,+,+,-,+,-,-,쇄신기,성숙기
9891,9891,대성홀딩스(주),16710,15-Dec,5263404,-37800863,-4977445,57825936,-112767359,-5076619,+,-,-,+,-,-,성숙기,성숙기
9892,9892,대성홀딩스(주),16710,16-Dec,7034523,-24519591,-3331120,62885149,-88879175,-29310076,+,-,-,+,-,-,성숙기,성숙기
9893,9893,대성홀딩스(주),16710,17-Dec,7580933,-580230,-19341945,63362527,4883591,-71232326,+,-,-,+,+,-,성숙기,쇄신기
9894,9894,대성홀딩스(주),16710,18-Dec,5740469,20309833,-4101919,56378758,-35648190,-16934791,+,+,-,+,-,-,쇄신기,성숙기
9895,9895,대성홀딩스(주),16710,19-Dec,1827187,14415537,-44482817,56982732,-40315413,-46116917,+,+,-,+,-,-,쇄신기,성숙기
9896,9896,대신정보통신(주),20180,11-Mar,4510533,-1900392,0,,,,+,-,0,8,8,8,9,9
9897,9897,대신정보통신(주),20180,12-Mar,4056038,-1539271,0,,,,+,-,0,8,8,8,9,9
9898,9898,대신정보통신(주),20180,13-Mar,850312,-2810722,0,,,,+,-,0,8,8,8,9,9
9899,9899,대신정보통신(주),20180,14-Mar,4758437,-2508468,0,,,,+,-,0,8,8,8,9,9
9900,9900,대신정보통신(주),20180,15-Mar,5600003,-2347941,0,,,,+,-,0,8,8,8,9,9
9901,9901,대신정보통신(주),20180,16-Mar,6570549,-403968,-576434,,,,+,-,-,8,8,8,성숙기,성숙기
9902,9902,대신정보통신(주),20180,17-Mar,6142874,-6422865,-546434,,,,+,-,-,8,8,8,성숙기,성숙기
9903,9903,대신정보통신(주),20180,18-Mar,-3389174,-11009381,9765266,,,,-,-,+,8,8,8,도입기,도입기
9904,9904,대신정보통신(주),20180,19-Mar,623034,465595,-429849,,,,+,+,-,8,8,8,쇄신기,쇄신기
9905,9905,대아티아이(주),45390,11-Dec,6088035,-6160946,0,6524918,-5233044,0,+,-,0,+,-,9,9,9
9906,9906,대아티아이(주),45390,12-Dec,7981838,-11282919,8443240,8815860,-11469907,8428734,+,-,+,+,-,+,성장기,성장기
9907,9907,대아티아이(주),45390,13-Dec,15549373,3272151,-6000000,15580945,2102120,-6000000,+,+,-,+,+,-,쇄신기,쇄신기
9908,9908,대아티아이(주),45390,14-Dec,3336668,-9149603,-5500868,4116255,-7914982,-6801779,+,-,-,+,-,-,성숙기,성숙기
9909,9909,대아티아이(주),45390,15-Dec,-3453230,-3203728,-560946,-2372702,-5144340,139871,-,-,-,-,-,+,쇄신기,도입기
9910,9910,대아티아이(주),45390,16-Dec,18168042,-10782797,0,19762040,-12092702,0,+,-,0,+,-,9,9,9
9911,9911,대아티아이(주),45390,17-Dec,1492340,-13687653,4000000,217009,-12640277,4000000,+,-,+,+,-,+,성장기,성장기
9912,9912,대아티아이(주),45390,18-Dec,9573978,25103,-5423030,7373242,2792608,-5310330,+,+,-,+,+,-,쇄신기,쇄신기
9913,9913,대아티아이(주),45390,19-Dec,23195981,-24478391,-2088874,26374076,-28962408,-2429998,+,-,-,+,-,-,성숙기,성숙기
9914,9914,대양전기공업(주),108380,11-Dec,4315652,-22917937,21024523,,,,+,-,+,8,8,8,성장기,성장기
9915,9915,대양전기공업(주),108380,12-Dec,18104466,-22819497,-117689,23112832,-21855120,-3225568,+,-,-,+,-,-,성숙기,성숙기
9916,9916,대양전기공업(주),108380,13-Dec,15692907,-8682653,10000,20741715,-10060789,587880,+,-,+,+,-,+,성장기,성장기
9917,9917,대양전기공업(주),108380,14-Dec,17038799,-9492981,618780,19412252,-11726746,558780,+,-,+,+,-,+,성장기,성장기
9918,9918,대양전기공업(주),108380,15-Dec,5359667,-6745656,-639080,3906338,-9478203,-823909,+,-,-,+,-,-,성숙기,성숙기
9919,9919,대양전기공업(주),108380,16-Dec,15836865,-6574082,-570728,30384010,-9821210,-865898,+,-,-,+,-,-,성숙기,성숙기
9920,9920,대양전기공업(주),108380,17-Dec,32659275,-6415111,212404,33605359,-11637113,32404,+,-,+,+,-,+,성장기,성장기
9921,9921,대양전기공업(주),108380,18-Dec,-3570436,-8316319,-155029,-2001996,-13117065,-155029,-,-,-,-,-,-,쇄신기,쇄신기
9922,9922,대양전기공업(주),108380,19-Dec,1420197,-4208639,-197262,5320072,-5443166,-209746,+,-,-,+,-,-,성숙기,성숙기
9923,9923,대양제지공업(주),6580,11-Dec,1112115,-4705680,3721414,2362119,-14956422,14253706,+,-,+,+,-,+,성장기,성장기
9924,9924,대양제지공업(주),6580,12-Dec,21396184,-19462846,-2678042,20679447,-6873776,-16116701,+,-,-,+,-,-,성숙기,성숙기
9925,9925,대양제지공업(주),6580,13-Dec,7784241,-12455719,4734370,10196295,-5252423,-4874452,+,-,+,+,-,-,성장기,성숙기
9926,9926,대양제지공업(주),6580,14-Dec,12524528,-504710,-11945636,19422370,-586003,-18726619,+,-,-,+,-,-,성숙기,성숙기
9927,9927,대양제지공업(주),6580,15-Dec,2684052,-3979633,1243302,6966958,-11755451,5184933,+,-,+,+,-,+,성장기,성장기
9928,9928,대양제지공업(주),6580,16-Dec,1098173,241563,1287945,-633454,-15290033,18555766,+,+,+,-,-,+,쇄신기,도입기
9929,9929,대양제지공업(주),6580,17-Dec,1636345,-2038976,-1780280,-656018,-21140702,19582101,+,-,-,-,-,+,성숙기,도입기
9930,9930,대양제지공업(주),6580,18-Dec,39740824,-10458362,-28384017,43964895,-8575964,-34778152,+,-,-,+,-,-,성숙기,성숙기
9931,9931,대양제지공업(주),6580,19-Dec,19311509,-27184455,6572231,32238970,-25727537,-8042583,+,-,+,+,-,-,성장기,성숙기
9932,9932,대영포장(주),14160,11-Dec,-3823052,-21888719,26874324,,,,-,-,+,8,8,8,도입기,도입기
9933,9933,대영포장(주),14160,12-Dec,22054755,6600279,-29870111,,,,+,+,-,8,8,8,쇄신기,쇄신기
9934,9934,대영포장(주),14160,13-Dec,13151267,-8741682,-4161815,,,,+,-,-,8,8,8,성숙기,성숙기
9935,9935,대영포장(주),14160,14-Dec,19177198,-9648067,-10018906,,,,+,-,-,8,8,8,성숙기,성숙기
9936,9936,대영포장(주),14160,15-Dec,13041443,-15436504,2321883,,,,+,-,+,8,8,8,성장기,성장기
9937,9937,대영포장(주),14160,16-Dec,7163830,3629978,-9970942,,,,+,+,-,8,8,8,쇄신기,쇄신기
9938,9938,대영포장(주),14160,17-Dec,1741608,-2313709,1816035,,,,+,-,+,8,8,8,성장기,성장기
9939,9939,대영포장(주),14160,18-Dec,16293973,-31015744,12807883,,,,+,-,+,8,8,8,성장기,성장기
9940,9940,대영포장(주),14160,19-Dec,28910960,-6119654,-21451162,,,,+,-,-,8,8,8,성숙기,성숙기
9941,9941,대우전자부품(주),9320,11-Dec,-2439571,-1756212,4084196,-2177981,-1900843,3890736,-,-,+,-,-,+,도입기,도입기
9942,9942,대우전자부품(주),9320,12-Dec,1263286,-105586,-647503,1137308,-233633,-563342,+,-,-,+,-,-,성숙기,성숙기
9943,9943,대우전자부품(주),9320,13-Dec,-1636911,-3368193,5544491,-1258203,-3540452,5515665,-,-,+,-,-,+,도입기,도입기
9944,9944,대우전자부품(주),9320,14-Dec,1846830,-3706513,2526778,1972424,-4096383,2498494,+,-,+,+,-,+,성장기,성장기
9945,9945,대우전자부품(주),9320,15-Dec,4644914,-5200940,1887844,4017709,-4530389,1884181,+,-,+,+,-,+,성장기,성장기
9946,9946,대우전자부품(주),9320,16-Dec,4964053,-1530755,-2079454,5049537,-2726668,-839937,+,-,-,+,-,-,성숙기,성숙기
9947,9947,대우전자부품(주),9320,17-Dec,5079564,-4663515,-2676100,6415245,-6108792,-1588788,+,-,-,+,-,-,성숙기,성숙기
9948,9948,대우전자부품(주),9320,18-Dec,550754,-3164950,1651591,,,,+,-,+,8,8,8,성장기,성장기
9949,9949,대우전자부품(주),9320,19-Dec,2364901,-7868057,4233790,,,,+,-,+,8,8,8,성장기,성장기
9950,9950,대우조선해양(주),42660,11-Dec,-30954794,-452195950,324466116,2258794,-611763404,537545575,-,-,+,+,-,+,도입기,성장기
9951,9951,대우조선해양(주),42660,12-Dec,-774698358,-494523226,1119451137,-996054288,-413409769,1135782188,-,-,+,-,-,+,도입기,도입기
9952,9952,대우조선해양(주),42660,13-Dec,-1268050527,-113640418,1440550907,-1197909569,-157040222,1462521203,-,-,+,-,-,+,도입기,도입기
9953,9953,대우조선해양(주),42660,14-Dec,-523369919,-224307947,539579374,-560227443,-199165987,520748873,-,-,+,-,-,+,도입기,도입기
9954,9954,대우조선해양(주),42660,15-Dec,-606311062,-165372256,1832049990,-843000008,172116099,1772907183,-,-,+,-,+,+,도입기,쇠퇴기
9955,9955,대우조선해양(주),42660,16-Dec,-913993359,-669820981,653613272,-531006614,-282684378,-200881901,-,-,+,-,-,-,도입기,쇄신기
9956,9956,대우조선해양(주),42660,17-Dec,-1193655594,99339025,1110684123,-1019899304,22724020,987889078,-,+,+,-,+,+,쇠퇴기,쇠퇴기
9957,9957,대우조선해양(주),42660,18-Dec,710072005,13415449,-556926684,725140996,-13220666,-565892171,+,+,-,+,-,-,쇄신기,성숙기
9958,9958,대우조선해양(주),42660,19-Dec,2536558667,-473298014,-395101092,2542127054,-484548620,-395101092,+,-,-,+,-,-,성숙기,성숙기
9959,9959,대원강업(주),430,11-Dec,30314994,-32449911,1703959,35449088,-67793519,50707949,+,-,+,+,-,+,성장기,성장기
9960,9960,대원강업(주),430,12-Dec,32312662,-22683121,-10558893,77097833,-85983045,1977019,+,-,-,+,-,+,성숙기,성장기
9961,9961,대원강업(주),430,13-Dec,27881948,-101725033,73812424,50647710,-144914614,102084321,+,-,+,+,-,+,성장기,성장기
9962,9962,대원강업(주),430,14-Dec,20654370,-3181061,-17723181,42264933,-52562128,9996894,+,-,-,+,-,+,성숙기,성장기
9963,9963,대원강업(주),430,15-Dec,47052738,-1010649,-46054467,96774203,-41335825,-48764220,+,-,-,+,-,-,성숙기,성숙기
9964,9964,대원강업(주),430,16-Dec,16997138,-43984021,43457583,90552535,-87461744,20008221,+,-,+,+,-,+,성장기,성장기
9965,9965,대원강업(주),430,17-Dec,69845943,4776434,-90645286,93341703,-33118284,-81722496,+,+,-,+,-,-,쇄신기,성숙기
9966,9966,대원강업(주),430,18-Dec,96965257,-37257053,-60521349,119893625,-32778958,-94730724,+,-,-,+,-,-,성숙기,성숙기
9967,9967,대원강업(주),430,19-Dec,6816564,-1672254,-4773036,6162417,-22430530,16739585,+,-,-,+,-,+,성숙기,성장기
9968,9968,대원미디어(주),48910,11-Dec,3676352,-6408120,169000,7594454,-12315168,-663893,+,-,+,+,-,-,성장기,성숙기
9969,9969,대원미디어(주),48910,12-Dec,-793694,-6815372,4868153,2246446,-15651140,7136368,-,-,+,+,-,+,도입기,성장기
9970,9970,대원미디어(주),48910,13-Dec,863446,-4848674,9840000,7963692,-7719833,5894948,+,-,+,+,-,+,성장기,성장기
9971,9971,대원미디어(주),48910,14-Dec,-160296,2869193,1162245,2568334,-866459,3151843,-,+,+,+,-,+,쇠퇴기,성장기
9972,9972,대원미디어(주),48910,15-Dec,-533373,-3401939,967407,10132194,-8623667,-2489347,-,-,+,+,-,-,도입기,성숙기
9973,9973,대원미디어(주),48910,16-Dec,1132466,-7929422,2557465,6195776,-12420755,1953859,+,-,+,+,-,+,성장기,성장기
9974,9974,대원미디어(주),48910,17-Dec,-42421,2840486,-477476,7705823,-5602140,-942086,-,+,-,+,-,-,쇠퇴기,성숙기
9975,9975,대원미디어(주),48910,18-Dec,-2786283,5003620,521,1787691,1597196,-528903,-,+,+,+,+,-,쇠퇴기,쇄신기
9976,9976,대원미디어(주),48910,19-Dec,-4319453,-3000868,2371603,2297722,-8629796,1729033,-,-,+,+,-,+,도입기,성장기
9977,9977,대원산업(주),5710,11-Dec,15057029,-12776926,-1260400,11058029,-15969761,5414729,+,-,-,+,-,+,성숙기,성장기
9978,9978,대원산업(주),5710,12-Dec,42270726,-39588365,-1770000,58663376,-49666337,-6782426,+,-,-,+,-,-,성숙기,성숙기
9979,9979,대원산업(주),5710,13-Dec,65822612,-56337223,-1190100,63810103,-58411266,-10609352,+,-,-,+,-,-,성숙기,성숙기
9980,9980,대원산업(주),5710,14-Dec,28514801,41956173,-1238000,33830971,35350728,7680196,+,+,-,+,+,+,쇄신기,쇄신기
9981,9981,대원산업(주),5710,15-Dec,8008348,-23225116,-2117000,13078401,-25667879,-10465736,+,-,-,+,-,-,성숙기,성숙기
9982,9982,대원산업(주),5710,16-Dec,51988489,-30963207,-2297000,54777362,-33669311,598027,+,-,-,+,-,+,성숙기,성장기
9983,9983,대원산업(주),5710,17-Dec,59010937,-10834443,-1968600,58966330,-12332073,-3491321,+,-,-,+,-,-,성숙기,성숙기
9984,9984,대원산업(주),5710,18-Dec,21676297,-41256707,-2407915,65968192,-44934213,-7337504,+,-,-,+,-,-,성숙기,성숙기
9985,9985,대원산업(주),5710,19-Dec,61935475,-115226223,-2453700,35273963,-114440977,-319793,+,-,-,+,-,-,성숙기,성숙기
9986,9986,대원전선(주),6340,11-Dec,31129406,-2546719,-11019480,30601004,-3472085,-8719525,+,-,-,+,-,-,성숙기,성숙기
9987,9987,대원전선(주),6340,12-Dec,-36245563,-3054659,21882450,-35133734,-2989354,19809628,-,-,+,-,-,+,도입기,도입기
9988,9988,대원전선(주),6340,13-Dec,21805998,-17132479,-4618181,20953930,-18944258,-1557855,+,-,-,+,-,-,성숙기,성숙기
9989,9989,대원전선(주),6340,14-Dec,-3821310,5692876,-1805240,-1570568,5729097,-3279996,-,+,-,-,+,-,쇠퇴기,쇠퇴기
9990,9990,대원전선(주),6340,15-Dec,12950392,-9355780,-3540244,18420477,-19461712,607741,+,-,-,+,-,+,성숙기,성장기
9991,9991,대원전선(주),6340,16-Dec,4795504,8600584,-13325464,11793878,3376683,-14453507,+,+,-,+,+,-,쇄신기,쇄신기
9992,9992,대원전선(주),6340,17-Dec,-10340019,11050480,-117970,-4000886,2732715,1190598,-,+,-,-,+,+,쇠퇴기,쇠퇴기
9993,9993,대원전선(주),6340,18-Dec,-9462257,7566796,1237959,-10931044,11244019,-900929,-,+,+,-,+,-,쇠퇴기,쇠퇴기
9994,9994,대원전선(주),6340,19-Dec,2102713,2268271,-2417140,4124746,978623,-3605493,+,+,-,+,+,-,쇄신기,쇄신기
9995,9995,대원제약(주),3220,11-Dec,18036286,-14543384,-1732300,17932732,-13822877,-1655005,+,-,-,+,-,-,성숙기,성숙기
9996,9996,대원제약(주),3220,12-Dec,14189288,-3478842,-3865532,13827656,-3547210,-3874974,+,-,-,+,-,-,성숙기,성숙기
9997,9997,대원제약(주),3220,13-Dec,12518298,-17220651,-819653,12320482,-16796906,-509367,+,-,-,+,-,-,성숙기,성숙기
9998,9998,대원제약(주),3220,14-Dec,17974788,-13932090,-1273737,17447351,-13930812,-1273737,+,-,-,+,-,-,성숙기,성숙기
9999,9999,대원제약(주),3220,15-Dec,26796441,-23486306,-5486254,25816898,-22695175,-5276593,+,-,-,+,-,-,성숙기,성숙기
10000,10000,대원제약(주),3220,16-Dec,22106282,-20676866,-6430233,20791925,-20164922,-5766234,+,-,-,+,-,-,성숙기,성숙기
10001,10001,대원제약(주),3220,17-Dec,5122116,-20827713,5287759,4265009,-19844722,5264759,+,-,+,+,-,+,성장기,성장기
10002,10002,대원제약(주),3220,18-Dec,40575423,-42625803,12896589,40032139,-41728347,12896589,+,-,+,+,-,+,성장기,성장기
10003,10003,대원제약(주),3220,19-Dec,31960313,-48623774,14824114,30970631,-47681739,14824114,+,-,+,+,-,+,성장기,성장기
10004,10004,대원화성(주),24890,11-Dec,-157745,-4003734,2434129,-260092,-4797726,3141245,-,-,+,-,-,+,도입기,도입기
10005,10005,대원화성(주),24890,12-Dec,-1472211,-4110521,5908334,-5059654,-819777,5757268,-,-,+,-,-,+,도입기,도입기
10006,10006,대원화성(주),24890,13-Dec,-913248,-1109351,1226069,-2503704,495192,1336267,-,-,+,-,+,+,도입기,쇠퇴기
10007,10007,대원화성(주),24890,14-Dec,4837601,-3450053,-1463271,2903483,-3487293,296178,+,-,-,+,-,+,성숙기,성장기
10008,10008,대원화성(주),24890,15-Dec,8612742,334599,-5077328,6325023,-2637374,346138,+,+,-,+,-,+,쇄신기,성장기
10009,10009,대원화성(주),24890,16-Dec,6228121,-270924,18962,8911003,195217,-826920,+,-,+,+,+,-,성장기,쇄신기
10010,10010,대원화성(주),24890,17-Dec,4168241,-1488793,-6402878,4832601,-2074220,-5270763,+,-,-,+,-,-,성숙기,성숙기
10011,10011,대원화성(주),24890,18-Dec,3054252,699889,760298,6869127,-3032755,-528543,+,+,+,+,-,-,쇄신기,성숙기
10012,10012,대원화성(주),24890,19-Dec,4391686,-3483297,-418985,10582147,-4914291,-1939218,+,-,-,+,-,-,성숙기,성숙기
10013,10013,대정화금(주),120240,11-Dec,6053432,-11585540,-1498178,,,,+,-,-,8,8,8,성숙기,성숙기
10014,10014,대정화금(주),120240,12-Dec,6351821,-2663978,-4145370,,,,+,-,-,8,8,8,성숙기,성숙기
10015,10015,대정화금(주),120240,13-Dec,6069119,-14534744,8408463,,,,+,-,+,8,8,8,성장기,성장기
10016,10016,대정화금(주),120240,14-Dec,5924074,-3649976,-1868257,,,,+,-,-,8,8,8,성숙기,성숙기
10017,10017,대정화금(주),120240,15-Dec,11683489,670950,-10677169,,,,+,+,-,8,8,8,쇄신기,쇄신기
10018,10018,대정화금(주),120240,16-Dec,7432678,-6368276,-1512182,,,,+,-,-,8,8,8,성숙기,성숙기
10019,10019,대정화금(주),120240,17-Dec,8881111,-8926665,-13857,,,,+,-,-,8,8,8,성숙기,성숙기
10020,10020,대정화금(주),120240,18-Dec,8923089,-11415991,7527332,,,,+,-,+,8,8,8,성장기,성장기
10021,10021,대정화금(주),120240,19-Dec,10766523,-10525098,8947105,,,,+,-,+,8,8,8,성장기,성장기
10022,10022,대주산업(주),3310,11-Dec,-3119153,-902214,4130004,-3215600,-802214,4130004,-,-,+,-,-,+,도입기,도입기
10023,10023,대주산업(주),3310,12-Dec,-2049840,400734,513232,-2048040,400734,513232,-,+,+,-,+,+,쇠퇴기,쇠퇴기
10024,10024,대주산업(주),3310,13-Dec,7224965,-512997,-3449981,7220725,-512997,-3449981,+,-,-,+,-,-,성숙기,성숙기
10025,10025,대주산업(주),3310,14-Dec,4913136,-380214,-5359100,4913439,-380214,-5359100,+,-,-,+,-,-,성숙기,성숙기
10026,10026,대주산업(주),3310,15-Dec,1440000,-1792527,-323205,1440346,-1792527,-323205,+,-,-,+,-,-,성숙기,성숙기
10027,10027,대주산업(주),3310,16-Dec,7340615,-735362,-7304354,7371452,-735362,-7304354,+,-,-,+,-,-,성숙기,성숙기
10028,10028,대주산업(주),3310,17-Dec,2952296,-7247235,6518356,2943502,-7247235,6518356,+,-,+,+,-,+,성장기,성장기
10029,10029,대주산업(주),3310,18-Dec,-1797067,-5956528,4472605,-1797176,-5956528,4472605,-,-,+,-,-,+,도입기,도입기
10030,10030,대주산업(주),3310,19-Dec,5765191,-218272,-5449761,5764929,-240272,-5449761,+,-,-,+,-,-,성숙기,성숙기
10031,10031,대주전자재료(주),78600,11-Dec,-2556867,-3226310,4483425,-1173184,-3573247,4380525,-,-,+,-,-,+,도입기,도입기
10032,10032,대주전자재료(주),78600,12-Dec,18595481,-21401199,1270082,19410588,-22034631,3317502,+,-,+,+,-,+,성장기,성장기
10033,10033,대주전자재료(주),78600,13-Dec,9810245,-6989029,3246544,9457936,-5598721,1043177,+,-,+,+,-,+,성장기,성장기
10034,10034,대주전자재료(주),78600,14-Dec,5368362,-12767091,6913258,7304683,-14731454,5941776,+,-,+,+,-,+,성장기,성장기
10035,10035,대주전자재료(주),78600,15-Dec,-1353221,-11755867,9566590,-1090733,-8907896,9566590,-,-,+,-,-,+,도입기,도입기
10036,10036,대주전자재료(주),78600,16-Dec,4951006,-3713361,2907087,4120712,-6856446,3930548,+,-,+,+,-,+,성장기,성장기
10037,10037,대주전자재료(주),78600,17-Dec,-388187,-2235794,-379444,934096,-4947832,26890,-,-,-,+,-,+,쇄신기,성장기
10038,10038,대주전자재료(주),78600,18-Dec,4089398,-16223011,20014981,2593611,-15942807,21727962,+,-,+,+,-,+,성장기,성장기
10039,10039,대주전자재료(주),78600,19-Dec,-2808851,-13779222,13252299,-6475448,-13608766,16363637,-,-,+,-,-,+,도입기,도입기
10040,10040,대창단조(주),15230,11-Dec,26120987,-2133574,-20276100,25175911,-3318940,-17946557,+,-,-,+,-,-,성숙기,성숙기
10041,10041,대창단조(주),15230,12-Dec,34966593,-13902276,-18493754,36691891,-14970183,-19104599,+,-,-,+,-,-,성숙기,성숙기
10042,10042,대창단조(주),15230,13-Dec,24718459,-24015300,-5194298,25130581,-24052756,-5204901,+,-,-,+,-,-,성숙기,성숙기
10043,10043,대창단조(주),15230,14-Dec,9642751,-7631323,938833,8473319,-7053612,2719801,+,-,+,+,-,+,성장기,성장기
10044,10044,대창단조(주),15230,15-Dec,15899280,-13910945,-3636550,17959063,-14621544,-3107433,+,-,-,+,-,-,성숙기,성숙기
10045,10045,대창단조(주),15230,16-Dec,-1877645,10453948,-7542052,2428164,9542676,-10943648,-,+,-,+,+,-,쇠퇴기,쇄신기
10046,10046,대창단조(주),15230,17-Dec,-458442,8993100,-1885026,-313808,6068548,-60650,-,+,-,-,+,-,쇠퇴기,쇠퇴기
10047,10047,대창단조(주),15230,18-Dec,-6520123,8480091,-4004840,-3299451,5106027,-2717850,-,+,-,-,+,-,쇠퇴기,쇠퇴기
10048,10048,대창단조(주),15230,19-Dec,39396310,-26023515,-7946763,44813341,-29258527,-11586952,+,-,-,+,-,-,성숙기,성숙기
10049,10049,대한광통신(주),10170,11-Dec,11385984,-27092565,24970961,,,,+,-,+,8,8,8,성장기,성장기
10050,10050,대한광통신(주),10170,12-Dec,6958509,-57829678,28909311,,,,+,-,+,8,8,8,성장기,성장기
10051,10051,대한광통신(주),10170,13-Dec,3197104,3840492,-8391898,,,,+,+,-,8,8,8,쇄신기,쇄신기
10052,10052,대한광통신(주),10170,14-Dec,-1874575,-1261979,3995576,-1994560,-955288,3995576,-,-,+,-,-,+,도입기,도입기
10053,10053,대한광통신(주),10170,15-Dec,9660193,8946294,-6173505,9656836,9346206,-6173505,+,+,-,+,+,-,쇄신기,쇄신기
10054,10054,대한광통신(주),10170,16-Dec,9371205,13079251,-18696752,10798910,12965997,-18696752,+,+,-,+,+,-,쇄신기,쇄신기
10055,10055,대한광통신(주),10170,17-Dec,9996827,-14878578,11023242,8311638,-14732318,11323242,+,-,+,+,-,+,성장기,성장기
10056,10056,대한광통신(주),10170,18-Dec,-8555734,-56088123,138154630,-8270345,-56046216,137842630,-,-,+,-,-,+,도입기,도입기
10057,10057,대한광통신(주),10170,19-Dec,-3446018,-21370264,-16784030,-3330565,-21352167,-16828739,-,-,-,-,-,-,쇄신기,쇄신기
10058,10058,대한그린파워(주),60900,11-Dec,2320912,-6770236,4520109,962216,-6307305,5579750,+,-,+,+,-,+,성장기,성장기
10059,10059,대한그린파워(주),60900,12-Dec,5289085,-22049503,16730538,7191663,-24048402,21380836,+,-,+,+,-,+,성장기,성장기
10060,10060,대한그린파워(주),60900,13-Dec,-2522515,-21468493,23819644,-4758767,-20390058,20170079,-,-,+,-,-,+,도입기,도입기
10061,10061,대한그린파워(주),60900,14-Dec,-6280431,630690,5693029,,,,-,+,+,8,8,8,쇠퇴기,쇠퇴기
10062,10062,대한그린파워(주),60900,15-Dec,-17819940,3020046,15371661,,,,-,+,+,8,8,8,쇠퇴기,쇠퇴기
10063,10063,대한그린파워(주),60900,16-Dec,-6766437,-1446466,7580000,,,,-,-,+,8,8,8,도입기,도입기
10064,10064,대한그린파워(주),60900,17-Dec,-8647421,189314,13611617,,,,-,+,+,8,8,8,쇠퇴기,쇠퇴기
10065,10065,대한그린파워(주),60900,18-Dec,-2019205,-9841891,6776365,-1864155,-6486632,3475696,-,-,+,-,-,+,도입기,도입기
10066,10066,대한그린파워(주),60900,19-Dec,-8178297,-14027612,22690354,-7509886,-15853046,23330276,-,-,+,-,-,+,도입기,도입기
10067,10067,대한뉴팜(주),54670,11-Dec,3417521,-2803710,-635923,,,,+,-,-,8,8,8,성숙기,성숙기
10068,10068,대한뉴팜(주),54670,12-Dec,256818,-6841875,6806538,,,,+,-,+,8,8,8,성장기,성장기
10069,10069,대한뉴팜(주),54670,13-Dec,2992631,-4550721,1541665,,,,+,-,+,8,8,8,성장기,성장기
10070,10070,대한뉴팜(주),54670,14-Dec,10016126,-4936340,-4690905,,,,+,-,-,8,8,8,성숙기,성숙기
10071,10071,대한뉴팜(주),54670,15-Dec,7804579,-4285421,-2380933,,,,+,-,-,8,8,8,성숙기,성숙기
10072,10072,대한뉴팜(주),54670,16-Dec,8751074,-1534213,-930412,,,,+,-,-,8,8,8,성숙기,성숙기
10073,10073,대한뉴팜(주),54670,17-Dec,-2424219,-469798,-610254,,,,-,-,-,8,8,8,쇄신기,쇄신기
10074,10074,대한뉴팜(주),54670,18-Dec,20473469,-11766079,-5071099,,,,+,-,-,8,8,8,성숙기,성숙기
10075,10075,대한뉴팜(주),54670,19-Dec,22892528,-9112888,-4550911,,,,+,-,-,8,8,8,성숙기,성숙기
10076,10076,대한방직(주),1070,11-Dec,-6558691,-1296761,3976426,-2001726,-1072067,1560924,-,-,+,-,-,+,도입기,도입기
10077,10077,대한방직(주),1070,12-Dec,8199553,-2519808,-13880338,7455823,-2295308,-16195728,+,-,-,+,-,-,성숙기,성숙기
10078,10078,대한방직(주),1070,13-Dec,-24058182,7556484,13732913,-21020280,7442444,12260744,-,+,+,-,+,+,쇠퇴기,쇠퇴기
10079,10079,대한방직(주),1070,14-Dec,18934773,-2888236,-13420464,18735158,-3344175,-13309997,+,-,-,+,-,-,성숙기,성숙기
10080,10080,대한방직(주),1070,15-Dec,-10202350,-1299069,11399359,-9210723,-1218923,10133539,-,-,+,-,-,+,도입기,도입기
10081,10081,대한방직(주),1070,16-Dec,-8630808,16182577,-6815615,-7875282,16225597,-8654944,-,+,-,-,+,-,쇠퇴기,쇠퇴기
10082,10082,대한방직(주),1070,17-Dec,4489699,19298461,-23795776,3096239,19559627,-24552695,+,+,-,+,+,-,쇄신기,쇄신기
10083,10083,대한방직(주),1070,18-Dec,-17059068,169457943,-69903007,-18700691,171201839,-69773109,-,+,-,-,+,-,쇠퇴기,쇠퇴기
10084,10084,대한방직(주),1070,19-Dec,-19625603,-3460521,-47747217,-19294274,-2328907,-47953319,-,-,-,-,-,-,쇄신기,쇄신기
10085,10085,대한약품공업(주),23910,11-Dec,5631665,-4628412,-1430782,,,,+,-,-,8,8,8,성숙기,성숙기
10086,10086,대한약품공업(주),23910,12-Dec,11699749,-8202263,-2035189,,,,+,-,-,8,8,8,성숙기,성숙기
10087,10087,대한약품공업(주),23910,13-Dec,12686353,-19968976,9088161,,,,+,-,+,8,8,8,성장기,성장기
