,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
58,58,(주)SIMPAC,9160,15-Dec,10489830,-24960399,9501031,10256628,-15982486,3951056,+,-,+,+,-,+,성장기,성장기
59,59,(주)SIMPAC,9160,16-Dec,30470575,1868196,-8572094,35245662,-4526973,-4452346,+,+,-,+,-,-,쇄신기,성숙기
60,60,(주)SIMPAC,9160,17-Dec,-13628628,-1221063,-670362,-9543549,-377362,-10260990,-,-,-,-,-,-,쇄신기,쇄신기
61,61,(주)SIMPAC,9160,18-Dec,36290248,34121439,5090742,37360242,34396141,10049492,+,+,+,+,+,+,쇄신기,쇄신기
62,62,(주)SIMPAC,9160,19-Dec,45146571,-33505559,-5779168,37470315,-30908323,9041402,+,-,-,+,-,+,성숙기,성장기
63,63,(주)SNT에너지,100840,11-Dec,-17274075,874182,7410441,,,,-,+,+,8,8,8,쇠퇴기,쇠퇴기
64,64,(주)SNT에너지,100840,12-Dec,26635237,-382322,-1152895,,,,+,-,-,8,8,8,성숙기,성숙기
65,65,(주)SNT에너지,100840,13-Dec,20128884,1754576,-1367552,,,,+,+,-,8,8,8,쇄신기,쇄신기
66,66,(주)SNT에너지,100840,14-Dec,-24774316,-126524,-2125384,,,,-,-,-,8,8,8,쇄신기,쇄신기
67,67,(주)SNT에너지,100840,15-Dec,2204846,-388071,-9166626,,,,+,-,-,8,8,8,성숙기,성숙기
68,68,(주)SNT에너지,100840,16-Dec,35017765,-6276169,-3592306,,,,+,-,-,8,8,8,성숙기,성숙기
69,69,(주)SNT에너지,100840,17-Dec,-5579426,6227623,0,,,,-,+,0,8,8,8,9,9
70,70,(주)SNT에너지,100840,18-Dec,14435813,-6856584,-4717348,,,,+,-,-,8,8,8,성숙기,성숙기
71,71,(주)SNT에너지,100840,19-Dec,-40057737,1138349,-62208,-40064824,4716326,-3125295,-,+,-,-,+,-,쇠퇴기,쇠퇴기
72,72,(주)SNT홀딩스,36530,11-Dec,9351556,38205174,-14497222,86981830,-23825834,-67930291,+,+,-,+,-,-,쇄신기,성숙기
73,73,(주)SNT홀딩스,36530,12-Dec,8670824,-21698925,-8244327,57310654,-42613065,-58140417,+,-,-,+,-,-,성숙기,성숙기
74,74,(주)SNT홀딩스,36530,13-Dec,7969284,-5576358,505143,94174241,-22586456,11154683,+,-,+,+,-,+,성장기,성장기
75,75,(주)SNT홀딩스,36530,14-Dec,6847661,-10037839,-4824614,95278602,-53040189,-75561285,+,-,-,+,-,-,성숙기,성숙기
76,76,(주)SNT홀딩스,36530,15-Dec,7958287,25411785,-2994804,120263344,-47887660,42864721,+,+,-,+,-,+,쇄신기,성장기
77,77,(주)SNT홀딩스,36530,16-Dec,761622,-5487797,-3880173,143865685,-50764586,-20648764,+,-,-,+,-,-,성숙기,성숙기
78,78,(주)SNT홀딩스,36530,17-Dec,6184231,-18991272,-5527452,104208804,-87582797,-31461098,+,-,-,+,-,-,성숙기,성숙기
79,79,(주)SNT홀딩스,36530,18-Dec,6691516,-6658574,-9582718,128942884,-181259322,-91314393,+,-,-,+,-,-,성숙기,성숙기
80,80,(주)SNT홀딩스,36530,19-Dec,10098608,3067340,-14776552,89185851,27442503,-10380938,+,+,-,+,+,-,쇄신기,쇄신기
81,81,(주)STX,11810,11-Dec,-108220000,-311014000,312651000,55801000,-738589000,453660000,-,-,+,+,-,+,도입기,성장기
82,82,(주)STX,11810,12-Dec,159192000,-170700000,-58448000,250636000,-546582000,373696000,+,-,-,+,-,+,성숙기,성장기
83,83,(주)STX,11810,13-Dec,85353000,256801000,-316469000,130779000,-28285000,-343552000,+,+,-,+,-,-,쇄신기,성숙기
84,84,(주)STX,11810,14-Dec,-78562000,25152000,88352000,-76097000,44980000,77015000,-,+,+,-,+,+,쇠퇴기,쇠퇴기
85,85,(주)STX,11810,15-Dec,28936000,41271000,-101779000,-15950000,42142000,-61762000,+,+,-,-,+,-,쇄신기,쇠퇴기
86,86,(주)STX,11810,16-Dec,31638000,48420000,-107426000,57833000,53174000,-140896000,+,+,-,+,+,-,쇄신기,쇄신기
87,87,(주)STX,11810,17-Dec,93844000,45598000,-83177000,100295000,47311000,-96231000,+,+,-,+,+,-,쇄신기,쇄신기
88,88,(주)STX,11810,18-Dec,-51274000,22829000,-27927000,-48114000,24797000,-28778000,-,+,-,-,+,-,쇠퇴기,쇠퇴기
89,89,(주)STX,11810,19-Dec,12558000,-35804000,24610000,528000,-26727000,21637000,+,-,+,+,-,+,성장기,성장기
90,90,(주)TCC스틸,2710,11-Dec,-8210627,-34958575,36856980,-10245999,-33632208,37294243,-,-,+,-,-,+,도입기,도입기
91,91,(주)TCC스틸,2710,12-Dec,10878979,-32640959,23360930,-4610373,-43256998,58745746,+,-,+,-,-,+,성장기,도입기
92,92,(주)TCC스틸,2710,13-Dec,21218485,-35681571,12449418,-29220038,12243850,15086672,+,-,+,-,+,+,성장기,쇠퇴기
93,93,(주)TCC스틸,2710,14-Dec,13870764,-28226203,12897730,-21440429,4309765,9083392,+,-,+,-,+,+,성장기,쇠퇴기
94,94,(주)TCC스틸,2710,15-Dec,36353152,-15629867,-19472677,30047778,21985692,-47690562,+,-,-,+,+,-,성숙기,쇄신기
95,95,(주)TCC스틸,2710,16-Dec,-34206656,87807785,-52968874,-35273178,87996322,-54304570,-,+,-,-,+,-,쇠퇴기,쇠퇴기
96,96,(주)TCC스틸,2710,17-Dec,-7248002,671217,5097295,-1168958,272218,998322,-,+,+,-,+,+,쇠퇴기,쇠퇴기
97,97,(주)TCC스틸,2710,18-Dec,13968719,-2184262,-4905789,21492009,-637436,-6479222,+,-,-,+,-,-,성숙기,성숙기
98,98,(주)TCC스틸,2710,19-Dec,-251282,-11360066,10727544,-6746810,-11936714,10082864,-,-,+,-,-,+,도입기,도입기
99,99,(주)가비아,79940,11-Dec,6750777,-5828440,-1372783,9650833,-10140435,2707032,+,-,-,+,-,+,성숙기,성장기
100,100,(주)가비아,79940,12-Dec,9005290,-16004942,7027128,13224986,-20717005,8510485,+,-,+,+,-,+,성장기,성장기
101,101,(주)가비아,79940,13-Dec,6245989,-1682086,-2043346,12813443,-9998158,-3471415,+,-,-,+,-,-,성숙기,성숙기
102,102,(주)가비아,79940,14-Dec,8696486,-7744206,-924902,16223625,-10913796,-1874697,+,-,-,+,-,-,성숙기,성숙기
103,103,(주)가비아,79940,15-Dec,10152135,-1800461,-3500706,19257887,-8773166,-3350514,+,-,-,+,-,-,성숙기,성숙기
104,104,(주)가비아,79940,16-Dec,9339489,-10755258,-391060,17871404,-18247920,2076073,+,-,-,+,-,+,성숙기,성장기
105,105,(주)가비아,79940,17-Dec,8670614,-6515005,-391060,20444884,-8859280,-5792982,+,-,-,+,-,-,성숙기,성숙기
106,106,(주)가비아,79940,18-Dec,9241321,-8098967,608940,21870330,-22923889,1115424,+,-,+,+,-,+,성장기,성장기
107,107,(주)가비아,79940,19-Dec,13243609,-13094318,-2465787,36950567,-29988807,-8620801,+,-,-,+,-,-,성숙기,성숙기
108,108,(주)강스템바이오텍,217730,15-Dec,-3800024,-12058913,21489927,,,,-,-,+,8,8,8,도입기,도입기
109,109,(주)강스템바이오텍,217730,16-Dec,-7796613,-26722204,30170015,,,,-,-,+,8,8,8,도입기,도입기
110,110,(주)강스템바이오텍,217730,17-Dec,-10267751,5871865,5753187,-10646869,6469317,6163311,-,+,+,-,+,+,쇠퇴기,쇠퇴기
111,111,(주)강스템바이오텍,217730,18-Dec,-11298071,-25397225,35740905,-11476851,-25834675,36619657,-,-,+,-,-,+,도입기,도입기
112,112,(주)강스템바이오텍,217730,19-Dec,-11097344,-33356662,47081570,-13321543,-38130531,55910992,-,-,+,-,-,+,도입기,도입기
113,113,(주)강원랜드,35250,11-Dec,428912416,-198767256,-218788013,417827759,-187763915,-218788013,+,-,-,+,-,-,성숙기,성숙기
114,114,(주)강원랜드,35250,12-Dec,458412852,-232183363,-194378359,446539739,-216998936,-194378359,+,-,-,+,-,-,성숙기,성숙기
115,115,(주)강원랜드,35250,13-Dec,432139763,-229555921,-153067943,424407127,-193315698,-152767943,+,-,-,+,-,-,성숙기,성숙기
116,116,(주)강원랜드,35250,14-Dec,516728788,-404621440,-147999469,510413141,-427372634,-147999469,+,-,-,+,-,-,성숙기,성숙기
117,117,(주)강원랜드,35250,15-Dec,581804341,-399445183,-172328148,574981576,-398949073,-172328148,+,-,-,+,-,-,성숙기,성숙기
118,118,(주)강원랜드,35250,16-Dec,600686651,-414060181,-198684218,596486851,-411462350,-197744218,+,-,-,+,-,-,성숙기,성숙기
119,119,(주)강원랜드,35250,17-Dec,465968987,-253342340,-200711608,463050000,-250223124,-200251608,+,-,-,+,-,-,성숙기,성숙기
120,120,(주)강원랜드,35250,18-Dec,366067885,-205028726,-200711608,363918692,-202048061,-202353847,+,-,-,+,-,-,성숙기,성숙기
121,121,(주)강원랜드,35250,19-Dec,408994810,-212758098,-184472055,407868874,-211308893,-184753547,+,-,-,+,-,-,성숙기,성숙기
122,122,(주)강원에너지,114190,11-Nov,15102830,-4700331,-626155,,,,+,-,-,8,8,8,성숙기,성숙기
123,123,(주)강원에너지,114190,12-Dec,-3145103,-21039487,12886524,,,,-,-,+,8,8,8,도입기,도입기
124,124,(주)강원에너지,114190,13-Dec,16975955,10839414,-3777017,,,,+,+,-,8,8,8,쇄신기,쇄신기
125,125,(주)강원에너지,114190,14-Dec,-14600421,-2463292,-390859,,,,-,-,-,8,8,8,쇄신기,쇄신기
126,126,(주)강원에너지,114190,15-Dec,18555072,-3757172,2041087,9499050,-4069038,14510764,+,-,+,+,-,+,성장기,성장기
127,127,(주)강원에너지,114190,16-Dec,-18630100,2857618,-5428,-15783876,-272939,-1428,-,+,-,-,-,-,쇠퇴기,쇄신기
128,128,(주)강원에너지,114190,17-Dec,-4605588,484043,4943754,-3706818,-746589,2950722,-,+,+,-,-,+,쇠퇴기,도입기
129,129,(주)강원에너지,114190,18-Dec,-10047711,-2019808,17827827,-10173085,-801059,16693653,-,-,+,-,-,+,도입기,도입기
130,130,(주)강원에너지,114190,19-Dec,7013798,-14691822,-8116985,6960049,-14687728,-8326408,+,-,-,+,-,-,성숙기,성숙기
131,131,(주)갤럭시아에스엠,11420,11-Dec,3957763,-1378082,987297,5951394,381972,796045,+,-,+,+,+,+,성장기,쇄신기
132,132,(주)갤럭시아에스엠,11420,12-Dec,2596523,-596085,-500000,2801469,-5044476,1396146,+,-,-,+,-,+,성숙기,성장기
133,133,(주)갤럭시아에스엠,11420,13-Dec,-780292,-2653809,0,4527179,-9658129,444977,-,-,0,+,-,+,9,성장기
134,134,(주)갤럭시아에스엠,11420,14-Dec,-1937620,1643309,0,-70410,-458207,-150000,-,+,0,-,-,-,9,쇄신기
135,135,(주)갤럭시아에스엠,11420,15-Dec,3007845,-5256354,21345843,2451666,-3398195,20349626,+,-,+,+,-,+,성장기,성장기
136,136,(주)갤럭시아에스엠,11420,16-Dec,-1876676,-840372,0,-1195544,-559339,-958600,-,-,0,-,-,-,9,쇄신기
137,137,(주)갤럭시아에스엠,11420,17-Dec,-7384193,-924879,0,-7389242,-1969493,0,-,-,0,-,-,9,9,9
138,138,(주)갤럭시아에스엠,11420,18-Dec,-2638766,1036438,0,-2809869,1068801,0,-,+,0,-,+,9,9,9
139,139,(주)갤럭시아에스엠,11420,19-Dec,825072,1061814,-2068359,903569,995670,-2068359,+,+,-,+,+,-,쇄신기,쇄신기
140,140,(주)경농,2100,11-Dec,14271710,-12823304,-23125625,14162963,-9444978,-23133875,+,-,-,+,-,-,성숙기,성숙기
141,141,(주)경농,2100,12-Dec,12031973,-25162774,13026318,8796940,-6775458,6493768,+,-,+,+,-,+,성장기,성장기
142,142,(주)경농,2100,13-Dec,16373126,-11015907,-3113306,18563319,-1125346,-27230933,+,-,-,+,-,-,성숙기,성숙기
143,143,(주)경농,2100,14-Dec,14226137,-18882330,4202731,14706590,-16252739,7251290,+,-,+,+,-,+,성장기,성장기
144,144,(주)경농,2100,15-Dec,-9444978,-19075073,26183892,-9854199,-14264573,23083006,-,-,+,-,-,+,도입기,도입기
145,145,(주)경농,2100,16-Dec,8683420,-2415338,-6864400,15996174,-14091883,-7381227,+,-,-,+,-,-,성숙기,성숙기
146,146,(주)경농,2100,17-Dec,14393946,-3577143,-10147254,15815332,-12828629,893935,+,-,-,+,-,+,성숙기,성장기
147,147,(주)경농,2100,18-Dec,4624400,-4316014,696224,10607249,-12754265,1603012,+,-,+,+,-,+,성장기,성장기
148,148,(주)경농,2100,19-Dec,4392117,-2614186,-748540,-1020171,6297614,-6078769,+,-,-,-,+,-,성숙기,쇠퇴기
149,149,(주)경동나비엔,9450,11-Dec,12393396,-14561296,-2921414,15493744,-19734957,437099,+,-,-,+,-,+,성숙기,성장기
150,150,(주)경동나비엔,9450,12-Dec,22554949,-21037803,6979261,27648702,-29096492,9446128,+,-,+,+,-,+,성장기,성장기
151,151,(주)경동나비엔,9450,13-Dec,20201422,-62575806,18828815,20912632,-67412813,22496757,+,-,+,+,-,+,성장기,성장기
152,152,(주)경동나비엔,9450,14-Dec,-24009203,-19195852,42193315,-13266158,-38148799,50436010,-,-,+,-,-,+,도입기,도입기
153,153,(주)경동나비엔,9450,15-Dec,36531813,1854034,-39672565,43719574,-7238540,-37990498,+,+,-,+,-,-,쇄신기,성숙기
154,154,(주)경동나비엔,9450,16-Dec,54602640,-13002830,-33814375,61333200,-22069978,-35032227,+,-,-,+,-,-,성숙기,성숙기
155,155,(주)경동나비엔,9450,17-Dec,13453817,-25344330,13356423,20111583,-40198288,26540438,+,-,+,+,-,+,성장기,성장기
156,156,(주)경동나비엔,9450,18-Dec,-9553832,-31457522,35125230,-14286091,-44715979,56483023,-,-,+,-,-,+,도입기,도입기
157,157,(주)경동나비엔,9450,19-Dec,38146715,-22368814,-19042241,78554868,-51466326,-33520665,+,-,-,+,-,-,성숙기,성숙기
158,158,(주)경동도시가스,267290,17-Dec,18774744,-54094509,-856859,19371687,-54218575,-856859,+,-,-,+,-,-,성숙기,성숙기
159,159,(주)경동도시가스,267290,18-Dec,120320145,-58283279,-4705443,120705226,-58533558,-4857492,+,-,-,+,-,-,성숙기,성숙기
160,160,(주)경동도시가스,267290,19-Dec,33602896,-46233496,-6084441,33973376,-46540342,-6186816,+,-,-,+,-,-,성숙기,성숙기
161,161,(주)경동인베스트,12320,11-Dec,90136711,-80527912,-3630410,88589199,-63153791,-15652542,+,-,-,+,-,-,성숙기,성숙기
162,162,(주)경동인베스트,12320,12-Dec,154970428,-67159239,-3844383,150571070,-60092789,-9221041,+,-,-,+,-,-,성숙기,성숙기
163,163,(주)경동인베스트,12320,13-Dec,54868445,-19477359,-5604471,69233629,-38215830,-4606606,+,-,-,+,-,-,성숙기,성숙기
164,164,(주)경동인베스트,12320,14-Dec,16430931,-30415596,-5180406,20818461,-36929956,3546093,+,-,-,+,-,+,성숙기,성장기
165,165,(주)경동인베스트,12320,15-Dec,-32486622,-101000740,-3029690,-50279018,-128436091,47600994,-,-,-,-,-,+,쇄신기,도입기
166,166,(주)경동인베스트,12320,16-Dec,32578235,-20799465,-17569927,26876328,-25524035,-5663220,+,-,-,+,-,-,성숙기,성숙기
167,167,(주)경동인베스트,12320,17-Dec,49566809,-11098576,-4088277,60158090,-20172592,-6303754,+,-,-,+,-,-,성숙기,성숙기
168,168,(주)경동인베스트,12320,18-Dec,1728544,2952258,-1137622,12513851,35768379,-46093284,+,+,-,+,+,-,쇄신기,쇄신기
