회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 변화율,투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동변화율(연결)
(주)경농,2100,12-Dec,-25162774,,-6775458,
(주)경농,2100,13-Dec,-11015907,,-1125346,
(주)경농,2100,14-Dec,-18882330,,-16252739,
(주)경농,2100,15-Dec,-19075073,,-14264573,
(주)경농,2100,16-Dec,-2415338,,-14091883,
(주)경농,2100,17-Dec,-3577143,,-12828629,
(주)경농,2100,18-Dec,-4316014,,-12754265,
(주)경농,2100,19-Dec,-2614186,,6297614,
(주)경동나비엔,9450,11-Dec,-14561296,,-19734957,
(주)경동나비엔,9450,12-Dec,-21037803,,-29096492,
(주)경동나비엔,9450,13-Dec,-62575806,,-67412813,
(주)경동나비엔,9450,14-Dec,-19195852,,-38148799,
(주)경동나비엔,9450,15-Dec,1854034,,-7238540,
(주)경동나비엔,9450,16-Dec,-13002830,,-22069978,
(주)경동나비엔,9450,17-Dec,-25344330,,-40198288,
(주)경동나비엔,9450,18-Dec,-31457522,,-44715979,
(주)경동나비엔,9450,19-Dec,-22368814,,-51466326,
(주)경동도시가스,267290,17-Dec,-54094509,,-54218575,
(주)경동도시가스,267290,18-Dec,-58283279,,-58533558,
(주)경동도시가스,267290,19-Dec,-46233496,,-46540342,
(주)경동인베스트,12320,11-Dec,-80527912,,-63153791,
(주)경동인베스트,12320,12-Dec,-67159239,,-60092789,
(주)경동인베스트,12320,13-Dec,-19477359,,-38215830,
(주)경동인베스트,12320,14-Dec,-30415596,,-36929956,
(주)경동인베스트,12320,15-Dec,-101000740,,-128436091,
(주)경동인베스트,12320,16-Dec,-20799465,,-25524035,
(주)경동인베스트,12320,17-Dec,-11098576,,-20172592,
(주)경동인베스트,12320,18-Dec,2952258,,35768379,
(주)경동인베스트,12320,19-Dec,-4938785,,-8561739,
(주)경방,50,11-Dec,-26435986,,-26322473,
(주)경방,50,12-Dec,-19372995,,-27697875,
(주)경방,50,13-Dec,669867,,-3280250,
(주)경방,50,14-Dec,-30920122,,-33885316,
(주)경방,50,15-Dec,-5543521,,-36713625,
(주)경방,50,16-Dec,-3211754,,-13675594,
(주)경방,50,17-Dec,6831805,,-19767162,
(주)경방,50,18-Dec,-32823008,,-25719906,
(주)경방,50,19-Dec,-79930463,,-45096923,
(주)경보제약,214390,11-Dec,,,,
(주)경보제약,214390,12-Dec,,,,
(주)경보제약,214390,13-Dec,-8785279,,,
(주)경보제약,214390,14-Dec,-18458614,,,
(주)경보제약,214390,15-Dec,-27781942,,,
(주)경보제약,214390,16-Dec,-20158761,,,
(주)경보제약,214390,17-Dec,-6395974,,,
(주)경보제약,214390,18-Dec,-8194652,,,
(주)경보제약,214390,19-Dec,-28127563,,,
(주)경인양행,12610,11-Dec,-4871100,,-9877016,
(주)경인양행,12610,12-Dec,-2384505,,-5059446,
(주)경인양행,12610,13-Dec,-515260,,-3527107,
(주)경인양행,12610,14-Dec,-9760461,,-12201523,
(주)경인양행,12610,15-Dec,-3554826,,-10080952,
(주)경인양행,12610,16-Dec,-1366831,,-7033423,
(주)경인양행,12610,17-Dec,-16850427,,-25434854,
(주)경인양행,12610,18-Dec,-23651736,,-31671509,
(주)경인양행,12610,19-Dec,-30689433,,-46297964,
(주)고려시멘트,198440,14-Dec,,,,
(주)고려시멘트,198440,15-Dec,,,,
(주)고려시멘트,198440,16-Dec,,,,
(주)고려시멘트,198440,17-Dec,-14608429,,,
(주)고려시멘트,198440,18-Dec,-9952075,,,
(주)고려시멘트,198440,19-Dec,3351444,,,
(주)고바이오랩,348150,19-Dec,-29678685,,-27431680,
(주)고영테크놀러지,98460,11-Dec,-14532348,,-15045937,
(주)고영테크놀러지,98460,12-Dec,-7979723,,-8116145,
(주)고영테크놀러지,98460,13-Dec,-6515012,,-6568022,
(주)고영테크놀러지,98460,14-Dec,-14388870,,-14447901,
(주)고영테크놀러지,98460,15-Dec,-1567764,,-1979022,
(주)고영테크놀러지,98460,16-Dec,-6754347,,-7025366,
(주)고영테크놀러지,98460,17-Dec,5318936,,5201174,
(주)고영테크놀러지,98460,18-Dec,-72061061,,-72484067,
(주)고영테크놀러지,98460,19-Dec,-6674843,,-7879555,
(주)골드앤에스,35290,11-Dec,-9221199,,-8498088,
(주)골드앤에스,35290,12-Dec,-9218663,,-9284293,
(주)골드앤에스,35290,13-Dec,-1001142,,-1383374,
(주)골드앤에스,35290,14-Dec,-915815,,-1764445,
(주)골드앤에스,35290,15-Dec,-5520151,,-5567330,
(주)골드앤에스,35290,16-Dec,112543,,94530,
(주)골드앤에스,35290,17-Dec,-5268662,,-6335735,
(주)골드앤에스,35290,18-Dec,-12992586,,-12675663,
(주)골드앤에스,35290,19-Dec,-4973680,,-4713771,
(주)골드퍼시픽,38530,11-Dec,-7888757,,,
(주)골드퍼시픽,38530,12-Dec,1614727,,,
(주)골드퍼시픽,38530,13-Dec,-1723987,,-6853546,
(주)골드퍼시픽,38530,14-Dec,-3778013,,-3323988,
(주)골드퍼시픽,38530,15-Dec,235416,,1337628,
(주)골드퍼시픽,38530,16-Dec,-354491,,,
(주)골드퍼시픽,38530,17-Dec,-10288331,,,
(주)골드퍼시픽,38530,18-Dec,-8720801,,-5614342,
(주)골드퍼시픽,38530,19-Dec,-54745086,,,
(주)골프존,215000,15-Dec,-5207190,,-4207242,
(주)골프존,215000,16-Dec,-33314421,,-33604113,
(주)골프존,215000,17-Dec,10630625,,11830916,
(주)골프존,215000,18-Dec,-53326757,,-56231601,
(주)골프존,215000,19-Dec,-48182499,,-46930786,
(주)골프존뉴딘홀딩스,121440,11-Dec,-195848455,,-173047588,
(주)골프존뉴딘홀딩스,121440,12-Dec,-103439750,,-91334075,
(주)골프존뉴딘홀딩스,121440,13-Dec,-74006949,,-90093517,
(주)골프존뉴딘홀딩스,121440,14-Dec,-27801730,,-75886421,
(주)골프존뉴딘홀딩스,121440,15-Dec,11509974,,10947085,
(주)골프존뉴딘홀딩스,121440,16-Dec,-7704028,,-11134900,
(주)골프존뉴딘홀딩스,121440,17-Dec,21294649,,-754187,
(주)골프존뉴딘홀딩스,121440,18-Dec,-22304789,,-36752525,
(주)골프존뉴딘홀딩스,121440,19-Dec,3095111,,15355506,
