회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
더블유아이,17-Dec,73570,12072601,10732723,0.889014969
더블유아이,18-Dec,73570,19277934,10259603,0.532194114
더블유아이,19-Dec,73570,24052132,24052132,1
덕성,11-Dec,4830,90994471,82467070,0.906286603
덕성,12-Dec,4830,91531135,78813801,0.861060021
덕성,13-Dec,4830,97418617,82108000,0.842836847
덕성,14-Dec,4830,82288347,71093725,0.863958599
덕성,15-Dec,4830,76938066,67410980,0.876172011
덕성,16-Dec,4830,103808604,90365515,0.870501206
덕성,17-Dec,4830,100706194,88686235,0.8806433
덕성,18-Dec,4830,83746049,76114605,0.908873982
덕성,19-Dec,4830,86726847,74742661,0.861816884
덕신하우징,14-Dec,90410,90645621,90645621,1
덕신하우징,15-Dec,90410,104896222,88099466,0.839872631
덕신하우징,16-Dec,90410,121634452,116770375,0.960010697
덕신하우징,17-Dec,90410,125887825,106260231,0.844086638
덕신하우징,18-Dec,90410,135363460,112691028,0.832507
덕신하우징,19-Dec,90410,149006750,130582054,0.876349924
데이타솔루션,17-Dec,263800,90041947,90041947,1
데이타솔루션,18-Dec,263800,98116700,98116700,1
데이타솔루션,19-Dec,263800,101169469,101169469,1
덱스터스튜디오,15-Dec,206560,26054827,17110461,0.65670983
덱스터스튜디오,16-Dec,206560,31776984,21742402,0.684218553
덱스터스튜디오,17-Dec,206560,25334023,35605479,1.405441173
덱스터스튜디오,18-Dec,206560,39216741,28124851,0.717164412
덱스터스튜디오,19-Dec,206560,55482725,0,0
도화엔지니어링,11-Dec,2150,282096884,282096884,1
도화엔지니어링,12-Dec,2150,282716150,282716150,1
도화엔지니어링,13-Dec,2150,270205936,270205936,1
도화엔지니어링,14-Dec,2150,229647463,229647463,1
도화엔지니어링,15-Dec,2150,275048204,275048204,1
도화엔지니어링,16-Dec,2150,324737933,324737933,1
도화엔지니어링,17-Dec,2150,398950053,381735411,0.956850132
도화엔지니어링,18-Dec,2150,402472582,385182038,0.9570392
도화엔지니어링,19-Dec,2150,516127676,489058463,0.947553262
동국알앤에스,11-Dec,75970,154053142,131062628,0.850762447
동국알앤에스,12-Dec,75970,129926945,107361626,0.826323023
동국알앤에스,13-Dec,75970,117332476,99367551,0.846888725
동국알앤에스,14-Dec,75970,110150597,92459132,0.839388388
동국알앤에스,15-Dec,75970,98898658,84397272,0.853371256
동국알앤에스,16-Dec,75970,94528209,79321552,0.839131015
동국알앤에스,17-Dec,75970,95193818,78432752,0.823926949
동국알앤에스,18-Dec,75970,101618391,83420707,0.820921353
동국알앤에스,19-Dec,75970,101828656,84700596,0.831795286
동국에스엔씨,11-Dec,100130,116891942,106802407,0.91368494
동국에스엔씨,12-Dec,100130,139563701,122594226,0.87841054
동국에스엔씨,13-Dec,100130,140907254,125339083,0.889514766
동국에스엔씨,14-Dec,100130,203075322,183594181,0.904069383
동국에스엔씨,15-Dec,100130,211285538,188419503,0.89177662
동국에스엔씨,16-Dec,100130,383878885,329244715,0.857678627
동국에스엔씨,17-Dec,100130,367922824,332271534,0.903101173
동국에스엔씨,18-Dec,100130,363113418,345171932,0.950589857
동국에스엔씨,19-Dec,100130,317847252,279038439,0.877901059
동방,11-Dec,4140,585508996,526177519,0.89866684
동방,12-Dec,4140,619415412,557110894,0.899414001
동방,13-Dec,4140,635368921,592760451,0.932939008
동방,14-Dec,4140,633716236,589770365,0.930653708
