구분,코드,산업명,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
(주)셀리드,299660,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,0,0
(주)셀리버리,268600,  연구개발업,0,0,0,0,0,0,0,66.39,191.73
(주)셀바스에이아이,108860,  출판업,36.04,35.89,0,0,0,0,0,0,0
(주)셀바스헬스케어,208370,  기타금융업,0,0,0,0,0,64.37,59.13,85.33,67.13
(주)셀트리온,68270,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,40.3,41.8
(주)셀트리온제약,68760,  의료용 물질 및 의약품 제조업,28.65,30.16,30.72,33.88,34.12,59.76,55.64,71.58,63.65
(주)셀트리온헬스케어,91990,  도매 및 상품 중개업,0,0,0,0,0,0,77.67,93.35,85.07
(주)셀피글로벌,68940,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",68.6,75.31,85.27,87.05,81.01,74.6,77.31,80.6,76.77
(주)소프트센,32680,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",113.68,81.8,86.45,88,90.14,87.39,90.39,89.1,91.48
(주)손오공,66910,  기타 제품 제조업,73.22,81.69,95.9,85.08,77.48,82.68,93.22,84.97,82.31
(주)솔고바이오메디칼,43100,"  의료, 정밀, 광학기기 및 시계 제조업",57.95,70.66,66.2,61.17,73.4,76.54,80.05,91.69,71.04
(주)솔루에타,154040,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,66.77,83.56,67.97,87.08,76.21,76.14,79.39
(주)솔본,35610,  우편 및 통신업,6.46,10.5,16.41,12.69,15.17,13.23,10.81,7.8,4.98
(주)쇼박스,86980,  영상ㆍ오디오 기록물 제작 및 배급업,97.32,80.31,86.62,86.46,82.6,79.87,80.29,80.05,86.48
(주)수산아이앤티,50960,  출판업,0,0,0,0,0,0,0,0,0
(주)수산중공업,17550,  기타 기계 및 장비 제조업,68.91,69.84,74.03,75.1,74.04,71.81,73.9,77.25,76.72
(주)수젠텍,253840,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,0,99.82
(주)슈프리마,236200,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,0,50.87,47.01,45.98,35.01
(주)슈프리마아이디,317770,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,0,0,0,0,61.1
(주)슈프리마에이치큐,94840,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",54.5,52.34,49.56,52.2,68.66,69.42,69.98,67.58,61.85
(주)슈피겐코리아,192440,  기타 제품 제조업,0,0,0,47.18,42.81,42.29,41.32,40.29,43.45
(주)스마트솔루션즈,136510,  기타 기계 및 장비 제조업,46.78,81.24,59.51,72.39,63.73,62.22,58.72,62.12,79.31
(주)스맥,99440,  기타 기계 및 장비 제조업,85.08,81.73,80.51,80.91,80.22,80.28,82.82,80.71,90.01
(주)스카이문스테크놀로지,33790,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",89.56,94.9,91.7,84.7,92.13,96.29,95.19,74.57,87.78
(주)스킨앤스킨,159910,  화학물질 및 화학제품 제조업; 의약품 제외,0,47.16,75.32,89.7,57.39,49.33,86.76,89.66,92.61
(주)스타플렉스,115570,  고무 및 플라스틱제품 제조업,80.29,75.57,81.08,82.75,79.52,78.99,86.37,92.73,88.5
(주)스튜디오산타클로스엔터테인먼트,204630,  기타금융업,0,0,0,0,81.67,76.16,88.64,74.92,0
(주)스페코,13810,  기타 기계 및 장비 제조업,77.63,77.1,71.32,74.84,74.18,75.77,76.05,85.66,74.91
(주)승일,49830,  기타 제품 제조업,91.4,90.61,88.33,88.6,88.75,90.58,91.78,92.85,95.11
(주)시공테크,20710,"  기타 전문, 과학 및 기술 서비스업",86.2,91.14,91.06,85.9,92.44,103.15,87.53,101.49,89.11
(주)시너지이노베이션,48870,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",76.82,84.31,98.62,88.49,116.34,68.29,96.92,67.44,69.3
(주)시노펙스,25320,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",92.56,95.6,92.66,95.22,98.65,84.98,76.73,79.71,82.24
(주)시디즈,134790,  가구 제조업,85.19,72.58,89.42,99.94,111.44,102.03,100.08,82.21,79.85
(주)시스웍,269620,"  의료, 정밀, 광학기기 및 시계 제조업",0,0,0,0,0,0,69.56,61.97,75.45
(주)시큐브,131090,  출판업,53.73,53.66,53,55.37,42.28,39.07,42.42,46.64,34.91
(주)시티랩스,139050,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",79.16,80.14,87.76,89.14,90.23,90.04,93.17,84.35,94.19
(주)신도리코,29530,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",82.46,85.76,82.84,85.66,87.06,86.41,84.48,84.36,85.94
(주)신성이엔지,11930,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",109.3,106.49,99.77,96.41,88.58,98.46,94.33,91.78,87.45
(주)신세계,4170,  소매업; 자동차 제외,25.41,25.71,25.63,24.1,24.04,23.35,21.08,19.86,18.28
(주)신세계아이앤씨,35510,  정보서비스업,81.79,81.37,78.49,79.56,79.64,83.62,82.35,83.83,85.3
(주)신세계인터내셔날,31430,  소매업; 자동차 제외,51.86,52.52,52.96,53.51,53.56,51.05,49.31,44.77,41.58
(주)신세계푸드,31440,  음식점 및 주점업,84.93,84.51,86.88,86.92,89.14,87.76,86.54,87.53,87.37
(주)신영와코루,5800,"  의복, 의복 액세서리 및 모피제품 제조업",41.18,42.2,43.54,44.57,42.7,42.38,42.14,40.78,40.69
(주)신원,9270,"  의복, 의복 액세서리 및 모피제품 제조업",68.53,70.51,71.67,71.61,70.78,70.72,72.22,73.35,75.5
(주)신진에스엠,138070,  금속가공제품 제조업; 기계 및 가구 제외,71.57,71.05,73.78,77.14,72.23,77.62,76.34,80.65,80.94
(주)신테카바이오,226330,  출판업,0,0,0,0,0,0,0,0,0
(주)신화다이나믹스,1770,  1차 금속 제조업,92.48,91.71,95.56,92.61,87.56,92.4,89.09,90.42,92.96
(주)신화콘텍,187270,  전기장비 제조업,0,0,0,74.85,85.6,80.67,71.76,80.25,76.55
(주)신흥,4080,  도매 및 상품 중개업,80.16,81.58,76.51,72.85,72.45,75.15,75.26,76.19,75.44
(주)심텍,222800,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,89.83,90.51,90.12,86.93,89.06
(주)심텍홀딩스,36710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",83.94,86.33,98.05,92.07,0,0,0,0,0
(주)싸이맥스,160980,  기타 기계 및 장비 제조업,0,0,0,0,83.74,82.06,79.67,79.64,80.88
(주)싸이토젠,217330,  연구개발업,0,0,0,0,0,0,0,74.53,123.37
(주)쌍방울,102280,"  의복, 의복 액세서리 및 모피제품 제조업",73.76,70.44,70.39,71.02,68.49,74.77,73.97,66.5,77.27
(주)썸에이지,208640,  기타금융업,0,0,0,0,0,0,0,0,0
(주)쎄노텍,222420,  기타금융업,0,0,0,0,0,65.23,70.98,81.05,77.41
(주)쎄니트,37760,  1차 금속 제조업,99.82,90.72,90.57,87.27,88.47,90.43,93.37,91.96,88.67
(주)쎄트렉아이,99320,  기타 운송장비 제조업,81.34,80.91,82.77,78.87,76.3,79.34,72.22,82.52,81.27
