구분,코드,산업명,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
(주)에스비에스,34120,  방송업,66.61,74.95,75.81,84.12,75.83,84.4,79.16,84.69,83.02
(주)에스비에스콘텐츠허브,46140,  정보서비스업,80.69,79.42,81.35,89.86,91.81,91.66,93.2,94.13,95.59
(주)에스씨디,42110,  전기장비 제조업,89.61,89.2,86.04,84.32,83.46,87.07,89.05,91.95,92.75
(주)에스아이리소스,65420,  섬유제품 제조업; 의복제외,76.12,92.81,94.67,97.49,86.7,97.5,97.88,95.18,90.47
(주)에스앤더블류,103230,  기타 기계 및 장비 제조업,92.94,92.31,92.74,90.93,90.4,92.23,101.16,108.22,94.62
(주)에스앤에스텍,101490,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",72.85,71.25,69.01,68.46,63.02,70.54,79.1,76.3,73.47
(주)에스에너지,95910,  전기장비 제조업,92.3,83.24,88.52,90.05,93.36,91.78,88.62,84.03,88.69
(주)에스에스알,275630,  출판업,0,0,0,0,0,0,0,59.79,60.44
(주)에스에이엠티,31330,  도매 및 상품 중개업,95.66,95.89,95.6,95,95.09,94.94,95.64,95.45,95.79
(주)에스에이티,60540,"  의료, 정밀, 광학기기 및 시계 제조업",83.06,61.81,69.33,71.84,69.38,77.84,79.5,57.92,55.35
(주)에스에프에이,56190,  기타 기계 및 장비 제조업,81.02,73.53,74.26,80.57,80.24,81.12,81.24,74.35,72.86
(주)에스에프에이반도체,36540,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",91.18,94.83,95.87,85.6,95.93,97,90.73,88.76,92.71
(주)에스엘바이오닉스,214310,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,79.59,77.35,78.61,86.39,86.02
(주)에스엠라이프디자인그룹,63440,  인쇄 및 기록매체 복제업,64.23,76.93,74.75,71.43,79.56,69.36,78.33,76.13,84.69
(주)에스엠벡셀,10580,  자동차 및 트레일러 제조업,100.25,104.02,99.89,98.5,97.43,102.5,100.73,93.47,98.41
(주)에스엠엔터테인먼트,41510,  인쇄 및 기록매체 복제업,66.47,59.3,62.88,66.06,64.89,67.14,61.4,61.17,63.61
(주)에스엠컬처앤콘텐츠,48550,  사업지원 서비스업,0,33.35,74.23,86.82,85.74,83.86,104.95,75.69,66.03
(주)에스엠코어,7820,  기타 기계 및 장비 제조업,82.07,86.13,88.83,87.95,91.56,117.49,94.08,92.94,91.5
(주)에스원,12750,"  기타 전문, 과학 및 기술 서비스업",61.98,64.16,65.81,69.55,69.97,69.71,70.55,72.7,74.37
(주)에스제이그룹,306040,"  가죽, 가방 및 신발 제조업",0,0,0,0,0,0,0,0,25.11
(주)에스제이엠,123700,  자동차 및 트레일러 제조업,85.71,90.61,90.48,94.4,91.9,90.44,90.05,97.02,91.44
(주)에스제이엠홀딩스,25530,  전문 서비스업,0,0,0,0,0,25.03,12.57,14.55,0
(주)에스지글로벌,1380,  섬유제품 제조업; 의복제외,91.88,98.43,90.83,91.7,91.66,89.64,93.94,90.96,88.43
(주)에스지세계물산,4060,  도매 및 상품 중개업,72.08,69.56,70.6,72.99,71.37,71.9,67.61,70.08,71.52
(주)에스지엔지,40610,  육상운송 및 파이프라인 운송업,81.61,78.72,84.88,85.2,86.85,83.86,85.97,90.41,88.96
(주)에스코넥,96630,  기타 기계 및 장비 제조업,84.51,87.6,88.16,87.16,87.36,85.87,85.22,88.95,97.58
(주)에스텍파마,41910,  의료용 물질 및 의약품 제조업,69.08,65.71,69.12,80.36,81.35,73.12,71.03,75.6,72.04
(주)에스티아이,39440,  기타 기계 및 장비 제조업,87.75,81.93,84.98,85.8,83.08,83.38,83.12,83.55,82.94
(주)에스티오,98660,"  의복, 의복 액세서리 및 모피제품 제조업",33.44,34.69,40.41,41.15,40.13,41.8,44.13,44.4,40.21
(주)에스티큐브,52020,  화학물질 및 화학제품 제조업; 의약품 제외,95.02,71.01,83.5,88.51,98.39,38.46,102.43,97.08,54.99
(주)에스폴리텍,50760,  고무 및 플라스틱제품 제조업,87.64,82.27,84.25,87.09,86.63,86.64,88.39,87.93,79.7
(주)에스피시스템스,317830,  기타 기계 및 장비 제조업,0,0,0,0,0,0,0,0,79.94
(주)에스피씨삼립,5610,  식료품 제조업,72.64,73.57,76.89,78.97,76.02,74.92,73.62,75.86,76.17
(주)에스피지,58610,  전기장비 제조업,83.52,83.95,85.3,85.14,85.35,84.77,87.03,87.94,88.83
(주)에쎈테크,43340,  기타 기계 및 장비 제조업,96.01,90.98,92.73,91.14,90.72,89.13,91.36,88.23,92.73
(주)에이디칩스,54630,  도매 및 상품 중개업,71.18,73.59,73.16,76.7,72.44,77.25,77.63,98.82,90.59
(주)에이디테크놀로지,200710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,77.16,80.29,97.61,88.76,83.67,92.08
(주)에이루트,96690,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",74.91,77.81,73.84,76.5,73.78,73.33,72.79,84.45,79.04
(주)에이블씨엔씨,78520,  화학물질 및 화학제품 제조업; 의약품 제외,30.65,30.52,33.61,33.05,35.94,38.42,40.07,41.48,41.55
(주)에이비프로바이오,195990,  기타 기계 및 장비 제조업,0,0,0,0,72.02,73.32,112.89,109.64,239.1
(주)에이스침대,3800,  가구 제조업,50.57,49.96,51.28,50.11,45.51,44.09,44.04,42.47,38.61
(주)에이스테크놀로지,88800,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",88.86,89.54,77.76,78.63,79.39,82.67,85.2,81.97,77.92
(주)에이스토리,241840,  영상ㆍ오디오 기록물 제작 및 배급업,0,0,0,0,0,0,0,0,91.02
(주)에이엔피,15260,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",99.65,89.21,91.97,91.78,94.79,94.24,99.9,101.47,100.37
(주)에이치비테크놀러지,78150,  기타 기계 및 장비 제조업,69.18,72.36,79.1,85.92,81.29,78.06,74.06,90.88,92.3
(주)에이치시티,72990,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,0,0,0,54.45,64.18,59.27,58.83
