회사명,거래소코드,회계년도,산업코드,산업명
(주)골프존,215000,2015/12,105802,  출판업
(주)골프존,215000,2016/12,105802,  출판업
(주)골프존,215000,2017/12,105802,  출판업
(주)골프존,215000,2018/12,105802,  출판업
(주)골프존,215000,2019/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2011/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2012/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2013/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2014/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2015/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2016/12,105802,  출판업
(주)골프존뉴딘홀딩스,121440,2017/12,137105,  전문 서비스업
(주)골프존뉴딘홀딩스,121440,2018/12,137105,  전문 서비스업
(주)골프존뉴딘홀딩스,121440,2019/12,074601,  도매 및 상품 중개업
(주)광림,014200,2011/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2012/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2013/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2014/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2015/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2016/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2017/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2018/12,033001,  자동차 및 트레일러 제조업
(주)광림,014200,2019/12,033001,  자동차 및 트레일러 제조업
(주)광명전기,017040,2011/12,032801,  전기장비 제조업
(주)광명전기,017040,2012/12,032801,  전기장비 제조업
(주)광명전기,017040,2013/12,032801,  전기장비 제조업
(주)광명전기,017040,2014/12,032801,  전기장비 제조업
(주)광명전기,017040,2015/12,032801,  전기장비 제조업
(주)광명전기,017040,2016/12,032801,  전기장비 제조업
(주)광명전기,017040,2017/12,032801,  전기장비 제조업
(주)광명전기,017040,2018/12,032801,  전기장비 제조업
(주)광명전기,017040,2019/12,032801,  전기장비 제조업
(주)광무,029480,2011/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2012/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2013/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2014/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2015/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2016/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2017/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2018/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2019/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광주신세계,037710,2011/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2012/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2013/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2014/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2015/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2016/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2017/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2018/12,074701,  소매업; 자동차 제외
(주)광주신세계,037710,2019/12,074701,  소매업; 자동차 제외
(주)구영테크,053270,2011/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2012/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2013/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2014/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2015/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2016/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2017/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2018/12,033003,  자동차 및 트레일러 제조업
(주)구영테크,053270,2019/12,033003,  자동차 및 트레일러 제조업
(주)국동,005320,2011/12,074604,  도매 및 상품 중개업
(주)국동,005320,2012/12,074604,  도매 및 상품 중개업
(주)국동,005320,2013/12,074604,  도매 및 상품 중개업
(주)국동,005320,2014/12,074604,  도매 및 상품 중개업
(주)국동,005320,2015/12,074604,  도매 및 상품 중개업
(주)국동,005320,2016/12,074604,  도매 및 상품 중개업
(주)국동,005320,2017/12,074604,  도매 및 상품 중개업
(주)국동,005320,2018/12,074604,  도매 및 상품 중개업
(주)국동,005320,2019/12,074604,  도매 및 상품 중개업
(주)국보,001140,2011/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2012/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2013/12,084903,  육상운송 및 파이프라인 운송업
