회사명,거래소코드,회계년도,,,
(주)듀오백,73190,16-Dec,,,
(주)듀오백,73190,17-Dec,,,
(주)듀오백,73190,18-Dec,,,
(주)듀오백,73190,19-Dec,,,
(주)드래곤플라이,30350,11-Dec,,,
(주)드래곤플라이,30350,12-Dec,,,
(주)드래곤플라이,30350,13-Dec,,,
(주)드래곤플라이,30350,14-Dec,,,
(주)드래곤플라이,30350,15-Dec,,,
(주)드래곤플라이,30350,16-Dec,,,
(주)드래곤플라이,30350,17-Dec,,,
(주)드래곤플라이,30350,18-Dec,,,
(주)드래곤플라이,30350,19-Dec,,,
(주)드림시큐리티,203650,14-Dec,,,
(주)드림시큐리티,203650,15-Dec,,,
(주)드림시큐리티,203650,16-Dec,,,
(주)드림시큐리티,203650,17-Dec,,,
(주)드림시큐리티,203650,18-Dec,,,
(주)드림시큐리티,203650,19-Dec,,,
(주)드림어스컴퍼니,60570,11-Dec,,,
(주)드림어스컴퍼니,60570,12-Dec,,,
(주)드림어스컴퍼니,60570,13-Dec,,,
(주)드림어스컴퍼니,60570,14-Dec,,,
(주)드림어스컴퍼니,60570,15-Dec,,,
(주)드림어스컴퍼니,60570,16-Dec,,,
(주)드림어스컴퍼니,60570,17-Dec,,,
(주)드림어스컴퍼니,60570,18-Dec,,,
(주)드림어스컴퍼니,60570,19-Dec,,,
(주)디딤,217620,15-Dec,,,
(주)디딤,217620,16-Dec,,,
(주)디딤,217620,17-Dec,,,
(주)디딤,217620,18-Dec,,,
(주)디딤,217620,19-Dec,,,
(주)디아이,3160,11-Dec,,,
(주)디아이,3160,12-Dec,,,
(주)디아이,3160,13-Dec,,,
(주)디아이,3160,14-Dec,,,
(주)디아이,3160,15-Dec,,,
(주)디아이,3160,16-Dec,,,
(주)디아이,3160,17-Dec,,,
(주)디아이,3160,18-Dec,,,
(주)디아이,3160,19-Dec,,,
(주)디에스앤엘,141020,13-Dec,,,
(주)디에스앤엘,141020,14-Dec,,,
(주)디에스앤엘,141020,15-Dec,,,
(주)디에스앤엘,141020,16-Dec,,,
(주)디에스앤엘,141020,17-Dec,,,
(주)디에스앤엘,141020,18-Dec,,,
(주)디에스앤엘,141020,19-Dec,,,
(주)디엔에이링크,127120,11-Dec,,,
(주)디엔에이링크,127120,12-Dec,,,
(주)디엔에이링크,127120,13-Dec,,,
(주)디엔에이링크,127120,14-Dec,,,
(주)디엔에이링크,127120,15-Dec,,,
(주)디엔에이링크,127120,16-Dec,,,
(주)디엔에이링크,127120,17-Dec,,,
(주)디엔에이링크,127120,18-Dec,,,
(주)디엔에이링크,127120,19-Dec,,,
(주)디엔에프,92070,11-Dec,,,
(주)디엔에프,92070,12-Dec,,,
(주)디엔에프,92070,13-Dec,,,
(주)디엔에프,92070,14-Dec,,,
(주)디엔에프,92070,15-Dec,,,
(주)디엔에프,92070,16-Dec,,,
(주)디엔에프,92070,17-Dec,,,
(주)디엔에프,92070,18-Dec,,,
(주)디엔에프,92070,19-Dec,,,
(주)디엠에스,68790,11-Dec,,,
(주)디엠에스,68790,12-Dec,,,
(주)디엠에스,68790,13-Dec,,,
(주)디엠에스,68790,14-Dec,,,
(주)디엠에스,68790,15-Dec,,,
(주)디엠에스,68790,16-Dec,,,
(주)디엠에스,68790,17-Dec,,,
(주)디엠에스,68790,18-Dec,,,
(주)디엠에스,68790,19-Dec,,,
(주)디오,39840,11-Dec,,,
(주)디오,39840,12-Dec,,,
(주)디오,39840,13-Dec,,,
(주)디오,39840,14-Dec,,,
(주)디오,39840,15-Dec,,,
(주)디오,39840,16-Dec,,,
(주)디오,39840,17-Dec,,,
(주)디오,39840,18-Dec,,,
