회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율.1,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,노동소득분배율,설비투자효율,총자본투자효율,기계투자효율,부가가치율,종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원),통계청 한국표준산업분류 10차(소분류)
(주)효성,4800,11-Dec,1.30710957,3391.13,3485.82,2751.16,3003.39,946.18,-496.35,9.74,-0.83,-1.54,2.23,2.55,-0.72,3.73,6.29,5.01,2.48,7.52,3.73,1.14,2.22,80.29,51.48,8.26,360.19,55.51,-2.05,-1.93,-2.9,21.73,255.44,24.08,37.56,157.91,53.65,215.26,78.27,21.73,35.88,0,-9.22,592198.58,680245.73,1789228.99,0,29.89,0.1,0.26,0.12,-2.21,1.29,,119412849,  기타 금융업
(주)후성,93370,11-Dec,4.857010016,-95.28,-80.54,-93.09,-92.26,-95.28,-90.23,24.08,6.05,12.2,9.21,10.48,5.31,2.01,5.37,5.86,1.49,9.1,2.01,1.56,2.82,88.35,45.08,3.9,140.7,45.04,10.66,7.92,13.84,41.55,108.4,15.02,29.43,145.07,45.44,80.18,58.45,41.55,48.97,0,-3.88,536211.27,522376.91,1040675.71,0,39.31,0.2,0.4,0.26,16.08,1.22,0,2903597,  기초 화학물질 제조업
(주)휠라홀딩스,81660,11-Dec,8.341534932,58.71,-87.6,147.33,212.67,22.91,228.83,50.48,0.09,0.7,14.03,13.95,0.09,2.49,3.17,7.35,18.36,17,2.49,1.69,2.63,133.72,79.69,19.93,181.12,40.6,6.58,4.66,10.45,35.57,114.13,23.02,38.63,271.59,36.94,81.21,64.43,35.57,40.41,160.23,9.74,151862.44,0,2966120.34,0,186.2,0.1,166.08,0.1,6.39,0,0,0,  생활용품 도매업
(주)휴니드테크놀러지스,5870,11-Dec,0.15504898,-100,-100,-100,-100,-100,519.56,18.31,-6.29,-4.2,0.14,0.41,-2.15,0.67,2.14,6.35,0.64,7.62,0.67,0.7,,137.66,85.25,27.08,92.62,34.99,-2.94,-4.01,-4.04,51.92,67.4,21.66,34.98,110.12,46.83,48.95,48.08,51.92,38.07,139.16,9.57,338242.33,62796.32,615747.05,0,21.98,0.12,1.18,0.34,-27.33,0.37,567533,176119,  통신 및 방송 장비 제조업
(주)휴맥스,115160,11-Dec,0.509945227,173.26,-22.75,206.49,22.22,255.63,213.52,22.65,3.5,9.11,5.48,4.24,4.54,2.6,4.63,3.93,14.14,7.12,2.6,2.58,1.66,173.68,126.83,20.63,93.87,16.24,10.82,4.04,32.25,51.58,31.49,58.87,80.62,182.38,0,89.99,48.42,51.58,26.97,63.58,34.2,107916.22,1359.65,1198073.02,0,274.01,0.25,217.48,0.19,7.2,5.99,0,51980306,  영상 및 음향기기 제조업
(주)휴맥스홀딩스,28080,11-Dec,35.41467795,-77.17,-99.52,-97.68,-100,-46.9,-48.9,95.39,54.92,5.15,5.63,70.59,4.38,0.08,,2.58,26.21,,0.08,1.36,0.74,1135.21,1135.21,401.4,4.71,3.5,-59.59,-33.21,-76.5,95.5,3.67,5.48,5.48,0,0,0.51,4.5,95.5,0,0,4.99,47454.08,7852.92,19450246.75,0,2679.54,0.07,161.92,0.81,140,0,,0,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업"
(주)휴먼엔,32860,11-Dec,1.960892889,-100,-100,-100,,-100,90.51,18.36,0.96,8.95,7.17,4.39,1.57,9.33,4.08,10.27,6.36,6.25,9.33,1.98,,95.39,34.71,1.3,376.52,47.13,-4.51,-2.51,-7.56,20.99,224.59,20.71,56.91,51.07,60.42,284.31,79.01,20.99,63.61,0,-2.75,148632.17,34145.39,813478.08,0,74.42,0.14,3.24,0.1,31.19,0,,0,"  해체, 선별 및 원료 재생업"
(주)휴비스,79980,12-Dec,10.41105661,496.34,542.66,729.55,1441.94,195.49,333.81,9.47,3.37,17.34,7.25,3.76,6.5,,,,,,,,,102.73,67.9,21.71,130.16,16.72,19.07,5.7,64.49,43.45,38.49,37.09,56.11,61.15,98.59,125.71,56.55,43.45,33.91,1274.46,1.49,365131.75,588887.59,912110.83,0,48.3,0.19,0.3,0.1,0.78,0.44,0,5601524,  화학섬유 제조업
(주)휴센텍,215090,15-Dec,11111111.11,-100,-100,-100,-100,-100,33.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)휴스틸,5010,11-Dec,11.41010729,2324.27,5844.76,2014.36,1436.67,2326.21,218.97,14.28,6.23,9.74,8.08,7.19,7.01,1.56,4.81,6.36,2.89,12.3,1.56,4,2.56,171.05,97.95,12.1,40.52,16.59,18.42,5.01,32.01,71.16,23.32,25.07,43.78,183.1,86.53,35.97,28.84,71.16,42.73,102.88,18.19,335305.47,236996.2,972670.81,0,45.6,0.16,0.65,0.15,3.56,0,0,0,  1차 철강 제조업
(주)휴엠앤씨,263920,17-Dec,15.0629901,-100,-100,-100,-100,-100,,15.85,2.53,3.12,3.87,3.89,2.51,,,,,,,,,339.77,294.99,20.37,24.14,12.4,-57.91,-11.32,-90.84,80.55,15.39,44.39,51.12,702.86,64.51,18.68,19.45,80.55,13.18,18.68,36.08,20242.87,7137.02,158569.99,0,147.18,0.19,4.17,0.19,0,0.44,0,120084,  그 외 기타 제품 제조업
(주)희림종합건축사사무소,37440,11-Dec,-0.801619653,-100,-100,-100,-100,-100,109.51,11.34,-2.65,-5.9,-1.75,-1.48,-3.14,2.22,,1.56,16.77,11.39,2.22,2.53,,267.38,267.38,7.01,108.83,22.3,-9.55,-4.3,-22.32,47.89,46.56,83.75,83.75,658.6,7.69,65.41,52.11,47.89,0,0,52.43,8503.66,1573.73,128962.41,0,746.18,0.49,40.32,0.43,-12.48,3.24,0,4374974,"  건축기술, 엔지니어링 및 관련 기술 서비스업"
(주)힘스,238490,17-Dec,39.32005848,-100,-100,-100,,-100,211.11,32.38,13.25,32.53,25.84,17.09,20.04,,,,,,,,,232.32,189.36,106.92,38.83,14.67,41.1,9.11,78.39,72.03,20.36,42.74,52.44,172.18,81.18,31.34,27.97,72.03,18.49,32.47,29.87,152897.09,10500.99,362293.88,0,93.66,0.4,13.64,0.31,0,2.67,72674,2439827,  특수 목적용 기계 제조업
AJ네트웍스(주),95570,15-Dec,1.843628169,606.58,883.77,89.07,-62.25,331.66,160.92,0,2.75,8.87,4.7,7.03,1.83,,,,,,,,,30.94,27.62,10.38,333.45,67.11,-7.03,-8.83,-8.06,23.07,290.89,13.08,14.65,134.28,59.19,205.3,76.93,23.07,10.72,0,-32.71,6228677.61,47286.53,7950231.33,0,34.18,0.27,45.02,0.44,0,0,,0,  산업용 기계 및 장비 임대업
KD(주),44180,11-Dec,0.151290357,-47.14,-85.73,-46.47,-92.75,-76.88,-240.21,12.85,-23.61,-32.79,2.07,2.72,-17.92,2.1,39.47,2.5,6.12,5.47,2.1,1.19,1.51,88.73,84.61,16.46,220.96,19.47,1.66,1.37,5.87,31.16,62.48,45.48,47.7,43.02,62.33,172.54,68.84,31.16,4.64,0,-6.06,203830.04,216470.73,1551933.53,0,-106.84,-0.14,-1.01,-0.17,8.89,0,,0,  건물 건설업
KG스틸(주),16380,11-Dec,0.104572817,3740.47,18657.58,3635.51,2806.54,4448.08,-2444.51,5.6,-5.09,-13.5,0.44,0.55,-4.1,2.65,6.16,6.94,1.16,3.81,2.65,1.16,3.07,63.67,35.55,2.02,256.56,45.89,-0.14,-0.13,-0.22,28.05,163.62,15.02,26.91,59.97,42.55,150.68,71.95,28.05,44.17,0,-15.35,1868202.02,1528796.82,2935494.74,0,8.66,0.06,0.11,0.07,-5.73,0.05,1541000,1765000,  1차 철강 제조업
LG이노텍(주),11070,11-Dec,-0.423031691,183.18,468.28,58.56,188.67,-0.2,-331.16,8.54,-3.19,-10.4,-1.57,-1.47,-3.41,3.26,11.25,5.62,1.96,9.89,3.26,1.59,2.82,117.78,92.28,29.56,232.87,50.9,5.39,3.65,7.41,30.04,169.44,30.84,39.36,165.21,30.9,111.25,69.96,30.04,21.65,143.4,5.94,289513.96,304059.68,565597.88,0,35.82,0.18,0.34,0.18,0.78,5.23,31177000,225437233,  전자부품 제조업
OCI(주),10060,11-Dec,15.29665975,183.87,768.11,19.13,124.6,173,739.2,34.57,20.22,28.78,17.41,26.05,13.51,1.42,7.6,9.09,1,28.65,1.42,1.26,2.51,136.71,106.36,26.86,93.68,18.97,34.36,28,87.6,51.63,36.74,21.44,27.56,330.74,37.01,39.04,48.37,51.63,22.2,82.68,7.4,1691498.48,1657290.86,2535191.11,0,39.42,0.26,0.4,0.44,9.56,0.65,497000,22155550,  기초 화학물질 제조업
SK이노베이션(주),96770,11-Dec,7.623922297,628.03,457.18,820.4,725.52,452.24,,7.05,4.65,24.35,8.82,4.16,9.86,5.18,9.52,12.91,6.15,12.1,5.18,3.59,3.86,139.02,86.72,30.62,136.16,25.28,7.51,2.22,17.13,42.34,59.69,35.42,56.78,84.57,43.86,96.45,57.66,42.34,37.62,134.05,15.93,6308288.44,3338046.28,21331839.74,0,62.11,0.18,1.17,0.09,-69.91,6.6,0,100771000,  석유 정제품 제조업
SNT중공업(주),3570,11-Dec,48.42044445,13.8,48.52,-13.24,-5.52,4.7,1430.33,15.11,7.61,8.41,7.23,10.17,5.41,1.06,5.42,4.35,1.5,5.42,1.06,2.14,1.6,183.84,142.22,45,53.44,2.82,14.26,7.89,176.33,65.17,4.32,35.53,45.93,115.67,98.12,38.33,34.83,65.17,22.64,49.63,20.94,501096.99,58077.69,1060352.48,0,29.75,0.14,2.57,0.22,-4.21,0.27,7220095,1679320,  자동차 신품 부품 제조업
ST엔진(주),77970,11-Dec,2.492438285,317.65,280.35,333.44,580.32,65.88,350.2,13.81,3.59,10.63,5.47,8.35,2.35,2.33,3.39,2.86,1.64,7.29,2.33,0.91,1.28,92.58,61.51,7.51,243.28,41.98,-4.89,-5.83,-8.26,29.13,144.1,33.71,50.74,256.23,71.89,188.13,70.87,29.13,33.56,0,-4.06,1295064.91,615323.02,3395162.29,0,24.5,0.09,0.52,0.16,-2.91,0.42,0,5466736,  일반 목적용 기계 제조업
ST중공업(주),71970,11-Dec,1.349278875,37.31,56.19,53.06,12.57,53.77,-63.93,5.78,0.65,2.04,3.27,3.17,0.67,3.14,4.54,3.21,2.66,5.62,3.14,1.53,1.77,97.64,65.42,3.37,211.5,41.48,-0.64,-0.44,-1.05,32.1,129.2,39.58,59.07,168.71,90.36,188.46,67.9,32.1,33,0,-1.43,665208.13,352137.42,1774498.19,0,21.47,0.08,0.41,0.08,6.13,0.1,-924000,1070884,  일반 목적용 기계 제조업
가온미디어(주),78890,11-Dec,-3.285425331,-75.17,-93.29,-64.97,-63.15,-61.79,,17.04,-7.05,-15.77,-5.94,-5.31,-7.89,2.33,3.51,5.61,8.61,15.1,2.33,2.15,1.55,143.87,89.8,30.46,123.68,39.86,-14.3,-6.91,-19.84,44.71,89.17,43.54,69.75,294.49,87.75,108.45,55.29,44.71,37.58,123.26,21.27,80054.14,5955.57,617351.53,0,56.52,0.07,7.6,0.06,-16.67,7.43,0,9148920,  통신 및 방송 장비 제조업
