회사명,거래소코드,회계년도,차입금비율(IFRS),차입금비율(IFRS연결),당좌자산구성비율(IFRS),당좌자산구성비율(IFRS연결),유동자산구성비율(IFRS),유동자산구성비율(IFRS연결),매출채권 대 매입채무비율(IFRS),매출채권 대 매입채무비율(IFRS연결),단기차입금 대 총차입금비율(IFRS),단기차입금 대 총차입금비율(IFRS연결),유동부채비율(IFRS),유동부채비율(IFRS연결),타인자본구성비율(IFRS),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS),재고자산 대 유동자산비율(IFRS연결),재고자산 대 순운전자본비율(IFRS),재고자산 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS),순운전자본비율(IFRS연결)
영보화학(주),14440,Dec-13,35.66,40.54,30.11,33.95,36.43,41.29,223.89,223.01,92.59,86.79,61.4,67.33,39.02,42.21,60.98,57.79,17.36,17.79,0,308.3,-1.01,2.38
영보화학(주),14440,Dec-14,40.24,44.46,31,38.11,35.8,44.89,281.04,233.78,88.83,78.83,57.3,64.85,38.35,42.92,61.65,57.08,13.4,15.1,1004.48,86.06,0.48,7.87
영보화학(주),14440,Dec-15,29.9,33.28,30.2,39,34.65,45.87,270.41,213.27,99.67,86.22,50.39,57.84,33.71,38.77,66.29,61.23,12.83,14.97,358.35,65.68,1.24,10.45
영보화학(주),14440,Dec-16,22.78,25.08,31.2,43.71,35.16,49.99,216.27,178.29,0,92.52,44.13,55.73,30.79,37.09,69.21,62.91,11.27,12.56,85.77,42.06,4.62,14.93
영보화학(주),14440,Dec-17,0,3.29,36.71,42.75,41.12,49.12,192.28,202.95,0,46.24,21.28,24.9,17.55,21.05,82.45,78.95,10.74,12.96,18.74,21.61,23.58,29.46
영보화학(주),14440,Dec-18,0,3.17,23.64,35.33,29.1,41.96,177.88,195.05,0,0,15.21,22.47,13.3,18.49,86.7,81.51,18.75,15.79,34.3,28.01,15.91,23.64
영보화학(주),14440,Dec-19,0.05,8.49,26.68,34.75,31.44,42.19,188.21,238.07,0,99.57,13.02,22.87,11.67,18.85,88.33,81.15,15.12,17.63,23.85,31.49,19.94,23.63
영신금속공업(주),7530,Dec-11,111.08,,20.28,,32.31,,71.9,,45.75,,132.92,,68.8,,31.2,,37.23,,0,,-9.16,
영신금속공업(주),7530,Dec-12,143.4,,21.26,,32.05,,89.18,,56.83,,150.03,,70.52,,29.48,,33.68,,0,,-12.18,
영신금속공업(주),7530,Dec-13,132.77,136.95,18.65,18.73,30.38,30.42,106.34,106.14,68.76,67.09,144.64,145.58,67.83,68.28,32.17,31.72,38.61,38.42,0,0,-16.15,-15.75
영신금속공업(주),7530,Dec-14,129.83,147.9,18.06,20.45,29.39,31.27,126.03,125.95,64.62,68.62,129,146.95,66.92,68.84,33.08,31.16,38.56,34.61,0,0,-13.29,-14.51
영신금속공업(주),7530,Dec-15,133.3,167.78,18.47,20.23,29.25,30.25,131.74,132.01,64.84,52.95,134.97,139.03,67.66,71.05,32.34,28.95,36.86,33.11,0,0,-14.39,-10
영신금속공업(주),7530,Dec-16,149.24,199.23,17.09,17.1,27.48,28.83,143.5,134.52,74.24,61.17,154.89,173.64,69.09,73.89,30.91,26.11,37.82,40.69,0,0,-20.4,-16.5
영신금속공업(주),7530,Dec-17,341.68,378.54,17.26,16.91,27.85,29.08,153.63,114.76,77.14,68.95,337.63,355.4,82.05,83.67,17.95,16.33,38.03,41.87,0,0,-32.76,-28.96
영신금속공업(주),7530,Dec-18,186.33,191.8,24.3,22.07,34.62,33.86,106.57,103.86,70.54,64.51,194.85,183.57,72.76,72.77,27.24,27.23,29.82,34.83,0,0,-18.46,-16.13
영신금속공업(주),7530,Dec-19,144.97,152.33,22.51,21.69,34.31,34.25,115.85,105.13,88.33,82.29,178.31,176.61,67.75,68.5,32.25,31.5,34.39,36.68,0,0,-23.21,-21.37
영진약품(주),3520,Dec-11,30.97,,28.1,,44.21,,336.91,,67.54,,41.76,,43.04,,56.96,,36.43,,78.86,,20.42,
영진약품(주),3520,Dec-12,27.36,,28.06,,46.14,,357.45,,61.37,,42.14,,43.77,,56.23,,39.19,,80.57,,22.44,
영진약품(주),3520,Dec-13,19.86,,29.93,,49.34,,380.91,,84.78,,38.46,,39.5,,60.5,,39.35,,74.46,,26.08,
영진약품(주),3520,Dec-14,18.74,,28.78,,46.04,,365.28,,69.67,,42.61,,43.68,,56.32,,37.5,,78.32,,22.04,
영진약품(주),3520,Dec-15,26.82,,31.34,,48.43,,343.52,,48.85,,42.04,,48.15,,51.85,,35.29,,64.18,,26.63,
영진약품(주),3520,Dec-16,21.26,,39.43,,61.56,,319.03,,44.81,,40.42,,46.74,,53.26,,35.95,,55.28,,40.04,
