회사명,거래소코드,회계년도,유동비율(IFRS),유동비율(IFRS연결),당좌비율(IFRS),당좌비율(IFRS연결),현금비율(IFRS),현금비율(IFRS연결),부채비율(IFRS),부채비율(IFRS연결),차입금의존도(IFRS),차입금의존도(IFRS연결),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 차입금비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결)
(주)셀트리온헬스케어,91990,19-Dec,278.24,248.93,139.41,97.35,22,27.73,59.61,71.01,0.01,4.08,-15.08,-14.71,-13.5,-15.81,-46117.99,-149.56,62.65,58.47
(주)셀피글로벌,68940,11-Dec,284.19,,199.67,,87.77,,45.79,,18.34,,57.38,,16.18,,98.28,,68.59,
(주)셀피글로벌,68940,12-Dec,357.56,,238.79,,107.38,,33.96,,12.64,,56.89,,12.46,,114.14,,74.65,
(주)셀피글로벌,68940,13-Dec,362.09,,279.33,,67.88,,33.32,,14.68,,27.62,,8.32,,47.03,,75.01,
(주)셀피글로벌,68940,14-Dec,327.3,,224.28,,44.86,,37.24,,15.84,,3.3,,1.37,,5.65,,72.86,
(주)셀피글로벌,68940,15-Dec,306.43,314.56,243.48,252.24,10.3,21.67,35.79,36.08,17.05,17.01,-18.24,-27.57,-6.32,-9.63,-28.2,-42.97,73.64,73.49
(주)셀피글로벌,68940,16-Dec,305.76,307.91,255.95,258.45,87.9,91.58,47,47.25,24.42,24.37,-3.37,-5.46,-1.81,-2.95,-4.41,-7.18,68.03,67.91
(주)셀피글로벌,68940,17-Dec,174.66,206.18,110.5,142.02,16.99,48.6,72.82,72.82,33.96,33.96,-1.14,-6.24,-0.53,-2.88,-1.41,-7.75,57.86,57.86
(주)셀피글로벌,68940,18-Dec,147.19,159.96,99.56,112.25,18.42,30.46,97.01,96.87,38.63,38.66,-7.87,-12.99,-4.44,-7.29,-10.03,-16.54,50.76,50.8
(주)셀피글로벌,68940,19-Dec,162.88,168.89,125.86,131.57,10.03,17.18,142.08,142.57,48.57,48.47,1.53,-0.66,1.31,-0.56,1.85,-0.8,41.31,41.23
(주)소프트센,32680,11-Sep,128.05,,127.58,,52.02,,38.91,,13.47,,-49.64,,-42.43,,-103.24,,71.99,
(주)소프트센,32680,12-Sep,168.81,,156.42,,3.24,,73.93,,0,,-35.03,,-22.05,,0,,57.49,
(주)소프트센,32680,13-Dec,133.76,,100.49,,6.66,,172.04,,24.2,,-7.61,,-7.7,,-19.9,,36.76,
(주)소프트센,32680,14-Dec,161.59,161.71,148.6,148.72,40.24,40.36,113.27,113.27,5.43,5.43,-2.61,0.23,-1.15,0.1,-25.54,2.24,46.89,46.89
(주)소프트센,32680,15-Dec,247.75,,215.51,,49.71,,45.3,,0,,-14.88,,-2.85,,0,,68.82,
(주)소프트센,32680,16-Dec,150.18,,133.35,,13.11,,107.45,,16.07,,-23,,-6.78,,-74.13,,48.2,
(주)소프트센,32680,17-Dec,191.55,,173.07,,60.26,,134.42,,18.37,,3.21,,1.04,,10.02,,42.66,
(주)소프트센,32680,18-Dec,152.52,,126.07,,8.52,,125.84,,26.59,,-3.08,,-1.05,,-6.45,,44.28,
(주)소프트센,32680,19-Dec,210.56,,202.28,,152.27,,80.47,,0.29,,36.85,,10.27,,5754.67,,55.41,
(주)손오공,66910,11-Dec,140.39,137.07,85.53,82.94,16.8,17.1,150.42,158.41,44.94,45.46,7.39,6.38,5.19,4.41,9.88,8.61,39.93,38.7
(주)손오공,66910,12-Dec,102.92,113.9,54.09,66.72,5.89,10.77,130.84,119.09,41.63,38.9,12.75,20.01,6.87,9.59,17.36,27.96,43.32,45.64
(주)손오공,66910,13-Dec,140.17,149.7,78.36,94.14,6.23,14.2,150.15,192.96,27.74,43.34,13.91,20.69,7.53,15.27,30.09,31.45,39.98,34.13
(주)손오공,66910,14-Dec,147.93,142.88,77.68,77.94,6.96,10.08,109.85,167.16,23.38,42.42,-10.71,4.55,-4.61,2.91,-23.99,6.71,47.65,37.43
(주)손오공,66910,15-Dec,175.76,159.09,124.52,113.41,21.24,19.58,99.27,135.48,4.97,22.07,11.82,13.69,2.68,4.39,118.45,35.68,50.18,42.47
(주)손오공,66910,16-Dec,161.69,147.86,61.84,55.97,9.12,9.53,141.26,159.44,4.76,15.99,11.15,12.31,3.57,4.77,137.03,47.32,41.45,38.54
(주)손오공,66910,17-Dec,139.62,130.77,69.18,64.53,2.15,4.02,213.98,214.56,3.2,16.48,-4.82,-0.22,-1.56,-0.09,-102.61,-0.92,31.85,31.79
(주)손오공,66910,18-Dec,175.26,168.02,92.52,88.19,4.38,8.42,111.78,129.89,3.51,19.14,-3.2,1.38,-0.6,0.37,-48.22,4.09,47.22,43.5
(주)손오공,66910,19-Dec,169.58,170.33,75.9,77.4,5.48,8.44,117.15,127.93,16.03,25.3,-4.79,-2.84,-1.62,-1.21,-16.1,-6.3,46.05,43.87
(주)솔고바이오메디칼,43100,11-Dec,154.2,147.61,87.36,72.88,14.69,18.02,56.91,80.61,26.29,30.12,1.78,-1.93,1.76,-1.78,2.45,-2.86,63.73,55.37
(주)솔고바이오메디칼,43100,12-Dec,110.02,109.76,58.7,54.86,8.84,10.64,81.1,108.25,33.9,37.72,-0.19,-4.01,-0.18,-3.59,-0.25,-5.53,55.22,48.02
(주)솔고바이오메디칼,43100,13-Dec,114.07,113.76,62.28,59.94,14.16,14.86,103.93,108.65,37.1,36.09,0.33,-1.86,0.33,-1.78,0.45,-2.69,49.04,47.93
(주)솔고바이오메디칼,43100,14-Dec,112.78,113.34,55.82,55.9,12.7,12.71,88.83,91.76,34.06,33.63,5.6,4.93,5.77,4.41,7.73,7.02,52.96,52.15
(주)솔고바이오메디칼,43100,15-Dec,183.27,174.12,88.42,71.84,32.77,31.77,39.26,43.28,21.24,21.14,-7.12,-6,-5.22,-4.33,-9.45,-8.58,71.81,69.8
(주)솔고바이오메디칼,43100,16-Dec,147.95,151.96,59,51.85,14.09,14.1,47.11,51.05,24.69,24.66,-32.23,-31.18,-24.44,-21.85,-41.81,-42.72,67.97,66.2
(주)솔고바이오메디칼,43100,17-Dec,229.94,234.84,124.39,120.29,34.9,32.27,34.94,37.7,19.35,19.99,-40.92,-41.03,-32.7,-31.34,-54.77,-56.19,74.11,72.62
(주)솔고바이오메디칼,43100,18-Dec,258.62,260,193.58,177.29,68.39,65.43,41.5,44.71,21.22,22.13,-32.11,-34.37,-35.98,-35.38,-44.38,-47.99,70.67,69.11
(주)솔고바이오메디칼,43100,19-Dec,193.58,195.04,136.92,126.91,17.48,16.49,66.89,70.19,29.41,29.57,-30.91,-30.8,-38.49,-33.44,-42.13,-42.96,59.92,58.76
(주)솔루에타,154040,13-Dec,343.52,340.63,267.43,263.57,78.28,78.99,37.41,37.61,10.48,10.47,26.95,26.57,6.29,6.22,69.99,69.33,72.78,72.67
(주)솔루에타,154040,14-Dec,444.12,451.31,356.7,360.73,154.56,155.84,17.26,17.05,4.88,4.81,95.63,95.15,12.66,12.55,288.66,288.38,85.28,85.43
(주)솔루에타,154040,15-Dec,451.42,454.97,372.67,373.99,167.57,167.54,17.87,17.74,2.59,2.57,112.46,112.25,21.93,21.78,657.32,658.15,84.84,84.93
(주)솔루에타,154040,16-Dec,327.15,148.05,298.14,129.97,70.98,22.51,62.88,123.4,24.48,28.53,26.83,18.37,24.34,11.96,42.31,35.56,61.39,44.76
(주)솔루에타,154040,17-Dec,244.83,127.52,216.9,112.57,53.56,28.32,49.99,142.23,24.89,27.29,9.02,5.89,7.67,4.48,12.08,12.68,66.67,41.28
(주)솔루에타,154040,18-Dec,120.45,93.44,93.67,50.7,28.85,10.81,55.76,197.28,24.38,27,5.35,0.73,3.62,0.45,7.85,1.79,64.2,33.64
(주)솔루에타,154040,19-Dec,156.06,101.28,137.51,74.46,66.78,18.06,47.99,163.17,22.28,32.64,24.2,4.8,13.23,2.15,35.23,9.11,67.57,38
(주)솔본,35610,11-Dec,3608.78,204.46,3608.78,170.5,937.05,56.56,2.9,44.65,0,10.48,-63.52,-4.64,-60.47,-1.99,0,-13.66,97.18,69.13
(주)솔본,35610,12-Dec,5604.06,220.06,5604.06,183.33,1126.35,62.94,1.38,35.75,0,9.63,-77.44,11.48,-37.99,3.99,0,31.4,98.64,73.67
(주)솔본,35610,13-Dec,14017.32,352.95,14017.32,329.8,9784.08,216.42,1.04,20.58,0,6.81,-42.06,32.64,-16.65,10.37,0,81.84,98.97,82.93
(주)솔본,35610,14-Dec,10875.2,398.78,10875.2,375,7907.29,245.52,1.22,16.04,0,5.28,35.35,32.93,14.48,11.46,0,86.19,98.79,86.17
(주)솔본,35610,15-Dec,11731.07,400.99,11731.07,367.64,5129.37,250.43,1.22,14.29,0,3.65,41.18,17.96,20.15,5.98,0,61.52,98.8,87.5
(주)솔본,35610,16-Dec,13384.48,425.78,13384.48,403.81,5298.99,259.3,1.29,14.13,0,2.83,24.14,17.58,11.53,5.27,0,76.91,98.73,87.62
(주)솔본,35610,17-Dec,8921.44,441.24,8921.44,435.12,2307.52,168.96,1.48,13.44,0,3.31,30.28,11.67,18.13,3.5,0,41.75,98.54,88.16
(주)솔본,35610,18-Dec,792.3,683.83,792.3,677.29,199.76,111.6,2.62,11.06,0,0.58,1.2,23,1.37,5.35,0,394.83,97.45,90.04
(주)솔본,35610,19-Dec,5239.83,497.33,5239.83,489.44,1812.82,116.25,1.6,13.72,0,1.89,-9.43,37.55,-7.05,11.74,0,239.41,98.43,87.94
(주)쇼박스,86980,11-Dec,283.29,313.09,283.29,312.69,61.6,78.85,27.2,27.18,0,0.47,-74.06,-91.89,-44.46,-49.45,0,-4202.79,78.62,78.63
(주)쇼박스,86980,12-Dec,165.55,175.25,165.55,175.25,18.77,22.74,82.55,82.18,1.6,2.21,18.17,15.14,17.54,14.04,514.31,309.5,54.78,54.89
(주)쇼박스,86980,13-Dec,177.2,189.73,177.2,189.73,46.94,57.02,59.68,58.56,0,0,37.32,39.73,21.99,22.7,0,0,62.62,63.07
(주)쇼박스,86980,14-Dec,246.32,264.8,246.32,264.8,45.42,63.6,35.52,35.12,0,0,-45.9,-40.93,-23.62,-21.04,0,0,73.79,74.01
(주)쇼박스,86980,15-Dec,169.6,173.4,169.6,173.4,52.13,57.42,84.83,85.85,0,0,21.02,21.63,14.62,15.18,0,0,54.1,53.81
(주)쇼박스,86980,16-Dec,213.59,217.91,213.59,217.91,140.7,145.56,55.4,56.22,0,0,57.98,57.06,32.03,32.16,0,0,64.35,64.01
(주)쇼박스,86980,17-Dec,252.36,250.39,252.36,250.39,100.22,100.02,45.91,46.32,0,0,-1.8,-2.65,-1.11,-1.66,0,0,68.54,68.34
(주)쇼박스,86980,18-Dec,364.47,357.82,364.47,357.82,29.47,30.42,27.06,27.73,0,0,-61.95,-63.21,-34.4,-36,0,0,78.7,78.29
(주)쇼박스,86980,19-Dec,514.54,519.64,514.54,519.64,27.72,31.68,17.48,17.48,1.18,1.18,-98.16,-105.77,-30.69,-33.07,-1233.37,-1329.35,85.12,85.12
(주)수산아이앤티,50960,16-Dec,2744.17,,2725.84,,112.79,,2.99,,0,,289.73,,35.98,,0,,97.09,
(주)수산아이앤티,50960,17-Dec,3658.36,,3625.41,,91.92,,1.8,,0,,430.39,,33.09,,0,,98.23,
(주)수산아이앤티,50960,18-Dec,1968.8,,1948.17,,25.52,,2.9,,0,,227.33,,29.4,,0,,97.19,
(주)수산아이앤티,50960,19-Dec,1615.86,,1586.47,,52.15,,4.46,,0.14,,156.05,,33.15,,4623.76,,95.73,
(주)수산중공업,17550,11-Dec,153.08,158.89,81.45,82.82,14.81,24.11,58.32,66.17,17.46,21.35,26.76,18.1,8.85,6.7,56.46,33.75,63.16,60.18
(주)수산중공업,17550,12-Dec,169.47,185.95,86.94,99.23,3.73,23.52,49.84,63.4,17.33,23.55,27.08,17.01,8.02,6.28,51.96,28.02,66.74,61.2
(주)수산중공업,17550,13-Dec,155.41,179.78,80.97,82.46,6.51,18.08,55.63,63.58,17.75,22.36,11.97,7.7,4.2,3.03,24.1,13.38,64.26,61.13
(주)수산중공업,17550,14-Dec,176.55,191.57,83.05,94.22,2.8,24.5,41.03,48.92,16.85,21.31,7.81,7.19,2.64,2.74,13.49,11.09,70.91,67.15
(주)수산중공업,17550,15-Dec,252.64,245.98,144.4,140.57,29.9,39.21,25.98,33.74,8.56,13.52,43.64,35.31,10.79,10.43,105.1,65.89,79.38,74.77
(주)수산중공업,17550,16-Dec,351.65,371.18,172.2,186.5,15.8,47.03,15.72,18.99,1.85,3.74,96.81,89.93,17.7,17.55,709.39,383.63,86.42,84.04
(주)수산중공업,17550,17-Dec,345.02,402.63,199.73,228.89,40.08,77.37,18.32,19.54,1.87,2.13,47.01,59.35,8.61,10.51,388.23,455.68,84.52,83.65
(주)수산중공업,17550,18-Dec,170.53,204.65,91.79,88.78,21.36,19.35,82.33,107.03,38.02,35.66,6.74,4.22,6.66,5.28,8.01,6.11,54.84,48.3
(주)수산중공업,17550,19-Dec,97.95,158.3,67.21,74.71,12.12,16.87,69.48,82.51,33.59,32.33,9.9,9.01,9.23,4.73,12.08,12.59,59.01,54.79
(주)수젠텍,253840,19-Dec,205.49,205.89,196.68,197.08,16.16,16.63,86.44,86.76,22.62,22.66,-16.69,-19.01,-91.57,-104.32,-34.21,-38.98,53.64,53.54
(주)슈프리마,236200,16-Dec,1007.22,1006.98,916.96,915.68,549.5,549.88,7.28,7.29,0,0,207.48,206.76,31.67,31.54,0,0,93.22,93.2
(주)슈프리마,236200,17-Dec,1235.98,1226.73,1114.21,1104.33,592.42,589.49,6.18,6.24,0,0,218.69,216.66,28.14,27.91,0,0,94.18,94.13
(주)슈프리마,236200,18-Dec,1305.82,1267.54,1159.41,1124.48,194.99,192,6.46,6.67,0,0,198.17,192.5,26.7,26.43,0,2310798.78,93.93,93.75
(주)슈프리마,236200,19-Dec,789.44,776.07,681.13,664.69,134.05,137.18,8.7,8.92,0.11,0.11,175.06,171.5,29.27,28.91,12735.71,12716.61,91.99,91.81
(주)슈프리마아이디,317770,19-Dec,3406.95,3602.45,3032.88,3243.59,564.24,579.06,3.8,3.79,1.53,1.49,214.99,206.17,26.77,26.05,513.14,506.35,96.34,96.35
(주)슈프리마에이치큐,94840,11-Dec,1035.88,1059.75,867.06,889.87,127.97,166.34,8.02,8.68,1.33,1.69,62.73,52.85,11.96,10.58,350.25,249.38,92.58,92.01
(주)슈프리마에이치큐,94840,12-Dec,1213.43,1097.24,1018.73,916.77,140.77,133.21,6.33,7.32,1.18,1.92,147.64,132.41,20.49,20.57,747.1,470.22,94.05,93.18
(주)슈프리마에이치큐,94840,13-Dec,1117.19,1101.52,934.01,911.48,154.78,181.21,6.6,6.96,0.94,1.13,195.01,188.35,31.42,31.27,1280.25,1081.5,93.81,93.49
(주)슈프리마에이치큐,94840,14-Dec,1049.11,1165.74,888.46,1008.01,303.54,318.92,6.22,6.44,0.69,0.77,216.72,206.86,29.07,27.74,1848.06,1629.88,94.15,93.95
(주)슈프리마에이치큐,94840,15-Dec,671.38,920.72,578.99,828.2,219.41,250.5,7.6,7.73,0.95,0.91,385.47,370.37,91.22,83.68,2873.89,2911.19,92.94,92.83
(주)슈프리마에이치큐,94840,16-Dec,904.85,1285.24,778.55,1174.64,399.47,408.36,5.32,5.82,0,0,197.72,180.6,44.98,38.71,0,0,94.95,94.5
(주)슈프리마에이치큐,94840,17-Dec,1733.73,1345.01,1649.45,1223.12,489.68,323.12,3.68,5.4,0,0,87.92,72.86,21.11,16.87,0,0,96.45,94.87
(주)슈프리마에이치큐,94840,18-Dec,1651.16,1445.46,1589.48,1316.76,221.8,279.54,5.29,6.54,0,0,62.07,79.57,27.45,21.86,0,0,94.97,93.86
(주)슈프리마에이치큐,94840,19-Dec,1049.48,1871.29,1000.18,1747.94,116.67,252.44,6.42,6.53,0.01,0.39,46.94,64.42,26.41,26.34,23155.63,1009.46,93.97,93.87
(주)슈피겐코리아,192440,14-Dec,1097.07,758.72,1040.07,698.62,297.78,200.25,9.56,14.37,0,0.54,178.47,121.78,19.65,15.52,0,2846.4,91.27,87.44
(주)슈피겐코리아,192440,15-Dec,1379.9,1246.01,1342.24,1182.15,248.55,230.94,7.66,8.12,0,0,308.7,273.59,34.78,24.71,0,0,92.89,92.49
(주)슈피겐코리아,192440,16-Dec,1018.96,713.89,960.85,653.28,338.49,238.76,7.54,11.2,0,0,231.22,163.47,24.28,19.78,0,0,92.99,89.92
(주)슈피겐코리아,192440,17-Dec,533.12,499.63,483.93,447.73,199.16,161.78,13.54,16.34,0,2.08,111.21,88.56,17.98,14.24,0,598.1,88.07,85.95
(주)슈피겐코리아,192440,18-Dec,689.25,619.39,623.43,555.67,194.04,169.23,11.04,13.59,0,1.88,129.93,104.09,16.64,13.85,0,661.1,90.05,88.04
(주)슈피겐코리아,192440,19-Dec,612.41,516,527.38,429.52,140.46,143.14,13.76,17.53,2.88,5.69,56.99,68.37,8.94,11.44,239.46,179.33,87.9,85.09
(주)스마트솔루션즈,136510,11-Dec,3213.42,,2669.03,,926,,3.68,,0.13,,59.07,,4.51,,1575.05,,96.45,
(주)스마트솔루션즈,136510,12-Dec,2549.25,,2093.17,,605.27,,3.88,,0.09,,-86.99,,-19.19,,-3587.92,,96.26,
(주)스마트솔루션즈,136510,13-Dec,2088.9,,1692.27,,224.44,,5.13,,0,,40.22,,4.43,,0,,95.12,
(주)스마트솔루션즈,136510,14-Dec,3026.96,3120.95,2618.05,2712.04,574.44,669.04,4.16,4.21,0,0,117.76,162.45,14.32,19.76,0,0,96,95.96
(주)스마트솔루션즈,136510,15-Dec,1681.31,1727.26,1534.78,1580.73,823.41,869.63,5.52,5.66,0,0,177.26,173.9,26.23,25.74,0,0,94.77,94.64
(주)스마트솔루션즈,136510,16-Dec,290.17,294.85,225.33,230.01,90.71,95.15,21.39,21.63,0,0,14.62,10.78,7.38,5.45,0,0,82.38,82.21
(주)스마트솔루션즈,136510,17-Dec,241.56,238.26,204.41,201.12,123.19,123.9,28.19,28.44,14.97,15.08,4.64,1.41,1.71,0.52,6.81,2.07,78.01,77.86
(주)스마트솔루션즈,136510,18-Dec,280.12,285.97,241.44,247.28,144.24,150.12,31.42,31.63,17.93,18.02,1.42,-0.46,0.66,-0.22,1.89,-0.62,76.09,75.97
(주)스마트솔루션즈,136510,19-Dec,161.24,163.38,134.34,136.49,69.26,71.43,44.63,44.63,23.44,23.44,-43.35,-45.27,-29.69,-31.01,-57.06,-59.6,69.14,69.14
(주)스맥,99440,11-Dec,117.8,,65.52,,9.22,,165.53,,30.83,,1.3,,0.76,,2.64,,37.66,
(주)스맥,99440,12-Dec,135.19,,79.35,,15.19,,176.99,,45.11,,-5.94,,-3.75,,-8.42,,36.1,
(주)스맥,99440,13-Dec,143.93,,85.89,,9.29,,179.19,,45.24,,-7.69,,-6.56,,-10.91,,35.82,
(주)스맥,99440,14-Dec,181.54,,118.5,,29.86,,139.94,,37.49,,0.29,,0.23,,0.44,,41.68,
(주)스맥,99440,15-Dec,167.95,,97.05,,7.5,,109.14,,40.35,,-0.19,,-0.14,,-0.24,,47.81,
(주)스맥,99440,16-Dec,192.68,179.57,125.61,115.64,26.31,24.28,131.25,138.26,35.94,37.15,2.11,10.12,2.05,10.32,3.34,15.81,43.24,41.97
(주)스맥,99440,17-Dec,189.96,174.98,109.02,99.84,15.89,16.44,104.66,113,33,34.02,8.05,8.1,4.99,5.45,12.48,12.63,48.86,46.95
(주)스맥,99440,18-Dec,198.37,180.9,123.06,92.23,11.99,13.7,118.67,129.02,36.24,37.69,-3.12,-2.23,-2.43,-2.08,-4.66,-3.34,45.73,43.66
(주)스맥,99440,19-Dec,139.48,128.02,86.94,54.05,5.34,5.74,121.5,132.99,41.72,44.25,-9.26,-9.63,-8.03,-9.03,-12.18,-12.43,45.15,42.92
(주)스카이문스테크놀로지,33790,11-Dec,863.87,,759.6,,279.43,,11.42,,0,,80.02,,9.08,,0,,89.75,
(주)스카이문스테크놀로지,33790,12-Dec,744,,700.38,,117.19,,12.12,,0,,6.42,,1.33,,0,,89.19,
(주)스카이문스테크놀로지,33790,13-Dec,684.08,,647.27,,321.73,,11.54,,0,,-7.8,,-2.2,,0,,89.65,
(주)스카이문스테크놀로지,33790,14-Dec,834.56,,820.37,,225.18,,20.72,,10.28,,1.64,,0.39,,2.74,,82.84,
(주)스카이문스테크놀로지,33790,15-Dec,558.16,,538.48,,102.88,,24.36,,9.92,,40.34,,10.38,,79.67,,80.41,
(주)스카이문스테크놀로지,33790,16-Dec,486.76,,468.81,,56.22,,27.49,,10.53,,28.44,,13.35,,58.25,,78.44,
(주)스카이문스테크놀로지,33790,17-Dec,502.09,513.08,499.53,510.54,276.73,280.72,57.87,58.53,33.76,33.98,-12.38,-22.32,-21.24,-38.37,-13.44,-24.25,63.34,63.08
(주)스카이문스테크놀로지,33790,18-Dec,177.45,171.32,175.28,169.17,80.95,80.25,65.64,72.23,34.91,36.1,-13.41,-19.01,-20.7,-30.21,-15.22,-22.08,60.37,58.06
(주)스카이문스테크놀로지,33790,19-Dec,196.93,,185.01,,159.84,,34.65,,11.14,,-67.18,,-81.2,,-155.2,,74.26,
(주)스킨앤스킨,159910,12-Dec,524.66,,481.23,,328.78,,36.26,,20.88,,66.37,,37.49,,84.59,,73.39,
(주)스킨앤스킨,159910,13-Dec,145.99,,90.14,,34.63,,37.81,,18.54,,31.57,,35.29,,46.72,,72.56,
(주)스킨앤스킨,159910,14-Dec,72.28,,53.97,,19.5,,75.32,,33.42,,-9.31,,-19.34,,-11.97,,57.04,
(주)스킨앤스킨,159910,15-Dec,55.02,61.5,50.97,56.31,24.86,20.41,118.84,161.94,28.03,28.9,-22.7,-23.46,-47.19,-42.78,-43.98,-50.19,45.69,38.18
(주)스킨앤스킨,159910,16-Dec,167.08,119.95,160.89,106.77,77.64,49.83,32.89,61.31,17.47,20.8,-39.53,-18.63,-29.33,-10.87,-56.01,-34.04,75.25,61.99
(주)스킨앤스킨,159910,17-Dec,110.84,86.01,98.1,70.08,37.5,35.43,61.76,112.93,20.77,26.97,-8.88,-8.06,-9.21,-7.18,-16.33,-15.85,61.82,46.96
(주)스킨앤스킨,159910,18-Dec,189.72,174.77,171.92,146.44,146.81,114.61,36.09,50.85,13.9,16.25,-28.28,-18.91,-18.26,-11.57,-53.97,-39.22,73.48,66.29
(주)스킨앤스킨,159910,19-Dec,282.71,231.93,263.43,213.07,214.29,171.2,30.66,36.46,13.24,15.58,-44.51,-21.81,-23.98,-14.36,-78.89,-37.4,76.53,73.28
(주)스타플렉스,115570,11-Dec,155.82,73.69,131.23,44.09,6.8,6.04,81.4,168.74,32.26,44.59,15.46,-7.82,12.06,-4.4,21.5,-11.01,55.13,37.21
(주)스타플렉스,115570,12-Dec,95.51,70.55,69.91,50.42,11.81,10.14,89.83,261.79,31.89,52.35,16.01,-7.87,10.37,-4.37,23.77,-10.87,52.68,27.64
(주)스타플렉스,115570,13-Dec,91.36,61.07,64.48,33.69,4.45,5.33,105.89,163.94,42.49,49.13,11.97,15.18,10.98,13.12,14.49,19.19,48.57,37.89
(주)스타플렉스,115570,14-Dec,92.68,58.79,64.93,30.48,1.97,1.97,93.45,132.66,42.62,48.83,6.73,11.02,5.72,9.64,7.63,12.86,51.69,42.98
(주)스타플렉스,115570,15-Dec,87.98,72.67,62.18,48.16,2.3,9.49,90.38,141.69,38.56,41.99,9.78,9.31,8.4,9.07,12.04,13,52.53,41.38
(주)스타플렉스,115570,16-Dec,101.53,76.98,68.39,41.42,4.53,5.61,78.06,103.47,33.14,37.06,14.76,8.46,10.9,6.59,19.53,11.61,56.16,49.15
(주)스타플렉스,115570,17-Dec,92.47,74.45,66.2,44.8,4.44,5.53,92.1,162.95,38.64,47.61,4.85,-3.94,4.15,-4.01,6.02,-5.13,52.06,38.03
(주)스타플렉스,115570,18-Dec,111.87,76.35,85.78,40.06,3.92,4.77,79.36,128.59,37.2,44.96,0.83,-2.9,0.67,-2.38,0.99,-3.62,55.75,43.75
(주)스타플렉스,115570,19-Dec,100.42,103.11,65.25,51.21,5.63,5.45,110.49,153.69,41.97,47.15,2.49,-2.2,2.45,-1.97,3.12,-2.83,47.51,39.42
(주)스튜디오산타클로스엔터테인먼트,204630,14-Dec,,,,,,,,,,,,,,,,,,
(주)스튜디오산타클로스엔터테인먼트,204630,15-Dec,723.51,,652.95,,65.49,,23.82,,5.93,,-64.41,,-14.32,,-209.02,,80.76,
(주)스튜디오산타클로스엔터테인먼트,204630,16-Dec,1137.27,1018.91,1088.2,963.51,418.55,480.34,29.45,32.41,15.98,16.07,-19.45,-6.01,-9.05,-2.9,-27.69,-9.16,77.25,75.52
(주)스튜디오산타클로스엔터테인먼트,204630,17-Dec,1437.92,1028.83,1372.73,945.08,299.94,285.81,15.94,19.18,8.85,9.83,-56.4,-56.92,-10.9,-10.76,-87.59,-93.22,86.25,83.91
(주)스튜디오산타클로스엔터테인먼트,204630,18-Dec,181.8,245.62,165.92,221.42,39.65,92.73,20.22,26.03,8.13,8.05,-29.33,-49.05,-16.94,-21.82,-60.63,-125.75,83.18,79.35
(주)스튜디오산타클로스엔터테인먼트,204630,19-Dec,128.51,138.18,119.78,130.48,78.29,60.34,39.48,91.93,9.3,7.35,15.32,-4.56,9.15,-4.27,46.63,-29.75,71.7,52.1
(주)스페코,13810,11-Dec,58.58,72.55,56.05,60.72,1.8,7.41,199.33,248.92,42.95,47.43,-0.23,-5.93,-0.26,-5.95,-0.35,-8.92,33.41,28.66
(주)스페코,13810,12-Dec,50.01,65.45,47.3,54.96,1.6,4.78,183.81,260.56,42.67,48.1,7.83,4.09,7.5,3.18,11.88,6.15,35.24,27.73
(주)스페코,13810,13-Dec,80.72,81.98,77.1,68.26,7.12,8.03,142.84,233.76,41.2,49.18,1.67,-2.24,1.99,-2.38,2.38,-3.19,41.18,29.96
(주)스페코,13810,14-Dec,84.72,85.34,81.25,74.76,6.45,9.85,124.13,203.92,33.98,40.86,-0.29,-1.23,-0.29,-1.11,-0.47,-2.03,44.62,32.9
(주)스페코,13810,15-Dec,85.94,100.87,80.03,91.66,13.88,21.75,102.71,159.2,30.29,37.66,5.25,5.72,5.25,4.69,8.77,9.33,49.33,38.58
(주)스페코,13810,16-Dec,79.16,105.73,71.24,89.32,4.26,9.19,83.53,138.14,26.8,35.7,16.53,11.22,16.25,8.19,28.07,18.23,54.49,41.99
(주)스페코,13810,17-Dec,78.77,105,65.44,86.41,11.43,19.93,74.16,131.11,28.89,37.46,14.09,12.21,15.94,9.98,20.77,18.49,57.42,43.27
(주)스페코,13810,18-Dec,72.66,100.74,35.69,54.15,5.19,11.46,84.57,172.21,24,34.41,6.52,7.02,5.93,6.6,12.45,12.9,54.18,36.74
(주)스페코,13810,19-Dec,80.57,133.91,56.47,104.16,21.52,30.41,76.48,110.49,18.37,21.93,16.35,9.09,19.37,5.61,38.57,21.77,56.66,47.51
(주)승일,49830,11-Dec,267.91,,200.4,,21.02,,31.33,,2.91,,9.63,,2.24,,78.97,,76.14,
(주)승일,49830,12-Dec,321.38,,256.11,,24.4,,27.19,,1.3,,28.38,,5.81,,465.49,,78.62,
(주)승일,49830,13-Dec,364.82,,299.92,,66.5,,22.99,,0,,44.88,,8.95,,0,,81.31,
(주)승일,49830,14-Dec,357.97,,290.98,,46.32,,25.92,,2.28,,44.82,,11.01,,405.26,,79.41,
(주)승일,49830,15-Dec,289.59,,214.04,,57.79,,29.37,,7.98,,28.63,,8.69,,81.44,,77.3,
