회사명,거래소코드,회계년도,유동비율(IFRS),유동비율(IFRS연결),당좌비율(IFRS),당좌비율(IFRS연결),현금비율(IFRS),현금비율(IFRS연결),부채비율(IFRS),부채비율(IFRS연결),차입금의존도(IFRS),차입금의존도(IFRS연결),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 차입금비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결)
유엔젤(주),72130,19-Dec,329.97,324.16,329.97,324.16,73.69,87.36,24.64,30.33,11.01,10.58,-29.38,-20.06,-10.13,-8.12,-52.77,-44.12,80.23,76.73
유진기업(주),23410,11-Dec,130.06,137.01,128.2,135.11,3.05,3.33,227.85,219.8,54.74,52.48,-3.27,-2.91,-6.05,-4.41,-4.15,-3.81,30.5,31.27
유진기업(주),23410,12-Dec,109.8,99.39,108.95,98.4,17.93,16.51,108.14,131.07,33.65,37.14,-5.18,-2.94,-5.63,-2.76,-8,-4.49,48.05,43.28
유진기업(주),23410,13-Dec,129.59,103.86,128.21,102.56,14.7,12.63,96.73,111.63,34.11,35.62,-2.9,-1.15,-3.35,-1.1,-4.17,-1.7,50.83,47.25
유진기업(주),23410,14-Dec,89.04,93.93,87.37,92.21,6.86,8.89,72.56,116.18,27.92,38.13,11.98,7.12,10.54,6.43,18.04,10.03,57.95,46.26
유진기업(주),23410,15-Dec,67.02,64.38,66.16,63.58,15.96,16.87,87.55,133.55,28.98,36.78,18.08,12.74,16.6,11.33,29.13,19.8,53.32,42.82
유진기업(주),23410,16-Dec,55.72,53.13,54.77,52.36,5.27,9.38,95.94,134.51,29.79,36.47,11.37,11.11,9.96,9.01,18.69,17.47,51.03,42.64
유진기업(주),23410,17-Dec,70.2,72.06,68.91,70.97,14.37,16.55,97.62,406.47,32.34,17.63,7.97,3.07,6.84,6.98,12.17,13.98,50.6,19.74
유진기업(주),23410,18-Dec,57.4,58.36,56.05,57.15,14.6,19.17,96.5,430.04,34.56,18.28,3.7,2.22,3.51,5.14,5.26,9.87,50.89,18.87
유진기업(주),23410,19-Dec,67.59,64.61,65.95,63.26,16.67,17.34,85.39,472.14,33.23,16.3,5.26,1.64,4.33,4.2,7.28,8.3,53.94,17.48
율촌화학(주),8730,11-Dec,219.66,,165.66,,3.33,,32.16,,2.68,,22.03,,5.54,,199.92,,75.67,
율촌화학(주),8730,12-Dec,218.08,,168.76,,5.32,,46.17,,10.85,,14.47,,5.01,,42.14,,68.41,
율촌화학(주),8730,13-Dec,137.29,,100.77,,2.7,,63.96,,20.71,,16.91,,7.83,,31.86,,60.99,
율촌화학(주),8730,14-Dec,148.13,,109.72,,17.95,,80.27,,29.36,,6.66,,3.72,,10.1,,55.47,
율촌화학(주),8730,15-Dec,181.55,,132.96,,9.72,,63.66,,21.84,,16.6,,7.63,,29.57,,61.1,
율촌화학(주),8730,16-Dec,112.13,,86.78,,9.34,,64,,18.97,,28.11,,13.03,,57.81,,60.97,
율촌화학(주),8730,17-Dec,115.28,,85.73,,5.35,,72.06,,20.77,,24.2,,11.9,,48.79,,58.12,
율촌화학(주),8730,18-Dec,107.15,105.7,79.15,77.41,6.49,6.31,80.39,82.69,26,26.85,15.68,7.45,8.72,4.23,26.88,12.56,55.44,54.74
율촌화학(주),8730,19-Dec,166.5,160.44,121.42,115.59,13.8,13.07,74.75,77.35,26,26.92,11.97,11.37,6.3,5.94,19.69,18.43,57.22,56.39
이건산업(주),8250,11-Dec,91.31,85.35,53.84,51.05,3.41,10,195.73,202.92,47.88,46.94,4.24,7.69,4.66,8.76,5.86,10.98,33.81,33.01
이건산업(주),8250,12-Dec,78.31,84.07,48.74,53.03,0.61,9.15,182.13,184.24,45.85,44,11.37,15.52,10.81,14.38,16,22.87,35.45,35.18
이건산업(주),8250,13-Dec,95.32,125.41,53.07,79.66,1.61,30.17,160.99,134.55,42.57,38.18,8.39,12.99,8.33,12.48,12.16,19.53,38.32,42.64
이건산업(주),8250,14-Dec,87.49,110.07,48.43,63.62,3.51,18.3,160.73,164.89,40.3,41.27,8.03,10.5,7.11,11.21,12.29,15.85,38.35,37.75
이건산업(주),8250,15-Dec,71.52,91.14,42.32,53.3,0.71,11.16,229.76,191.46,43.62,42.63,7.47,9.24,7.74,10.6,11.94,14.24,30.33,34.31
이건산업(주),8250,16-Dec,64.01,67.47,36.48,41.55,1.4,11,229.36,190.77,46.08,42.39,5.88,10.21,5.45,10.88,8.88,15.8,30.36,34.39
이건산업(주),8250,17-Dec,66.67,67.67,42.74,43.3,4.56,7.39,242.42,186.47,39.22,36.41,9.16,13.51,8.39,12.93,16.53,24.15,29.2,34.91
이건산업(주),8250,18-Dec,61.04,69.97,35.95,40.94,6.91,12.48,178.25,140.57,37.38,28.84,10.91,14.84,8.04,11.09,18.7,30.07,35.94,41.57
이건산업(주),8250,19-Dec,59,64.71,38.96,40.01,4.85,8.95,155.95,136.8,36.94,34.89,3.94,9.55,3.4,8.34,6.5,15.81,39.07,42.23
이구산업(주),25820,11-Dec,104.56,,38.04,,1.76,,153.63,,50.48,,-12.04,,-8.45,,-14.45,,39.43,
이구산업(주),25820,12-Dec,89.53,,35.32,,3.21,,159.49,,51.58,,-7.9,,-6,,-9.42,,38.54,
이구산업(주),25820,13-Dec,84.32,,35.8,,1.89,,158.18,,51.87,,3.35,,2.32,,3.96,,38.73,
이구산업(주),25820,14-Dec,84.41,,33.32,,1.06,,152.44,,52.29,,0.62,,0.43,,0.72,,39.61,
이구산업(주),25820,15-Dec,75.34,,29.1,,1.45,,157.58,,52.21,,3.79,,2.75,,4.44,,38.82,
이구산업(주),25820,16-Dec,91.85,,42.61,,0.89,,159.3,,45.96,,6.54,,5.33,,8.74,,38.57,
