회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),자산(*)(IFRS)(천원),재고자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),매출채권(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),단기차입금(IFRS연결)(천원),장기차입금(IFRS연결)(천원),유동성장기부채(*)(IFRS연결)(천원),사채(IFRS연결)(천원),매출채권(IFRS연결)(천원)
(주)에스앤에스텍,101490,11-Dec,33231256,26290002,112793046,6976451,62894586,49898460,13356908,11192963,6044073,9913806,9860164,38770754,32521648,131192786,7036543,65874264,65318522,0,0,6044073,0,9878943
(주)에스앤에스텍,101490,12-Dec,37957496,18821005,113074627,7526931,66998834,46075793,8309730,14603712,5586041,10628291,7678952,44054290,42002840,134403705,8157345,62031530,72372175,0,0,14586041,0,8463734
(주)에스앤에스텍,101490,13-Dec,30438844,25442765,101033959,5140977,58200062,42833897,10954702,15461052,9989131,0,8797372,35537285,50091907,128650209,6469842,53400368,75249841,0,0,11105763,0,10365389
(주)에스앤에스텍,101490,14-Dec,25262618,18287688,85746959,5115428,48633108,37113851,7131968,16597243,8150708,0,8265184,25331510,18287688,86299417,5115428,49185566,37113851,0,0,8150708,0,8265184
(주)에스앤에스텍,101490,15-Dec,37874435,22875631,96314119,8124160,65581321,30732797,5101882,4980279,11962502,0,10297151,,,,,,,,,,,
(주)에스앤에스텍,101490,16-Dec,31769194,24240281,120973700,7593004,75143905,45829794,3561494,17887221,6785873,0,9667962,,,,,,,,,,,
(주)에스앤에스텍,101490,17-Dec,34926369,18106092,120963274,8282231,78359802,42603472,5694517,20524669,7506396,0,9143866,,,,,,,,,,,
(주)에스앤에스텍,101490,18-Dec,41603664,28454113,123812954,10340977,79668014,44144939,11817768,11892500,8257500,0,10014852,,,,,,,,,,,
(주)에스앤에스텍,101490,19-Dec,53421966,35680208,135575184,14435209,88584280,46990904,18745361,6862500,5030000,0,18867048,,,,,,,,,,,
(주)에스에너지,95910,11-Dec,102135737,55421983,143039704,7518353,65475001,77564703,12393754,21554000,1195600,0,50102115,104323985,62091449,152988034,17333033,63653517,89334517,0,0,1788677,0,39166263
(주)에스에너지,95910,12-Dec,127162335,67827693,164547900,4692880,76514409,88033491,12000000,19056500,457900,0,77928836,123397560,72956233,167821602,6928709,74473040,93348563,0,0,457900,0,70035344
(주)에스에너지,95910,13-Dec,109183221,50233413,162410584,15605063,83982678,78427906,27463091,25002550,1437950,0,47849166,112943838,69234424,186533788,15843938,81359907,105173881,0,0,2189020,0,44798013
(주)에스에너지,95910,14-Dec,141115977,84240103,194020181,15944201,88084111,105936071,26504437,18871010,1049040,0,31794782,151029887,109508720,223973693,20227907,83231514,140742180,0,0,2750117,0,29513261
(주)에스에너지,95910,15-Dec,158372011,94612680,220812738,20579617,88304135,132508603,26695551,17249840,1621170,20000000,64532232,178468142,130408386,279520612,23374819,88474363,191046249,0,0,3862591,0,65771602
(주)에스에너지,95910,16-Dec,156640187,166270443,280636715,8805892,93595853,187040863,16194374,18194720,3755120,0,19235506,175658991,199799432,345540954,12160006,93711968,251828986,0,0,6232452,0,24365148
(주)에스에너지,95910,17-Dec,163786481,103606829,227789606,4864920,100548034,127241572,39207408,13946200,3918921,10000000,25087007,188695725,141807984,301905196,12905831,102025339,199879857,0,0,11525658,0,43848736
(주)에스에너지,95910,18-Dec,149120265,86423258,210249847,5860333,110244731,100005116,32525523,11275480,2670720,0,27093300,245644376,168540141,320447393,13509461,123026937,197420456,2655925,16120331,10959833,0,46648918
(주)에스에너지,95910,19-Dec,143000538,78135905,207600721,7894845,107947650,99653071,32036040,12204760,1586410,8000000,34051986,240297311,170458107,327670045,27054649,118814806,208855239,0,0,6781967,0,61541815
(주)에스에스알,275630,18-Dec,21801285,4285917,25867810,0,21531893,4335917,1200000,0,0,0,6263351,,,,,,,,,,,
(주)에스에스알,275630,19-Dec,21244745,3295491,26461298,0,22990515,3470783,0,0,0,0,5867094,,,,,,,,,,,
(주)에스에이엠티,31330,11-Dec,183309787,189027523,233156168,36442791,41356829,191799339,137156199,0,0,0,150507584,194089193,198250824,243433800,36633856,42411160,201022640,0,0,0,0,244347637
(주)에스에이엠티,31330,12-Dec,164256870,155737126,213875015,44754491,53705694,160169321,102179057,0,0,0,121662650,177466860,165963359,224389894,44754491,53994340,170395554,0,0,0,0,215988678
(주)에스에이엠티,31330,13-Dec,179816394,157119291,229734758,55594456,69425189,160309569,98712191,0,0,0,106514823,196632323,171755597,243734370,55594456,68788495,174945875,0,0,0,0,204345196
(주)에스에이엠티,31330,14-Dec,173817652,171706243,233320056,92254326,58859553,174460503,95868258,0,0,0,112404733,177428523,172954783,239185009,92254326,63475966,175709043,0,0,0,0,200261738
(주)에스에이엠티,31330,15-Dec,168022845,135160463,225219901,59863375,87293303,137926598,73465162,0,0,0,107007916,167584891,135178726,243387665,59863375,105442803,137944862,0,0,0,0,200762437
(주)에스에이엠티,31330,16-Dec,185059661,109905004,259013003,87321751,146496664,112516339,38100000,0,0,0,103008605,201398236,109929031,282323482,87321751,169783115,112540367,0,0,0,0,198392253
(주)에스에이엠티,31330,17-Dec,189422569,89788210,255376737,68290213,162251707,93125030,30000000,0,0,0,121935267,196714499,89793740,285611568,68290213,192481008,93130560,0,0,0,0,196555379
(주)에스에이엠티,31330,18-Dec,217086755,104687093,284278599,111960292,176896928,107381672,44000000,0,0,0,103468698,217629140,104690389,321534151,111960292,214149183,107384968,0,0,0,0,181189392
(주)에스에이엠티,31330,19-Dec,173092129,47381441,238982306,49786485,191566399,47415907,21000000,0,0,0,116043362,173075719,47383448,285718635,49786485,238300721,47417913,0,0,0,0,114714309
(주)에스에이티,60540,11-Dec,8094979,10731529,42772451,754142,24863984,17908466,0,871585,8965340,6000000,1505118,18368552,15566172,55047596,755349,29597029,25450567,0,0,9065340,0,6969818
