회사명,거래소코드,회계년도,자본(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),,재고자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),유형자산(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),회사채(IFRS)(천원),,장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS연결)(천원),,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)HJ중공업,97230,Dec-16,904150000,1709538000,1598996000,,518530000,1036188000,895183000,2372221000,2636927000,675011000,152543000,98951000,138821000,3017411000,4361281000,970466000,167724000,0,,1269833000,514563000,0,,3921561000,5256464000,1928591000,2813271000
(주)HJ중공업,97230,Dec-17,563410000,1390569000,2532122000,,655299000,653140000,577198000,1894161000,3329421000,709533000,80000,107247000,145442000,2748893000,3629457000,5497000,105621000,0,,82638000,243789000,0,,3312303000,4206655000,1737428000,2452314000
(주)HJ중공업,97230,Dec-18,-398930000,1382999000,1490510000,,519388000,636673000,-708186000,1720906000,2140149000,519198000,200418000,228601000,229003000,2787299000,3441806000,1140192000,104816000,0,,1140191000,104816000,0,,2388369000,2733620000,1750954000,1697869000
(주)HJ중공업,97230,Dec-19,247272000,1299550000,1840367000,,363759000,613082000,244994000,1300538000,1845223000,363759000,5767000,122369000,122434000,2218378000,2225228000,3927000,0,0,,3927000,0,0,,2465650000,2470222000,1609530000,1628751000
(주)MH에탄올,23150,Dec-11,56161251,26253473,66482839,,4542443,35172601,42667338,45677724,78266518,9734817,0,885201,4086479,79765833,91539513,8088960,63015867,0,,8088960,0,0,,135927085,134206851,43206995,44785159
(주)MH에탄올,23150,Dec-12,58712944,23099890,67402817,,5306016,34423174,39678259,50009828,81625166,20566965,0,2474,597206,80487873,94707555,7613360,64484158,0,,7613360,68371514,0,,139200817,134385813,45488675,59768175
(주)MH에탄올,23150,Dec-13,47119925,25868582,67842982,,6094594,34123721,45885523,43178092,75260635,12486229,0,47455,108868,75400817,83812413,7181760,62912838,0,,8166707,64376121,0,,122520742,129697936,46298516,62199887
(주)MH에탄올,23150,Dec-14,52507884,28019052,31619104,,6986598,36083178,52788681,28731429,31619269,6986598,0,4557,7509,32745993,32746158,732160,28450064,0,,732160,28450064,0,,85253876,85534839,48983781,48983781
(주)MH에탄올,23150,Dec-15,57569789,21758814,20538474,,3603074,36846498,57884347,22500870,20538639,3603074,0,3151595,3159526,21121539,21111704,484060,18000000,0,,484060,18000000,0,,78691328,78996052,50386203,50386203
(주)MH에탄올,23150,Dec-16,63257513,18955978,7640583,,5538540,37390792,63581883,19709368,7640748,5538540,0,1356886,1365583,8767625,8757790,348460,5000000,0,,348460,5000000,0,,72025138,72339673,48897025,48897025
(주)MH에탄올,23150,Dec-17,64698932,18235352,15540676,,5502545,39418503,106837344,84767703,189894170,5608722,0,760875,14814756,42738147,393342742,25212860,11203421,0,,169747422,41603421,0,,107437079,500180086,48270464,51977132
(주)MH에탄올,23150,Dec-18,68471529,18385099,13740951,,6430326,40585694,91585473,29576016,141080352,6538026,0,4630,6903478,41185360,348592051,25077260,10482447,0,,163785632,45739383,0,,109656889,440177523,46943080,72795863
