,통계청 한국표준산업분류 10차(중분류),회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,R&D투자효율,고용증가율,경상개발비율,연구개발비율
192,1차 금속 제조업,(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02,4.69,77777777.77,4.69,4.69
193,1차 금속 제조업,(주)TCC스틸,2710,15-Dec,2.11,2.17,2.17,7.95,77777777.77,7.95,7.95
194,1차 금속 제조업,(주)TCC스틸,2710,16-Dec,2.36,2.53,2.53,12.45,77777777.77,12.45,12.45
195,1차 금속 제조업,(주)TCC스틸,2710,17-Dec,1.41,1.55,1.55,8.89,77777777.77,8.89,8.89
196,1차 금속 제조업,(주)TCC스틸,2710,18-Dec,3.46,3.3,3.3,5.19,5.19,5.28,5.28
197,1차 금속 제조업,(주)TCC스틸,2710,19-Dec,2.34,2.27,2.27,7.9,7.9,8.58,8.58
198,1차 금속 제조업,(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41,0.85,0.85,0.85,0.85
199,1차 금속 제조업,(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57,-0.73,77777777.77,-0.73,-0.73
200,1차 금속 제조업,(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59,3.16,77777777.77,3.16,3.16
201,1차 금속 제조업,(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02,4.69,77777777.77,4.69,4.69
202,1차 금속 제조업,(주)TCC스틸,2710,15-Dec,2.11,2.17,2.17,7.95,77777777.77,7.95,7.95
203,1차 금속 제조업,(주)TCC스틸,2710,16-Dec,2.36,2.53,2.53,12.45,77777777.77,12.45,12.45
204,1차 금속 제조업,(주)TCC스틸,2710,17-Dec,1.41,1.55,1.55,8.89,77777777.77,8.89,8.89
205,1차 금속 제조업,(주)TCC스틸,2710,18-Dec,3.46,3.3,3.3,5.19,5.19,5.28,5.28
206,1차 금속 제조업,(주)TCC스틸,2710,19-Dec,2.34,2.27,2.27,7.9,7.9,8.58,8.58
207,1차 금속 제조업,(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41,0.85,0.85,0.85,0.85
208,1차 금속 제조업,(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57,-0.73,77777777.77,-0.73,-0.73
209,1차 금속 제조업,(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59,3.16,77777777.77,3.16,3.16
210,1차 금속 제조업,(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02,4.69,77777777.77,4.69,4.69
